"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0779";"Geertruidenberg";"4941";"Geertruidenberg";"03SB";"00";"Basisschool De Hoge Waai";"4944XB";"RAAMSDONK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"43825";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0779";"Geertruidenberg";"4942";"Geertruidenberg";"03SB";"00";"Basisschool De Hoge Waai";"4944XB";"RAAMSDONK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"43825";"0";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0779";"Geertruidenberg";"4944";"Geertruidenberg";"03SB";"00";"Basisschool De Hoge Waai";"4944XB";"RAAMSDONK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"43825";"0";"15";"19";"22";"14";"18";"23";"17";"14";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0779";"Geertruidenberg";"5165";"Waalwijk";"03SB";"00";"Basisschool De Hoge Waai";"4944XB";"RAAMSDONK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"43825";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0779";"Geertruidenberg";"4271";"Altena";"04WT";"00";"Basisschool De Vuurvlinder";"4931BD";"GEERTRUIDENBERG";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41978";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0779";"Geertruidenberg";"4273";"Altena";"04WT";"00";"Basisschool De Vuurvlinder";"4931BD";"GEERTRUIDENBERG";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41978";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0779";"Geertruidenberg";"4904";"Oosterhout";"04WT";"00";"Basisschool De Vuurvlinder";"4931BD";"GEERTRUIDENBERG";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41978";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0779";"Geertruidenberg";"4921";"Drimmelen";"04WT";"00";"Basisschool De Vuurvlinder";"4931BD";"GEERTRUIDENBERG";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41978";"0";"<5";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0779";"Geertruidenberg";"4931";"Geertruidenberg";"04WT";"00";"Basisschool De Vuurvlinder";"4931BD";"GEERTRUIDENBERG";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41978";"0";"20";"25";"27";"27";"25";"26";"32";"21";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0779";"Geertruidenberg";"4941";"Geertruidenberg";"04WT";"00";"Basisschool De Vuurvlinder";"4931BD";"GEERTRUIDENBERG";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41978";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
