"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1771";"Geldrop-Mierlo";"5482";"Meierijstad";"03SK";"00";"Basisschool De Rots";"5665VS";"GELDROP";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40557";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1771";"Geldrop-Mierlo";"5591";"Heeze-Leende";"03SK";"00";"Basisschool De Rots";"5665VS";"GELDROP";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40557";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1771";"Geldrop-Mierlo";"5611";"Eindhoven";"03SK";"00";"Basisschool De Rots";"5665VS";"GELDROP";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40557";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1771";"Geldrop-Mierlo";"5625";"Eindhoven";"03SK";"00";"Basisschool De Rots";"5665VS";"GELDROP";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40557";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1771";"Geldrop-Mierlo";"5643";"Eindhoven";"03SK";"00";"Basisschool De Rots";"5665VS";"GELDROP";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40557";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1771";"Geldrop-Mierlo";"5664";"Geldrop-Mierlo";"03SK";"00";"Basisschool De Rots";"5665VS";"GELDROP";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40557";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1771";"Geldrop-Mierlo";"5665";"Geldrop-Mierlo";"03SK";"00";"Basisschool De Rots";"5665VS";"GELDROP";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40557";"0";"24";"15";"24";"21";"32";"20";"18";"13";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1771";"Geldrop-Mierlo";"5666";"Geldrop-Mierlo";"03SK";"00";"Basisschool De Rots";"5665VS";"GELDROP";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40557";"0";"<5";"6";"10";"10";"8";"7";"7";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1771";"Geldrop-Mierlo";"5667";"Geldrop-Mierlo";"03SK";"00";"Basisschool De Rots";"5665VS";"GELDROP";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40557";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1771";"Geldrop-Mierlo";"5702";"Helmond";"03SK";"00";"Basisschool De Rots";"5665VS";"GELDROP";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40557";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1771";"Geldrop-Mierlo";"5707";"Helmond";"03SK";"00";"Basisschool De Rots";"5665VS";"GELDROP";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40557";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1771";"Geldrop-Mierlo";"5731";"Geldrop-Mierlo";"03SK";"00";"Basisschool De Rots";"5665VS";"GELDROP";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40557";"0";"0";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1771";"Geldrop-Mierlo";"5591";"Heeze-Leende";"04JV";"00";"Basissch St Jozef";"5663AH";"GELDROP";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40557";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
