"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0907";"Gennep";"40";"Onbekend";"02RU";"00";"SBO";"6591DM";"GENNEP";"Limburg";"Sbo";"Rooms-Katholiek";"37663";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0907";"Gennep";"5431";"Land van Cuijk";"02RU";"00";"SBO";"6591DM";"GENNEP";"Limburg";"Sbo";"Rooms-Katholiek";"37663";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0907";"Gennep";"5435";"Land van Cuijk";"02RU";"00";"SBO";"6591DM";"GENNEP";"Limburg";"Sbo";"Rooms-Katholiek";"37663";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0907";"Gennep";"5451";"Land van Cuijk";"02RU";"00";"SBO";"6591DM";"GENNEP";"Limburg";"Sbo";"Rooms-Katholiek";"37663";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0907";"Gennep";"5853";"Bergen (L.)";"02RU";"00";"SBO";"6591DM";"GENNEP";"Limburg";"Sbo";"Rooms-Katholiek";"37663";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0907";"Gennep";"5854";"Bergen (L.)";"02RU";"00";"SBO";"6591DM";"GENNEP";"Limburg";"Sbo";"Rooms-Katholiek";"37663";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0907";"Gennep";"5855";"Bergen (L.)";"02RU";"00";"SBO";"6591DM";"GENNEP";"Limburg";"Sbo";"Rooms-Katholiek";"37663";"0";"0";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0907";"Gennep";"5856";"Bergen (L.)";"02RU";"00";"SBO";"6591DM";"GENNEP";"Limburg";"Sbo";"Rooms-Katholiek";"37663";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0907";"Gennep";"6101";"Echt-Susteren";"02RU";"00";"SBO";"6591DM";"GENNEP";"Limburg";"Sbo";"Rooms-Katholiek";"37663";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0907";"Gennep";"6562";"Berg en Dal";"02RU";"00";"SBO";"6591DM";"GENNEP";"Limburg";"Sbo";"Rooms-Katholiek";"37663";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0907";"Gennep";"6581";"Heumen";"02RU";"00";"SBO";"6591DM";"GENNEP";"Limburg";"Sbo";"Rooms-Katholiek";"37663";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0907";"Gennep";"6584";"Mook en Middelaar";"02RU";"00";"SBO";"6591DM";"GENNEP";"Limburg";"Sbo";"Rooms-Katholiek";"37663";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0907";"Gennep";"6585";"Mook en Middelaar";"02RU";"00";"SBO";"6591DM";"GENNEP";"Limburg";"Sbo";"Rooms-Katholiek";"37663";"0";"<5";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0907";"Gennep";"6591";"Gennep";"02RU";"00";"SBO";"6591DM";"GENNEP";"Limburg";"Sbo";"Rooms-Katholiek";"37663";"0";"0";"<5";"<5";"<5";"<5";"8";"<5";"11";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0907";"Gennep";"6595";"Gennep";"02RU";"00";"SBO";"6591DM";"GENNEP";"Limburg";"Sbo";"Rooms-Katholiek";"37663";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0907";"Gennep";"6596";"Gennep";"02RU";"00";"SBO";"6591DM";"GENNEP";"Limburg";"Sbo";"Rooms-Katholiek";"37663";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0907";"Gennep";"6598";"Gennep";"02RU";"00";"SBO";"6591DM";"GENNEP";"Limburg";"Sbo";"Rooms-Katholiek";"37663";"0";"<5";"<5";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
