"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0664";"Goes";"3243";"Goeree-Overflakkee";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0664";"Goes";"3245";"Goeree-Overflakkee";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0664";"Goes";"3247";"Goeree-Overflakkee";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0664";"Goes";"3253";"Goeree-Overflakkee";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0664";"Goes";"4311";"Schouwen-Duiveland";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0664";"Goes";"4332";"Middelburg";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0664";"Goes";"4335";"Middelburg";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0664";"Goes";"4336";"Middelburg";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0664";"Goes";"4337";"Middelburg";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"<5";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0664";"Goes";"4339";"Middelburg";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0664";"Goes";"4361";"Veere";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0664";"Goes";"4382";"Vlissingen";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"0";"<5";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0664";"Goes";"4383";"Vlissingen";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0664";"Goes";"4384";"Vlissingen";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0664";"Goes";"4385";"Vlissingen";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0664";"Goes";"4388";"Vlissingen";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"<5";"<5";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0664";"Goes";"4401";"Reimerswaal";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0664";"Goes";"4414";"Reimerswaal";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0664";"Goes";"4417";"Reimerswaal";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0664";"Goes";"4421";"Kapelle";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0664";"Goes";"4431";"Borsele";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0664";"Goes";"4451";"Borsele";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0664";"Goes";"4453";"Borsele";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0664";"Goes";"4455";"Borsele";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0664";"Goes";"4461";"Goes";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0664";"Goes";"4462";"Goes";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0664";"Goes";"4463";"Goes";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0664";"Goes";"4484";"Noord-Beveland";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0664";"Goes";"4486";"Noord-Beveland";"01JO";"02";"Auris De Kring";"4461DS";"GOES";"Zeeland";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
