"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0785";"Goirle";"10";"Belgie";"03WT";"00";"Jenapl De Kleine Akkers";"5051CR";"GOIRLE";"Noord-Brabant";"Bo";"Algemeen bijzonder";"40971";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0785";"Goirle";"40";"Onbekend";"03WT";"00";"Jenapl De Kleine Akkers";"5051CR";"GOIRLE";"Noord-Brabant";"Bo";"Algemeen bijzonder";"40971";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0785";"Goirle";"5022";"Tilburg";"03WT";"00";"Jenapl De Kleine Akkers";"5051CR";"GOIRLE";"Noord-Brabant";"Bo";"Algemeen bijzonder";"40971";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0785";"Goirle";"5026";"Tilburg";"03WT";"00";"Jenapl De Kleine Akkers";"5051CR";"GOIRLE";"Noord-Brabant";"Bo";"Algemeen bijzonder";"40971";"0";"<5";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0785";"Goirle";"5042";"Tilburg";"03WT";"00";"Jenapl De Kleine Akkers";"5051CR";"GOIRLE";"Noord-Brabant";"Bo";"Algemeen bijzonder";"40971";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0785";"Goirle";"5049";"Tilburg";"03WT";"00";"Jenapl De Kleine Akkers";"5051CR";"GOIRLE";"Noord-Brabant";"Bo";"Algemeen bijzonder";"40971";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0785";"Goirle";"5051";"Goirle";"03WT";"00";"Jenapl De Kleine Akkers";"5051CR";"GOIRLE";"Noord-Brabant";"Bo";"Algemeen bijzonder";"40971";"0";"14";"9";"11";"21";"13";"16";"9";"10";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0785";"Goirle";"5052";"Goirle";"03WT";"00";"Jenapl De Kleine Akkers";"5051CR";"GOIRLE";"Noord-Brabant";"Bo";"Algemeen bijzonder";"40971";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0785";"Goirle";"5053";"Goirle";"03WT";"00";"Jenapl De Kleine Akkers";"5051CR";"GOIRLE";"Noord-Brabant";"Bo";"Algemeen bijzonder";"40971";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0785";"Goirle";"5081";"Hilvarenbeek";"03WT";"00";"Jenapl De Kleine Akkers";"5051CR";"GOIRLE";"Noord-Brabant";"Bo";"Algemeen bijzonder";"40971";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
