"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1942";"Gooise Meren";"1019";"Amsterdam";"01TQ";"02";"ZMLK School Klimop";"1403NH";"BUSSUM";"Noord-Holland";"Vso";"Protestants-Christelijk";"42687";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1942";"Gooise Meren";"1109";"Amsterdam";"01TQ";"02";"ZMLK School Klimop";"1403NH";"BUSSUM";"Noord-Holland";"Vso";"Protestants-Christelijk";"42687";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1942";"Gooise Meren";"1112";"Diemen";"01TQ";"02";"ZMLK School Klimop";"1403NH";"BUSSUM";"Noord-Holland";"Vso";"Protestants-Christelijk";"42687";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1942";"Gooise Meren";"1113";"Diemen";"01TQ";"02";"ZMLK School Klimop";"1403NH";"BUSSUM";"Noord-Holland";"Vso";"Protestants-Christelijk";"42687";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1942";"Gooise Meren";"1211";"Hilversum";"01TQ";"02";"ZMLK School Klimop";"1403NH";"BUSSUM";"Noord-Holland";"Vso";"Protestants-Christelijk";"42687";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1942";"Gooise Meren";"1213";"Hilversum";"01TQ";"02";"ZMLK School Klimop";"1403NH";"BUSSUM";"Noord-Holland";"Vso";"Protestants-Christelijk";"42687";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1942";"Gooise Meren";"1214";"Hilversum";"01TQ";"02";"ZMLK School Klimop";"1403NH";"BUSSUM";"Noord-Holland";"Vso";"Protestants-Christelijk";"42687";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1942";"Gooise Meren";"1215";"Hilversum";"01TQ";"02";"ZMLK School Klimop";"1403NH";"BUSSUM";"Noord-Holland";"Vso";"Protestants-Christelijk";"42687";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1942";"Gooise Meren";"1216";"Hilversum";"01TQ";"02";"ZMLK School Klimop";"1403NH";"BUSSUM";"Noord-Holland";"Vso";"Protestants-Christelijk";"42687";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1942";"Gooise Meren";"1217";"Hilversum";"01TQ";"02";"ZMLK School Klimop";"1403NH";"BUSSUM";"Noord-Holland";"Vso";"Protestants-Christelijk";"42687";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1942";"Gooise Meren";"1218";"Hilversum";"01TQ";"02";"ZMLK School Klimop";"1403NH";"BUSSUM";"Noord-Holland";"Vso";"Protestants-Christelijk";"42687";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1942";"Gooise Meren";"1221";"Hilversum";"01TQ";"02";"ZMLK School Klimop";"1403NH";"BUSSUM";"Noord-Holland";"Vso";"Protestants-Christelijk";"42687";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1942";"Gooise Meren";"1222";"Hilversum";"01TQ";"02";"ZMLK School Klimop";"1403NH";"BUSSUM";"Noord-Holland";"Vso";"Protestants-Christelijk";"42687";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1942";"Gooise Meren";"1223";"Hilversum";"01TQ";"02";"ZMLK School Klimop";"1403NH";"BUSSUM";"Noord-Holland";"Vso";"Protestants-Christelijk";"42687";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1942";"Gooise Meren";"1231";"Wijdemeren";"01TQ";"02";"ZMLK School Klimop";"1403NH";"BUSSUM";"Noord-Holland";"Vso";"Protestants-Christelijk";"42687";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1942";"Gooise Meren";"1241";"Wijdemeren";"01TQ";"02";"ZMLK School Klimop";"1403NH";"BUSSUM";"Noord-Holland";"Vso";"Protestants-Christelijk";"42687";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1942";"Gooise Meren";"1244";"Wijdemeren";"01TQ";"02";"ZMLK School Klimop";"1403NH";"BUSSUM";"Noord-Holland";"Vso";"Protestants-Christelijk";"42687";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1942";"Gooise Meren";"1251";"Laren";"01TQ";"02";"ZMLK School Klimop";"1403NH";"BUSSUM";"Noord-Holland";"Vso";"Protestants-Christelijk";"42687";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1942";"Gooise Meren";"1261";"Blaricum";"01TQ";"02";"ZMLK School Klimop";"1403NH";"BUSSUM";"Noord-Holland";"Vso";"Protestants-Christelijk";"42687";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1942";"Gooise Meren";"1271";"Huizen";"01TQ";"02";"ZMLK School Klimop";"1403NH";"BUSSUM";"Noord-Holland";"Vso";"Protestants-Christelijk";"42687";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0"
"20241001";"1942";"Gooise Meren";"1272";"Huizen";"01TQ";"02";"ZMLK School Klimop";"1403NH";"BUSSUM";"Noord-Holland";"Vso";"Protestants-Christelijk";"42687";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1942";"Gooise Meren";"1273";"Huizen";"01TQ";"02";"ZMLK School Klimop";"1403NH";"BUSSUM";"Noord-Holland";"Vso";"Protestants-Christelijk";"42687";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1942";"Gooise Meren";"1274";"Huizen";"01TQ";"02";"ZMLK School Klimop";"1403NH";"BUSSUM";"Noord-Holland";"Vso";"Protestants-Christelijk";"42687";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
