"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1729";"Gulpen-Wittem";"6262";"Eijsden-Margraten";"05EZ";"00";"Op de 10 Bunder";"6321CP";"WIJLRE";"Limburg";"Bo";"Rooms-Katholiek";"42669";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1729";"Gulpen-Wittem";"6271";"Gulpen-Wittem";"05EZ";"00";"Op de 10 Bunder";"6321CP";"WIJLRE";"Limburg";"Bo";"Rooms-Katholiek";"42669";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1729";"Gulpen-Wittem";"6273";"Gulpen-Wittem";"05EZ";"00";"Op de 10 Bunder";"6321CP";"WIJLRE";"Limburg";"Bo";"Rooms-Katholiek";"42669";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1729";"Gulpen-Wittem";"6274";"Gulpen-Wittem";"05EZ";"00";"Op de 10 Bunder";"6321CP";"WIJLRE";"Limburg";"Bo";"Rooms-Katholiek";"42669";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1729";"Gulpen-Wittem";"6286";"Gulpen-Wittem";"05EZ";"00";"Op de 10 Bunder";"6321CP";"WIJLRE";"Limburg";"Bo";"Rooms-Katholiek";"42669";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1729";"Gulpen-Wittem";"6287";"Gulpen-Wittem";"05EZ";"00";"Op de 10 Bunder";"6321CP";"WIJLRE";"Limburg";"Bo";"Rooms-Katholiek";"42669";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1729";"Gulpen-Wittem";"6289";"Gulpen-Wittem";"05EZ";"00";"Op de 10 Bunder";"6321CP";"WIJLRE";"Limburg";"Bo";"Rooms-Katholiek";"42669";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1729";"Gulpen-Wittem";"6301";"Valkenburg aan de Geul";"05EZ";"00";"Op de 10 Bunder";"6321CP";"WIJLRE";"Limburg";"Bo";"Rooms-Katholiek";"42669";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1729";"Gulpen-Wittem";"6305";"Valkenburg aan de Geul";"05EZ";"00";"Op de 10 Bunder";"6321CP";"WIJLRE";"Limburg";"Bo";"Rooms-Katholiek";"42669";"0";"6";"5";"<5";"7";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1729";"Gulpen-Wittem";"6321";"Gulpen-Wittem";"05EZ";"00";"Op de 10 Bunder";"6321CP";"WIJLRE";"Limburg";"Bo";"Rooms-Katholiek";"42669";"0";"20";"13";"22";"22";"16";"18";"16";"22";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1729";"Gulpen-Wittem";"6367";"Voerendaal";"05EZ";"00";"Op de 10 Bunder";"6321CP";"WIJLRE";"Limburg";"Bo";"Rooms-Katholiek";"42669";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1729";"Gulpen-Wittem";"6462";"Kerkrade";"05EZ";"00";"Op de 10 Bunder";"6321CP";"WIJLRE";"Limburg";"Bo";"Rooms-Katholiek";"42669";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1729";"Gulpen-Wittem";"6467";"Kerkrade";"05EZ";"00";"Op de 10 Bunder";"6321CP";"WIJLRE";"Limburg";"Bo";"Rooms-Katholiek";"42669";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1729";"Gulpen-Wittem";"6267";"Eijsden-Margraten";"09AU";"00";"Basisschool A Hermkes";"6285BB";"EPEN";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1729";"Gulpen-Wittem";"6271";"Gulpen-Wittem";"09AU";"00";"Basisschool A Hermkes";"6285BB";"EPEN";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
