"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0158";"Haaksbergen";"7481";"Haaksbergen";"07YR";"00";"Op den Akker";"7481GB";"HAAKSBERGEN";"Overijssel";"Bo";"Protestants-Christelijk";"24844";"0";"8";"8";"9";"8";"13";"13";"14";"9";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0158";"Haaksbergen";"7482";"Haaksbergen";"07YR";"00";"Op den Akker";"7481GB";"HAAKSBERGEN";"Overijssel";"Bo";"Protestants-Christelijk";"24844";"0";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0158";"Haaksbergen";"7483";"Haaksbergen";"07YR";"00";"Op den Akker";"7481GB";"HAAKSBERGEN";"Overijssel";"Bo";"Protestants-Christelijk";"24844";"0";"0";"<5";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0158";"Haaksbergen";"7481";"Haaksbergen";"11BU";"00";"Basisschool Paus Joannes";"7481DL";"HAAKSBERGEN";"Overijssel";"Bo";"Rooms-Katholiek";"25351";"0";"6";"14";"9";"12";"15";"17";"24";"17";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0158";"Haaksbergen";"7482";"Haaksbergen";"11BU";"00";"Basisschool Paus Joannes";"7481DL";"HAAKSBERGEN";"Overijssel";"Bo";"Rooms-Katholiek";"25351";"0";"<5";"<5";"<5";"5";"<5";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0158";"Haaksbergen";"7483";"Haaksbergen";"11BU";"00";"Basisschool Paus Joannes";"7481DL";"HAAKSBERGEN";"Overijssel";"Bo";"Rooms-Katholiek";"25351";"0";"<5";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0158";"Haaksbergen";"7553";"Hengelo";"11BU";"00";"Basisschool Paus Joannes";"7481DL";"HAAKSBERGEN";"Overijssel";"Bo";"Rooms-Katholiek";"25351";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0158";"Haaksbergen";"7157";"Berkelland";"11ON";"00";"Basisschool Pius X";"7481GP";"HAAKSBERGEN";"Overijssel";"Bo";"Rooms-Katholiek";"25351";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0158";"Haaksbergen";"7481";"Haaksbergen";"11ON";"00";"Basisschool Pius X";"7481GP";"HAAKSBERGEN";"Overijssel";"Bo";"Rooms-Katholiek";"25351";"0";"22";"26";"32";"28";"21";"10";"14";"10";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0158";"Haaksbergen";"7482";"Haaksbergen";"11ON";"00";"Basisschool Pius X";"7481GP";"HAAKSBERGEN";"Overijssel";"Bo";"Rooms-Katholiek";"25351";"0";"6";"6";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0158";"Haaksbergen";"7483";"Haaksbergen";"11ON";"00";"Basisschool Pius X";"7481GP";"HAAKSBERGEN";"Overijssel";"Bo";"Rooms-Katholiek";"25351";"0";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0158";"Haaksbergen";"7497";"Hof van Twente";"11ON";"00";"Basisschool Pius X";"7481GP";"HAAKSBERGEN";"Overijssel";"Bo";"Rooms-Katholiek";"25351";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0158";"Haaksbergen";"7481";"Haaksbergen";"11ZU";"00";"Basissch Sint Bonifatius";"7481BD";"HAAKSBERGEN";"Overijssel";"Bo";"Rooms-Katholiek";"25351";"0";"19";"10";"8";"12";"10";"11";"16";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0158";"Haaksbergen";"7482";"Haaksbergen";"11ZU";"00";"Basissch Sint Bonifatius";"7481BD";"HAAKSBERGEN";"Overijssel";"Bo";"Rooms-Katholiek";"25351";"0";"7";"<5";"8";"7";"7";"11";"7";"8";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0158";"Haaksbergen";"7483";"Haaksbergen";"11ZU";"00";"Basissch Sint Bonifatius";"7481BD";"HAAKSBERGEN";"Overijssel";"Bo";"Rooms-Katholiek";"25351";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
