"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0243";"Harderwijk";"3841";"Harderwijk";"01AJ";"01";"Dr A Verschoor School";"3842AE";"HARDERWIJK";"Gelderland";"Vso";"Algemeen bijzonder";"62129";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"3842";"Harderwijk";"01AJ";"01";"Dr A Verschoor School";"3842AE";"HARDERWIJK";"Gelderland";"Vso";"Algemeen bijzonder";"62129";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"3843";"Harderwijk";"01AJ";"01";"Dr A Verschoor School";"3842AE";"HARDERWIJK";"Gelderland";"Vso";"Algemeen bijzonder";"62129";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"3844";"Harderwijk";"01AJ";"01";"Dr A Verschoor School";"3842AE";"HARDERWIJK";"Gelderland";"Vso";"Algemeen bijzonder";"62129";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"3845";"Harderwijk";"01AJ";"01";"Dr A Verschoor School";"3842AE";"HARDERWIJK";"Gelderland";"Vso";"Algemeen bijzonder";"62129";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"3851";"Ermelo";"01AJ";"01";"Dr A Verschoor School";"3842AE";"HARDERWIJK";"Gelderland";"Vso";"Algemeen bijzonder";"62129";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"3861";"Nijkerk";"01AJ";"01";"Dr A Verschoor School";"3842AE";"HARDERWIJK";"Gelderland";"Vso";"Algemeen bijzonder";"62129";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"3891";"Zeewolde";"01AJ";"01";"Dr A Verschoor School";"3842AE";"HARDERWIJK";"Gelderland";"Vso";"Algemeen bijzonder";"62129";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"3892";"Zeewolde";"01AJ";"01";"Dr A Verschoor School";"3842AE";"HARDERWIJK";"Gelderland";"Vso";"Algemeen bijzonder";"62129";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"3893";"Zeewolde";"01AJ";"01";"Dr A Verschoor School";"3842AE";"HARDERWIJK";"Gelderland";"Vso";"Algemeen bijzonder";"62129";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"3894";"Zeewolde";"01AJ";"01";"Dr A Verschoor School";"3842AE";"HARDERWIJK";"Gelderland";"Vso";"Algemeen bijzonder";"62129";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"8251";"Dronten";"01AJ";"01";"Dr A Verschoor School";"3842AE";"HARDERWIJK";"Gelderland";"Vso";"Algemeen bijzonder";"62129";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"8256";"Dronten";"01AJ";"01";"Dr A Verschoor School";"3842AE";"HARDERWIJK";"Gelderland";"Vso";"Algemeen bijzonder";"62129";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"3841";"Harderwijk";"02WU";"00";"Chr SSBO De Springplank";"3844DH";"HARDERWIJK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"<5";"<5";"0";"0";"<5";"<5";"<5";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"3842";"Harderwijk";"02WU";"00";"Chr SSBO De Springplank";"3844DH";"HARDERWIJK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"0";"<5";"0";"0";"<5";"6";"<5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"3843";"Harderwijk";"02WU";"00";"Chr SSBO De Springplank";"3844DH";"HARDERWIJK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"<5";"<5";"5";"5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"3844";"Harderwijk";"02WU";"00";"Chr SSBO De Springplank";"3844DH";"HARDERWIJK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"<5";"0";"<5";"6";"<5";"<5";"6";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"3845";"Harderwijk";"02WU";"00";"Chr SSBO De Springplank";"3844DH";"HARDERWIJK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"3846";"Harderwijk";"02WU";"00";"Chr SSBO De Springplank";"3844DH";"HARDERWIJK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"3848";"Harderwijk";"02WU";"00";"Chr SSBO De Springplank";"3844DH";"HARDERWIJK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"3849";"Harderwijk";"02WU";"00";"Chr SSBO De Springplank";"3844DH";"HARDERWIJK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"3851";"Ermelo";"02WU";"00";"Chr SSBO De Springplank";"3844DH";"HARDERWIJK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"0";"0";"0";"<5";"<5";"5";"6";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"3852";"Ermelo";"02WU";"00";"Chr SSBO De Springplank";"3844DH";"HARDERWIJK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"0";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"3853";"Ermelo";"02WU";"00";"Chr SSBO De Springplank";"3844DH";"HARDERWIJK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"3882";"Putten";"02WU";"00";"Chr SSBO De Springplank";"3844DH";"HARDERWIJK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"0";"<5";"<5";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"3891";"Zeewolde";"02WU";"00";"Chr SSBO De Springplank";"3844DH";"HARDERWIJK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"3892";"Zeewolde";"02WU";"00";"Chr SSBO De Springplank";"3844DH";"HARDERWIJK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"0";"0";"<5";"<5";"<5";"5";"7";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"3893";"Zeewolde";"02WU";"00";"Chr SSBO De Springplank";"3844DH";"HARDERWIJK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"0";"<5";"<5";"<5";"0";"0";"6";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"3894";"Zeewolde";"02WU";"00";"Chr SSBO De Springplank";"3844DH";"HARDERWIJK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"3897";"Zeewolde";"02WU";"00";"Chr SSBO De Springplank";"3844DH";"HARDERWIJK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"3898";"Zeewolde";"02WU";"00";"Chr SSBO De Springplank";"3844DH";"HARDERWIJK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"5375";"Maashorst";"02WU";"00";"Chr SSBO De Springplank";"3844DH";"HARDERWIJK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0243";"Harderwijk";"8014";"Zwolle";"02WU";"00";"Chr SSBO De Springplank";"3844DH";"HARDERWIJK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
