"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0072";"Harlingen";"8746";"Súdwest-Fryslân";"05BJ";"00";"basisschool Sint Michael";"8861CV";"HARLINGEN";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0072";"Harlingen";"8751";"Súdwest-Fryslân";"05BJ";"00";"basisschool Sint Michael";"8861CV";"HARLINGEN";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"0";"<5";"<5";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0072";"Harlingen";"8802";"Waadhoeke";"05BJ";"00";"basisschool Sint Michael";"8861CV";"HARLINGEN";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0072";"Harlingen";"8806";"Waadhoeke";"05BJ";"00";"basisschool Sint Michael";"8861CV";"HARLINGEN";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0072";"Harlingen";"8821";"Súdwest-Fryslân";"05BJ";"00";"basisschool Sint Michael";"8861CV";"HARLINGEN";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0072";"Harlingen";"8822";"Súdwest-Fryslân";"05BJ";"00";"basisschool Sint Michael";"8861CV";"HARLINGEN";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0072";"Harlingen";"8851";"Waadhoeke";"05BJ";"00";"basisschool Sint Michael";"8861CV";"HARLINGEN";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0072";"Harlingen";"8855";"Waadhoeke";"05BJ";"00";"basisschool Sint Michael";"8861CV";"HARLINGEN";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0072";"Harlingen";"8861";"Harlingen";"05BJ";"00";"basisschool Sint Michael";"8861CV";"HARLINGEN";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"14";"18";"19";"21";"25";"22";"15";"20";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0072";"Harlingen";"8862";"Harlingen";"05BJ";"00";"basisschool Sint Michael";"8861CV";"HARLINGEN";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"14";"14";"17";"11";"26";"18";"26";"21";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0072";"Harlingen";"8872";"Harlingen";"05BJ";"00";"basisschool Sint Michael";"8861CV";"HARLINGEN";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0072";"Harlingen";"8911";"Leeuwarden";"05BJ";"00";"basisschool Sint Michael";"8861CV";"HARLINGEN";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0072";"Harlingen";"8749";"Súdwest-Fryslân";"10EE";"00";"OBS t Wad";"8861JE";"HARLINGEN";"Friesland";"Bo";"Openbaar";"41856";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0072";"Harlingen";"8753";"Súdwest-Fryslân";"10EE";"00";"OBS t Wad";"8861JE";"HARLINGEN";"Friesland";"Bo";"Openbaar";"41856";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0072";"Harlingen";"8802";"Waadhoeke";"10EE";"00";"OBS t Wad";"8861JE";"HARLINGEN";"Friesland";"Bo";"Openbaar";"41856";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0072";"Harlingen";"8814";"Waadhoeke";"10EE";"00";"OBS t Wad";"8861JE";"HARLINGEN";"Friesland";"Bo";"Openbaar";"41856";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0072";"Harlingen";"8821";"Súdwest-Fryslân";"10EE";"00";"OBS t Wad";"8861JE";"HARLINGEN";"Friesland";"Bo";"Openbaar";"41856";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0072";"Harlingen";"8857";"Harlingen";"10EE";"00";"OBS t Wad";"8861JE";"HARLINGEN";"Friesland";"Bo";"Openbaar";"41856";"0";"0";"0";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0072";"Harlingen";"8861";"Harlingen";"10EE";"00";"OBS t Wad";"8861JE";"HARLINGEN";"Friesland";"Bo";"Openbaar";"41856";"0";"6";"11";"12";"6";"14";"17";"12";"12";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0072";"Harlingen";"8862";"Harlingen";"10EE";"00";"OBS t Wad";"8861JE";"HARLINGEN";"Friesland";"Bo";"Openbaar";"41856";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0072";"Harlingen";"8749";"Súdwest-Fryslân";"10HA";"00";"IKC Prins Johan Friso";"8862ZA";"HARLINGEN";"Friesland";"Bo";"Protestants-Christelijk";"42656";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0072";"Harlingen";"8807";"Waadhoeke";"10HA";"00";"IKC Prins Johan Friso";"8862ZA";"HARLINGEN";"Friesland";"Bo";"Protestants-Christelijk";"42656";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
