"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0244";"Hattem";"3841";"Harderwijk";"04RA";"00";"Geref School de Zaaier";"8051XT";"HATTEM";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0244";"Hattem";"7443";"Hellendoorn";"04RA";"00";"Geref School de Zaaier";"8051XT";"HATTEM";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0244";"Hattem";"7707";"Hardenberg";"04RA";"00";"Geref School de Zaaier";"8051XT";"HATTEM";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0244";"Hattem";"8014";"Zwolle";"04RA";"00";"Geref School de Zaaier";"8051XT";"HATTEM";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0244";"Hattem";"8019";"Zwolle";"04RA";"00";"Geref School de Zaaier";"8051XT";"HATTEM";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0244";"Hattem";"8051";"Hattem";"04RA";"00";"Geref School de Zaaier";"8051XT";"HATTEM";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"25";"21";"24";"25";"23";"30";"22";"20";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0244";"Hattem";"8052";"Hattem";"04RA";"00";"Geref School de Zaaier";"8051XT";"HATTEM";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"7";"10";"9";"11";"11";"11";"8";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0244";"Hattem";"8094";"Oldebroek";"04RA";"00";"Geref School de Zaaier";"8051XT";"HATTEM";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0244";"Hattem";"8191";"Heerde";"04RA";"00";"Geref School de Zaaier";"8051XT";"HATTEM";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0244";"Hattem";"8051";"Hattem";"05HF";"00";"Sint Andreasschool";"8051MZ";"HATTEM";"Gelderland";"Bo";"Rooms-Katholiek";"40888";"0";"8";"<5";"5";"6";"8";"9";"7";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
