"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0397";"Heemstede";"2011";"Haarlem";"09XW";"00";"Ark H";"2105TC";"HEEMSTEDE";"Noord-Holland";"Bo";"Rooms-Katholiek";"40775";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0397";"Heemstede";"2012";"Haarlem";"09XW";"00";"Ark H";"2105TC";"HEEMSTEDE";"Noord-Holland";"Bo";"Rooms-Katholiek";"40775";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0397";"Heemstede";"2014";"Haarlem";"09XW";"00";"Ark H";"2105TC";"HEEMSTEDE";"Noord-Holland";"Bo";"Rooms-Katholiek";"40775";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0397";"Heemstede";"2024";"Haarlem";"09XW";"00";"Ark H";"2105TC";"HEEMSTEDE";"Noord-Holland";"Bo";"Rooms-Katholiek";"40775";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0397";"Heemstede";"2036";"Haarlem";"09XW";"00";"Ark H";"2105TC";"HEEMSTEDE";"Noord-Holland";"Bo";"Rooms-Katholiek";"40775";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0397";"Heemstede";"2101";"Heemstede";"09XW";"00";"Ark H";"2105TC";"HEEMSTEDE";"Noord-Holland";"Bo";"Rooms-Katholiek";"40775";"0";"<5";"<5";"5";"<5";"<5";"6";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0397";"Heemstede";"2102";"Heemstede";"09XW";"00";"Ark H";"2105TC";"HEEMSTEDE";"Noord-Holland";"Bo";"Rooms-Katholiek";"40775";"0";"<5";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0397";"Heemstede";"2103";"Heemstede";"09XW";"00";"Ark H";"2105TC";"HEEMSTEDE";"Noord-Holland";"Bo";"Rooms-Katholiek";"40775";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0397";"Heemstede";"2104";"Heemstede";"09XW";"00";"Ark H";"2105TC";"HEEMSTEDE";"Noord-Holland";"Bo";"Rooms-Katholiek";"40775";"0";"<5";"<5";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0397";"Heemstede";"2105";"Heemstede";"09XW";"00";"Ark H";"2105TC";"HEEMSTEDE";"Noord-Holland";"Bo";"Rooms-Katholiek";"40775";"0";"14";"19";"17";"20";"20";"12";"22";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0397";"Heemstede";"2106";"Heemstede";"09XW";"00";"Ark H";"2105TC";"HEEMSTEDE";"Noord-Holland";"Bo";"Rooms-Katholiek";"40775";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0397";"Heemstede";"2111";"Bloemendaal";"09XW";"00";"Ark H";"2105TC";"HEEMSTEDE";"Noord-Holland";"Bo";"Rooms-Katholiek";"40775";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0397";"Heemstede";"2012";"Haarlem";"10AR";"00";"Crayenester-Basisschool";"2101AN";"HEEMSTEDE";"Noord-Holland";"Bo";"Openbaar";"40775";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0397";"Heemstede";"2014";"Haarlem";"10AR";"00";"Crayenester-Basisschool";"2101AN";"HEEMSTEDE";"Noord-Holland";"Bo";"Openbaar";"40775";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0397";"Heemstede";"2034";"Haarlem";"10AR";"00";"Crayenester-Basisschool";"2101AN";"HEEMSTEDE";"Noord-Holland";"Bo";"Openbaar";"40775";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0397";"Heemstede";"2035";"Haarlem";"10AR";"00";"Crayenester-Basisschool";"2101AN";"HEEMSTEDE";"Noord-Holland";"Bo";"Openbaar";"40775";"0";"0";"<5";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0397";"Heemstede";"2036";"Haarlem";"10AR";"00";"Crayenester-Basisschool";"2101AN";"HEEMSTEDE";"Noord-Holland";"Bo";"Openbaar";"40775";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0397";"Heemstede";"2101";"Heemstede";"10AR";"00";"Crayenester-Basisschool";"2101AN";"HEEMSTEDE";"Noord-Holland";"Bo";"Openbaar";"40775";"0";"21";"21";"16";"25";"15";"17";"22";"17";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0397";"Heemstede";"2102";"Heemstede";"10AR";"00";"Crayenester-Basisschool";"2101AN";"HEEMSTEDE";"Noord-Holland";"Bo";"Openbaar";"40775";"0";"10";"17";"11";"13";"26";"16";"16";"18";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0397";"Heemstede";"2103";"Heemstede";"10AR";"00";"Crayenester-Basisschool";"2101AN";"HEEMSTEDE";"Noord-Holland";"Bo";"Openbaar";"40775";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0397";"Heemstede";"2104";"Heemstede";"10AR";"00";"Crayenester-Basisschool";"2101AN";"HEEMSTEDE";"Noord-Holland";"Bo";"Openbaar";"40775";"0";"<5";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0397";"Heemstede";"2105";"Heemstede";"10AR";"00";"Crayenester-Basisschool";"2101AN";"HEEMSTEDE";"Noord-Holland";"Bo";"Openbaar";"40775";"0";"<5";"<5";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0397";"Heemstede";"2106";"Heemstede";"10AR";"00";"Crayenester-Basisschool";"2101AN";"HEEMSTEDE";"Noord-Holland";"Bo";"Openbaar";"40775";"0";"5";"9";"12";"8";"9";"7";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0397";"Heemstede";"2111";"Bloemendaal";"10AR";"00";"Crayenester-Basisschool";"2101AN";"HEEMSTEDE";"Noord-Holland";"Bo";"Openbaar";"40775";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0397";"Heemstede";"2142";"Haarlemmermeer";"10AR";"00";"Crayenester-Basisschool";"2101AN";"HEEMSTEDE";"Noord-Holland";"Bo";"Openbaar";"40775";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0397";"Heemstede";"2153";"Haarlemmermeer";"10AR";"00";"Crayenester-Basisschool";"2101AN";"HEEMSTEDE";"Noord-Holland";"Bo";"Openbaar";"40775";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
