"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0246";"Heerde";"7722";"Dalfsen";"00GR";"00";"Kristal";"8181VZ";"HEERDE";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0246";"Heerde";"8161";"Epe";"00GR";"00";"Kristal";"8181VZ";"HEERDE";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0246";"Heerde";"8167";"Epe";"00GR";"00";"Kristal";"8181VZ";"HEERDE";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"<5";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0246";"Heerde";"8171";"Epe";"00GR";"00";"Kristal";"8181VZ";"HEERDE";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0246";"Heerde";"8181";"Heerde";"00GR";"00";"Kristal";"8181VZ";"HEERDE";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"13";"10";"13";"15";"7";"14";"11";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0246";"Heerde";"8191";"Heerde";"00GR";"00";"Kristal";"8181VZ";"HEERDE";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"<5";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0246";"Heerde";"7329";"Apeldoorn";"02YN";"34";"De Ambelt VSO Wapenveld";"8191JS";"WAPENVELD";"Gelderland";"Vso";"Openbaar";"42623";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0246";"Heerde";"7414";"Deventer";"02YN";"34";"De Ambelt VSO Wapenveld";"8191JS";"WAPENVELD";"Gelderland";"Vso";"Openbaar";"42623";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0246";"Heerde";"7731";"Ommen";"02YN";"34";"De Ambelt VSO Wapenveld";"8191JS";"WAPENVELD";"Gelderland";"Vso";"Openbaar";"42623";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0246";"Heerde";"7908";"Hoogeveen";"02YN";"34";"De Ambelt VSO Wapenveld";"8191JS";"WAPENVELD";"Gelderland";"Vso";"Openbaar";"42623";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0246";"Heerde";"7909";"Hoogeveen";"02YN";"34";"De Ambelt VSO Wapenveld";"8191JS";"WAPENVELD";"Gelderland";"Vso";"Openbaar";"42623";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0246";"Heerde";"8011";"Zwolle";"02YN";"34";"De Ambelt VSO Wapenveld";"8191JS";"WAPENVELD";"Gelderland";"Vso";"Openbaar";"42623";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0246";"Heerde";"8014";"Zwolle";"02YN";"34";"De Ambelt VSO Wapenveld";"8191JS";"WAPENVELD";"Gelderland";"Vso";"Openbaar";"42623";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
