"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0074";"Heerenveen";"8404";"Opsterland";"04VG";"00";"SWS De Nijewier";"8458CA";"TJALLEBERD";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0074";"Heerenveen";"8447";"Heerenveen";"04VG";"00";"SWS De Nijewier";"8458CA";"TJALLEBERD";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0074";"Heerenveen";"8449";"Heerenveen";"04VG";"00";"SWS De Nijewier";"8458CA";"TJALLEBERD";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0074";"Heerenveen";"8457";"Heerenveen";"04VG";"00";"SWS De Nijewier";"8458CA";"TJALLEBERD";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"<5";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0074";"Heerenveen";"8458";"Heerenveen";"04VG";"00";"SWS De Nijewier";"8458CA";"TJALLEBERD";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"8";"6";"8";"10";"8";"15";"9";"9";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0074";"Heerenveen";"8459";"Heerenveen";"04VG";"00";"SWS De Nijewier";"8458CA";"TJALLEBERD";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"<5";"<5";"8";"<5";"<5";"7";"7";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0074";"Heerenveen";"8468";"Heerenveen";"04VG";"00";"SWS De Nijewier";"8458CA";"TJALLEBERD";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0074";"Heerenveen";"8469";"Heerenveen";"04VG";"00";"SWS De Nijewier";"8458CA";"TJALLEBERD";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0074";"Heerenveen";"40";"Onbekend";"07PR";"00";"RK Basisschool St Jozef";"8442BC";"HEERENVEEN";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0074";"Heerenveen";"8441";"Heerenveen";"07PR";"00";"RK Basisschool St Jozef";"8442BC";"HEERENVEEN";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0074";"Heerenveen";"8442";"Heerenveen";"07PR";"00";"RK Basisschool St Jozef";"8442BC";"HEERENVEEN";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"9";"9";"8";"9";"10";"9";"7";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0074";"Heerenveen";"8443";"Heerenveen";"07PR";"00";"RK Basisschool St Jozef";"8442BC";"HEERENVEEN";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0074";"Heerenveen";"8446";"Heerenveen";"07PR";"00";"RK Basisschool St Jozef";"8442BC";"HEERENVEEN";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0074";"Heerenveen";"8447";"Heerenveen";"07PR";"00";"RK Basisschool St Jozef";"8442BC";"HEERENVEEN";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0074";"Heerenveen";"8448";"Heerenveen";"07PR";"00";"RK Basisschool St Jozef";"8442BC";"HEERENVEEN";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0074";"Heerenveen";"8451";"Heerenveen";"07PR";"00";"RK Basisschool St Jozef";"8442BC";"HEERENVEEN";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0074";"Heerenveen";"8453";"Heerenveen";"07PR";"00";"RK Basisschool St Jozef";"8442BC";"HEERENVEEN";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0074";"Heerenveen";"8456";"Heerenveen";"07PR";"00";"RK Basisschool St Jozef";"8442BC";"HEERENVEEN";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0074";"Heerenveen";"8469";"Heerenveen";"07PR";"00";"RK Basisschool St Jozef";"8442BC";"HEERENVEEN";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0074";"Heerenveen";"8471";"Weststellingwerf";"07PR";"00";"RK Basisschool St Jozef";"8442BC";"HEERENVEEN";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0074";"Heerenveen";"8501";"De Fryske Marren";"07PR";"00";"RK Basisschool St Jozef";"8442BC";"HEERENVEEN";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0074";"Heerenveen";"8389";"Weststellingwerf";"08AG";"00";"Meester S Wybrandisch";"8413NM";"OUDEHORNE";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0074";"Heerenveen";"8391";"Weststellingwerf";"08AG";"00";"Meester S Wybrandisch";"8413NM";"OUDEHORNE";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0074";"Heerenveen";"8401";"Opsterland";"08AG";"00";"Meester S Wybrandisch";"8413NM";"OUDEHORNE";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0074";"Heerenveen";"8411";"Heerenveen";"08AG";"00";"Meester S Wybrandisch";"8413NM";"OUDEHORNE";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"<5";"<5";"<5";"<5";"5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0074";"Heerenveen";"8413";"Heerenveen";"08AG";"00";"Meester S Wybrandisch";"8413NM";"OUDEHORNE";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"<5";"<5";"<5";"6";"5";"6";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
