"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0917";"Heerlen";"40";"Onbekend";"01UO";"00";"De Buitenhof";"6419PJ";"HEERLEN";"Limburg";"Vso";"Algemeen bijzonder";"41821";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0917";"Heerlen";"6114";"Echt-Susteren";"01UO";"00";"De Buitenhof";"6419PJ";"HEERLEN";"Limburg";"So";"Algemeen bijzonder";"41821";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0917";"Heerlen";"6118";"Echt-Susteren";"01UO";"00";"De Buitenhof";"6419PJ";"HEERLEN";"Limburg";"Vso";"Algemeen bijzonder";"41821";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0917";"Heerlen";"6121";"Sittard-Geleen";"01UO";"00";"De Buitenhof";"6419PJ";"HEERLEN";"Limburg";"Vso";"Algemeen bijzonder";"41821";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0917";"Heerlen";"6129";"Stein";"01UO";"00";"De Buitenhof";"6419PJ";"HEERLEN";"Limburg";"Vso";"Algemeen bijzonder";"41821";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0917";"Heerlen";"6136";"Sittard-Geleen";"01UO";"00";"De Buitenhof";"6419PJ";"HEERLEN";"Limburg";"So";"Algemeen bijzonder";"41821";"0";"0";"0";"<5";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0917";"Heerlen";"6136";"Sittard-Geleen";"01UO";"00";"De Buitenhof";"6419PJ";"HEERLEN";"Limburg";"Vso";"Algemeen bijzonder";"41821";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0917";"Heerlen";"6137";"Sittard-Geleen";"01UO";"00";"De Buitenhof";"6419PJ";"HEERLEN";"Limburg";"So";"Algemeen bijzonder";"41821";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0917";"Heerlen";"6137";"Sittard-Geleen";"01UO";"00";"De Buitenhof";"6419PJ";"HEERLEN";"Limburg";"Vso";"Algemeen bijzonder";"41821";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0917";"Heerlen";"6155";"Beekdaelen";"01UO";"00";"De Buitenhof";"6419PJ";"HEERLEN";"Limburg";"Vso";"Algemeen bijzonder";"41821";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
