"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0399";"Heiloo";"1813";"Alkmaar";"07ET";"00";"Elckerlyc Bs Freinetonderwijs";"1852WS";"HEILOO";"Noord-Holland";"Bo";"Algemeen bijzonder";"84489";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0399";"Heiloo";"1814";"Alkmaar";"07ET";"00";"Elckerlyc Bs Freinetonderwijs";"1852WS";"HEILOO";"Noord-Holland";"Bo";"Algemeen bijzonder";"84489";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0399";"Heiloo";"1817";"Alkmaar";"07ET";"00";"Elckerlyc Bs Freinetonderwijs";"1852WS";"HEILOO";"Noord-Holland";"Bo";"Algemeen bijzonder";"84489";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0399";"Heiloo";"1851";"Heiloo";"07ET";"00";"Elckerlyc Bs Freinetonderwijs";"1852WS";"HEILOO";"Noord-Holland";"Bo";"Algemeen bijzonder";"84489";"0";"<5";"<5";"<5";"6";"<5";"<5";"6";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0399";"Heiloo";"1852";"Heiloo";"07ET";"00";"Elckerlyc Bs Freinetonderwijs";"1852WS";"HEILOO";"Noord-Holland";"Bo";"Algemeen bijzonder";"84489";"0";"17";"8";"17";"9";"11";"11";"15";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0399";"Heiloo";"1853";"Heiloo";"07ET";"00";"Elckerlyc Bs Freinetonderwijs";"1852WS";"HEILOO";"Noord-Holland";"Bo";"Algemeen bijzonder";"84489";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0399";"Heiloo";"1901";"Castricum";"07ET";"00";"Elckerlyc Bs Freinetonderwijs";"1852WS";"HEILOO";"Noord-Holland";"Bo";"Algemeen bijzonder";"84489";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0399";"Heiloo";"1906";"Castricum";"07ET";"00";"Elckerlyc Bs Freinetonderwijs";"1852WS";"HEILOO";"Noord-Holland";"Bo";"Algemeen bijzonder";"84489";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0399";"Heiloo";"1921";"Castricum";"07ET";"00";"Elckerlyc Bs Freinetonderwijs";"1852WS";"HEILOO";"Noord-Holland";"Bo";"Algemeen bijzonder";"84489";"0";"<5";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0399";"Heiloo";"1931";"Bergen (NH.)";"07ET";"00";"Elckerlyc Bs Freinetonderwijs";"1852WS";"HEILOO";"Noord-Holland";"Bo";"Algemeen bijzonder";"84489";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0399";"Heiloo";"1934";"Bergen (NH.)";"07ET";"00";"Elckerlyc Bs Freinetonderwijs";"1852WS";"HEILOO";"Noord-Holland";"Bo";"Algemeen bijzonder";"84489";"0";"0";"<5";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0399";"Heiloo";"1935";"Bergen (NH.)";"07ET";"00";"Elckerlyc Bs Freinetonderwijs";"1852WS";"HEILOO";"Noord-Holland";"Bo";"Algemeen bijzonder";"84489";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0399";"Heiloo";"1058";"Amsterdam";"08WB";"00";"Kindcentrum De Duif";"1852SN";"HEILOO";"Noord-Holland";"Bo";"Protestants-Christelijk";"40712";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0399";"Heiloo";"1703";"Dijk en Waard";"08WB";"00";"Kindcentrum De Duif";"1852SN";"HEILOO";"Noord-Holland";"Bo";"Protestants-Christelijk";"40712";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0399";"Heiloo";"1851";"Heiloo";"08WB";"00";"Kindcentrum De Duif";"1852SN";"HEILOO";"Noord-Holland";"Bo";"Protestants-Christelijk";"40712";"0";"<5";"5";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0399";"Heiloo";"1852";"Heiloo";"08WB";"00";"Kindcentrum De Duif";"1852SN";"HEILOO";"Noord-Holland";"Bo";"Protestants-Christelijk";"40712";"0";"35";"25";"25";"25";"24";"20";"20";"17";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0399";"Heiloo";"1853";"Heiloo";"08WB";"00";"Kindcentrum De Duif";"1852SN";"HEILOO";"Noord-Holland";"Bo";"Protestants-Christelijk";"40712";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0399";"Heiloo";"1911";"Uitgeest";"08WB";"00";"Kindcentrum De Duif";"1852SN";"HEILOO";"Noord-Holland";"Bo";"Protestants-Christelijk";"40712";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0399";"Heiloo";"1813";"Alkmaar";"08ZX";"00";"St Radboud";"1851LB";"HEILOO";"Noord-Holland";"Bo";"Rooms-Katholiek";"73919";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0399";"Heiloo";"1851";"Heiloo";"08ZX";"00";"St Radboud";"1851LB";"HEILOO";"Noord-Holland";"Bo";"Rooms-Katholiek";"73919";"0";"29";"28";"24";"23";"27";"26";"28";"21";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0399";"Heiloo";"1852";"Heiloo";"08ZX";"00";"St Radboud";"1851LB";"HEILOO";"Noord-Holland";"Bo";"Rooms-Katholiek";"73919";"0";"5";"<5";"6";"10";"10";"10";"11";"15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0399";"Heiloo";"1853";"Heiloo";"08ZX";"00";"St Radboud";"1851LB";"HEILOO";"Noord-Holland";"Bo";"Rooms-Katholiek";"73919";"0";"8";"6";"5";"<5";"7";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0399";"Heiloo";"1906";"Castricum";"08ZX";"00";"St Radboud";"1851LB";"HEILOO";"Noord-Holland";"Bo";"Rooms-Katholiek";"73919";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0399";"Heiloo";"1921";"Castricum";"08ZX";"00";"St Radboud";"1851LB";"HEILOO";"Noord-Holland";"Bo";"Rooms-Katholiek";"73919";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0399";"Heiloo";"9751";"Groningen";"08ZX";"00";"St Radboud";"1851LB";"HEILOO";"Noord-Holland";"Bo";"Rooms-Katholiek";"73919";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0399";"Heiloo";"1814";"Alkmaar";"09XB";"00";"Basisschool Benedictus";"1851CK";"HEILOO";"Noord-Holland";"Bo";"Rooms-Katholiek";"73919";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
