"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0163";"Hellendoorn";"7441";"Hellendoorn";"00IJ";"00";"PC BS De Schaapskooi";"7443HC";"NIJVERDAL";"Overijssel";"Bo";"Protestants-Christelijk";"85600";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0163";"Hellendoorn";"7442";"Hellendoorn";"00IJ";"00";"PC BS De Schaapskooi";"7443HC";"NIJVERDAL";"Overijssel";"Bo";"Protestants-Christelijk";"85600";"0";"0";"<5";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0163";"Hellendoorn";"7443";"Hellendoorn";"00IJ";"00";"PC BS De Schaapskooi";"7443HC";"NIJVERDAL";"Overijssel";"Bo";"Protestants-Christelijk";"85600";"0";"23";"28";"19";"16";"22";"24";"16";"13";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0163";"Hellendoorn";"7447";"Hellendoorn";"00IJ";"00";"PC BS De Schaapskooi";"7443HC";"NIJVERDAL";"Overijssel";"Bo";"Protestants-Christelijk";"85600";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0163";"Hellendoorn";"7441";"Hellendoorn";"03NP";"00";"Basissch St Sebastianus";"7447CK";"HELLENDOORN";"Overijssel";"Bo";"Rooms-Katholiek";"68836";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0163";"Hellendoorn";"7442";"Hellendoorn";"03NP";"00";"Basissch St Sebastianus";"7447CK";"HELLENDOORN";"Overijssel";"Bo";"Rooms-Katholiek";"68836";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0163";"Hellendoorn";"7443";"Hellendoorn";"03NP";"00";"Basissch St Sebastianus";"7447CK";"HELLENDOORN";"Overijssel";"Bo";"Rooms-Katholiek";"68836";"0";"0";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0163";"Hellendoorn";"7447";"Hellendoorn";"03NP";"00";"Basissch St Sebastianus";"7447CK";"HELLENDOORN";"Overijssel";"Bo";"Rooms-Katholiek";"68836";"0";"12";"18";"12";"21";"18";"21";"21";"16";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0163";"Hellendoorn";"7645";"Wierden";"03NP";"00";"Basissch St Sebastianus";"7447CK";"HELLENDOORN";"Overijssel";"Bo";"Rooms-Katholiek";"68836";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0163";"Hellendoorn";"7722";"Dalfsen";"03NP";"00";"Basissch St Sebastianus";"7447CK";"HELLENDOORN";"Overijssel";"Bo";"Rooms-Katholiek";"68836";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0163";"Hellendoorn";"7441";"Hellendoorn";"03ZN";"00";"Chr SSBO De Brug";"7442EJ";"NIJVERDAL";"Overijssel";"Sbo";"Protestants-Christelijk";"85600";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0163";"Hellendoorn";"7442";"Hellendoorn";"03ZN";"00";"Chr SSBO De Brug";"7442EJ";"NIJVERDAL";"Overijssel";"Sbo";"Protestants-Christelijk";"85600";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0163";"Hellendoorn";"7443";"Hellendoorn";"03ZN";"00";"Chr SSBO De Brug";"7442EJ";"NIJVERDAL";"Overijssel";"Sbo";"Protestants-Christelijk";"85600";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0163";"Hellendoorn";"7447";"Hellendoorn";"03ZN";"00";"Chr SSBO De Brug";"7442EJ";"NIJVERDAL";"Overijssel";"Sbo";"Protestants-Christelijk";"85600";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0163";"Hellendoorn";"7602";"Almelo";"03ZN";"00";"Chr SSBO De Brug";"7442EJ";"NIJVERDAL";"Overijssel";"Sbo";"Protestants-Christelijk";"85600";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0163";"Hellendoorn";"7642";"Wierden";"03ZN";"00";"Chr SSBO De Brug";"7442EJ";"NIJVERDAL";"Overijssel";"Sbo";"Protestants-Christelijk";"85600";"0";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0163";"Hellendoorn";"7443";"Hellendoorn";"04OF";"00";"PC Basissch De Bongerd";"7443RS";"NIJVERDAL";"Overijssel";"Bo";"Protestants-Christelijk";"85600";"0";"20";"15";"19";"20";"14";"13";"10";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0163";"Hellendoorn";"7447";"Hellendoorn";"04OF";"00";"PC Basissch De Bongerd";"7443RS";"NIJVERDAL";"Overijssel";"Bo";"Protestants-Christelijk";"85600";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0163";"Hellendoorn";"7609";"Almelo";"04OF";"00";"PC Basissch De Bongerd";"7443RS";"NIJVERDAL";"Overijssel";"Bo";"Protestants-Christelijk";"85600";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0163";"Hellendoorn";"7645";"Wierden";"04OF";"00";"PC Basissch De Bongerd";"7443RS";"NIJVERDAL";"Overijssel";"Bo";"Protestants-Christelijk";"85600";"0";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0163";"Hellendoorn";"40";"Onbekend";"04PO";"00";"Basissch De Marliaantjes";"7447SM";"HELLENDOORN";"Overijssel";"Bo";"Protestants-Christelijk";"61751";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
