"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0794";"Helmond";"5642";"Eindhoven";"02SG";"00";"SBO De Toermalijn";"5702PW";"HELMOND";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"30240";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0794";"Helmond";"5701";"Helmond";"02SG";"00";"SBO De Toermalijn";"5702PW";"HELMOND";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"30240";"0";"<5";"<5";"<5";"5";"<5";"6";"12";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0794";"Helmond";"5702";"Helmond";"02SG";"00";"SBO De Toermalijn";"5702PW";"HELMOND";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"30240";"0";"0";"<5";"<5";"6";"7";"<5";"7";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0794";"Helmond";"5703";"Helmond";"02SG";"00";"SBO De Toermalijn";"5702PW";"HELMOND";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"30240";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0794";"Helmond";"5704";"Helmond";"02SG";"00";"SBO De Toermalijn";"5702PW";"HELMOND";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"30240";"0";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0794";"Helmond";"5705";"Helmond";"02SG";"00";"SBO De Toermalijn";"5702PW";"HELMOND";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"30240";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0794";"Helmond";"5706";"Helmond";"02SG";"00";"SBO De Toermalijn";"5702PW";"HELMOND";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"30240";"0";"0";"<5";"<5";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0794";"Helmond";"5707";"Helmond";"02SG";"00";"SBO De Toermalijn";"5702PW";"HELMOND";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"30240";"0";"0";"0";"0";"<5";"<5";"<5";"0";"<5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0794";"Helmond";"5708";"Helmond";"02SG";"00";"SBO De Toermalijn";"5702PW";"HELMOND";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"30240";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0794";"Helmond";"5709";"Helmond";"02SG";"00";"SBO De Toermalijn";"5702PW";"HELMOND";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"30240";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0794";"Helmond";"5715";"Someren";"02SG";"00";"SBO De Toermalijn";"5702PW";"HELMOND";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"30240";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0794";"Helmond";"5731";"Geldrop-Mierlo";"02SG";"00";"SBO De Toermalijn";"5702PW";"HELMOND";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"30240";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0794";"Helmond";"5735";"Laarbeek";"02SG";"00";"SBO De Toermalijn";"5702PW";"HELMOND";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"30240";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0794";"Helmond";"5741";"Laarbeek";"02SG";"00";"SBO De Toermalijn";"5702PW";"HELMOND";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"30240";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0794";"Helmond";"5761";"Gemert-Bakel";"02SG";"00";"SBO De Toermalijn";"5702PW";"HELMOND";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"30240";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0794";"Helmond";"5411";"Maashorst";"03TV";"11";"De Korenaer Helmond";"5701TA";"HELMOND";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0794";"Helmond";"5421";"Gemert-Bakel";"03TV";"11";"De Korenaer Helmond";"5701TA";"HELMOND";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0794";"Helmond";"5427";"Boekel";"03TV";"11";"De Korenaer Helmond";"5701TA";"HELMOND";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0794";"Helmond";"5467";"Meierijstad";"03TV";"11";"De Korenaer Helmond";"5701TA";"HELMOND";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0794";"Helmond";"5509";"Veldhoven";"03TV";"11";"De Korenaer Helmond";"5701TA";"HELMOND";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0794";"Helmond";"5613";"Eindhoven";"03TV";"11";"De Korenaer Helmond";"5701TA";"HELMOND";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0794";"Helmond";"5621";"Eindhoven";"03TV";"11";"De Korenaer Helmond";"5701TA";"HELMOND";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0794";"Helmond";"5665";"Geldrop-Mierlo";"03TV";"11";"De Korenaer Helmond";"5701TA";"HELMOND";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0794";"Helmond";"5701";"Helmond";"03TV";"11";"De Korenaer Helmond";"5701TA";"HELMOND";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"5";"<5";"5";"6";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0794";"Helmond";"5702";"Helmond";"03TV";"11";"De Korenaer Helmond";"5701TA";"HELMOND";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0794";"Helmond";"5703";"Helmond";"03TV";"11";"De Korenaer Helmond";"5701TA";"HELMOND";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0794";"Helmond";"5704";"Helmond";"03TV";"11";"De Korenaer Helmond";"5701TA";"HELMOND";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0794";"Helmond";"5705";"Helmond";"03TV";"11";"De Korenaer Helmond";"5701TA";"HELMOND";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0794";"Helmond";"5706";"Helmond";"03TV";"11";"De Korenaer Helmond";"5701TA";"HELMOND";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
