"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1966";"Het Hogeland";"9921";"Eemsdelta";"03DG";"00";"OBS Klinkenborg";"9995PN";"KANTENS";"Groningen";"Bo";"Openbaar";"41261";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1966";"Het Hogeland";"9981";"Het Hogeland";"03DG";"00";"OBS Klinkenborg";"9995PN";"KANTENS";"Groningen";"Bo";"Openbaar";"41261";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1966";"Het Hogeland";"9991";"Eemsdelta";"03DG";"00";"OBS Klinkenborg";"9995PN";"KANTENS";"Groningen";"Bo";"Openbaar";"41261";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1966";"Het Hogeland";"9995";"Het Hogeland";"03DG";"00";"OBS Klinkenborg";"9995PN";"KANTENS";"Groningen";"Bo";"Openbaar";"41261";"0";"<5";"<5";"<5";"6";"6";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1966";"Het Hogeland";"9998";"Het Hogeland";"03DG";"00";"OBS Klinkenborg";"9995PN";"KANTENS";"Groningen";"Bo";"Openbaar";"41261";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1966";"Het Hogeland";"9971";"Het Hogeland";"03EI";"00";"OBS De Noordster";"9988SC";"USQUERT";"Groningen";"Bo";"Openbaar";"41261";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1966";"Het Hogeland";"9988";"Het Hogeland";"03EI";"00";"OBS De Noordster";"9988SC";"USQUERT";"Groningen";"Bo";"Openbaar";"41261";"0";"9";"12";"10";"<5";"8";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1966";"Het Hogeland";"9791";"Groningen";"03KP";"00";"CBS Koning Willem-Alexander";"9981JT";"UITHUIZEN";"Groningen";"Bo";"Protestants-Christelijk";"41261";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1966";"Het Hogeland";"9905";"Eemsdelta";"03KP";"00";"CBS Koning Willem-Alexander";"9981JT";"UITHUIZEN";"Groningen";"Bo";"Protestants-Christelijk";"41261";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1966";"Het Hogeland";"9908";"Eemsdelta";"03KP";"00";"CBS Koning Willem-Alexander";"9981JT";"UITHUIZEN";"Groningen";"Bo";"Protestants-Christelijk";"41261";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1966";"Het Hogeland";"9923";"Eemsdelta";"03KP";"00";"CBS Koning Willem-Alexander";"9981JT";"UITHUIZEN";"Groningen";"Bo";"Protestants-Christelijk";"41261";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1966";"Het Hogeland";"9981";"Het Hogeland";"03KP";"00";"CBS Koning Willem-Alexander";"9981JT";"UITHUIZEN";"Groningen";"Bo";"Protestants-Christelijk";"41261";"0";"12";"24";"11";"13";"6";"11";"14";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1966";"Het Hogeland";"9982";"Het Hogeland";"03KP";"00";"CBS Koning Willem-Alexander";"9981JT";"UITHUIZEN";"Groningen";"Bo";"Protestants-Christelijk";"41261";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1966";"Het Hogeland";"9988";"Het Hogeland";"03KP";"00";"CBS Koning Willem-Alexander";"9981JT";"UITHUIZEN";"Groningen";"Bo";"Protestants-Christelijk";"41261";"0";"<5";"<5";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1966";"Het Hogeland";"9989";"Het Hogeland";"03KP";"00";"CBS Koning Willem-Alexander";"9981JT";"UITHUIZEN";"Groningen";"Bo";"Protestants-Christelijk";"41261";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1966";"Het Hogeland";"9997";"Het Hogeland";"03KP";"00";"CBS Koning Willem-Alexander";"9981JT";"UITHUIZEN";"Groningen";"Bo";"Protestants-Christelijk";"41261";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1966";"Het Hogeland";"9771";"Het Hogeland";"04PV";"00";"Streekschool De Wierde";"9951VZ";"WINSUM GN";"Groningen";"Bo";"Gereformeerd vrijgemaakt";"37038";"0";"<5";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1966";"Het Hogeland";"9773";"Het Hogeland";"04PV";"00";"Streekschool De Wierde";"9951VZ";"WINSUM GN";"Groningen";"Bo";"Gereformeerd vrijgemaakt";"37038";"0";"0";"<5";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1966";"Het Hogeland";"9831";"Westerkwartier";"04PV";"00";"Streekschool De Wierde";"9951VZ";"WINSUM GN";"Groningen";"Bo";"Gereformeerd vrijgemaakt";"37038";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1966";"Het Hogeland";"9951";"Het Hogeland";"04PV";"00";"Streekschool De Wierde";"9951VZ";"WINSUM GN";"Groningen";"Bo";"Gereformeerd vrijgemaakt";"37038";"0";"13";"12";"15";"12";"12";"15";"19";"14";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1966";"Het Hogeland";"9953";"Het Hogeland";"04PV";"00";"Streekschool De Wierde";"9951VZ";"WINSUM GN";"Groningen";"Bo";"Gereformeerd vrijgemaakt";"37038";"0";"<5";"<5";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
