"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0252";"Heumen";"5345";"Oss";"03RW";"00";"De Tandem";"6612BB";"NEDERASSELT";"Gelderland";"Bo";"Rooms-Katholiek";"40814";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0252";"Heumen";"6612";"Heumen";"03RW";"00";"De Tandem";"6612BB";"NEDERASSELT";"Gelderland";"Bo";"Rooms-Katholiek";"40814";"0";"9";"11";"6";"<5";"7";"<5";"9";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0252";"Heumen";"40";"Onbekend";"05DC";"00";"RK Basissch D Zilverberg";"6611BR";"OVERASSELT";"Gelderland";"Bo";"Rooms-Katholiek";"40814";"0";"0";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0252";"Heumen";"6582";"Heumen";"05DC";"00";"RK Basissch D Zilverberg";"6611BR";"OVERASSELT";"Gelderland";"Bo";"Rooms-Katholiek";"40814";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0252";"Heumen";"6603";"Wijchen";"05DC";"00";"RK Basissch D Zilverberg";"6611BR";"OVERASSELT";"Gelderland";"Bo";"Rooms-Katholiek";"40814";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0252";"Heumen";"6605";"Wijchen";"05DC";"00";"RK Basissch D Zilverberg";"6611BR";"OVERASSELT";"Gelderland";"Bo";"Rooms-Katholiek";"40814";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0252";"Heumen";"6611";"Heumen";"05DC";"00";"RK Basissch D Zilverberg";"6611BR";"OVERASSELT";"Gelderland";"Bo";"Rooms-Katholiek";"40814";"0";"18";"22";"22";"20";"14";"27";"19";"26";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0252";"Heumen";"6612";"Heumen";"05DC";"00";"RK Basissch D Zilverberg";"6611BR";"OVERASSELT";"Gelderland";"Bo";"Rooms-Katholiek";"40814";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0252";"Heumen";"6566";"Berg en Dal";"05HO";"00";"Basisschool Sint Joris";"6582BC";"HEUMEN";"Gelderland";"Bo";"Rooms-Katholiek";"40814";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0252";"Heumen";"6582";"Heumen";"05HO";"00";"Basisschool Sint Joris";"6582BC";"HEUMEN";"Gelderland";"Bo";"Rooms-Katholiek";"40814";"0";"24";"17";"24";"22";"18";"14";"12";"16";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0252";"Heumen";"6653";"Druten";"05HO";"00";"Basisschool Sint Joris";"6582BC";"HEUMEN";"Gelderland";"Bo";"Rooms-Katholiek";"40814";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
