"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0798";"Hilvarenbeek";"5081";"Hilvarenbeek";"03YB";"00";"Torenlei";"5085EG";"ESBEEK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40941";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0798";"Hilvarenbeek";"5085";"Hilvarenbeek";"03YB";"00";"Torenlei";"5085EG";"ESBEEK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40941";"0";"10";"12";"6";"11";"6";"11";"7";"10";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0798";"Hilvarenbeek";"5094";"Reusel-De Mierden";"03YB";"00";"Torenlei";"5085EG";"ESBEEK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40941";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0798";"Hilvarenbeek";"5095";"Reusel-De Mierden";"03YB";"00";"Torenlei";"5085EG";"ESBEEK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40941";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0798";"Hilvarenbeek";"40";"Onbekend";"08XC";"00";"Starrebos";"5081VH";"HILVARENBEEK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40941";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0798";"Hilvarenbeek";"5025";"Tilburg";"08XC";"00";"Starrebos";"5081VH";"HILVARENBEEK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40941";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0798";"Hilvarenbeek";"5052";"Goirle";"08XC";"00";"Starrebos";"5081VH";"HILVARENBEEK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40941";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0798";"Hilvarenbeek";"5081";"Hilvarenbeek";"08XC";"00";"Starrebos";"5081VH";"HILVARENBEEK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40941";"0";"14";"20";"29";"18";"34";"38";"35";"32";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0798";"Hilvarenbeek";"5084";"Hilvarenbeek";"08XC";"00";"Starrebos";"5081VH";"HILVARENBEEK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40941";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0798";"Hilvarenbeek";"5085";"Hilvarenbeek";"08XC";"00";"Starrebos";"5081VH";"HILVARENBEEK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40941";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
