"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1735";"Hof van Twente";"7495";"Hof van Twente";"03AN";"00";"Basisschool Azelo";"7495TW";"AMBT DELDEN";"Overijssel";"Bo";"Openbaar";"41785";"0";"<5";"<5";"<5";"<5";"5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1735";"Hof van Twente";"7621";"Borne";"03AN";"00";"Basisschool Azelo";"7495TW";"AMBT DELDEN";"Overijssel";"Bo";"Openbaar";"41785";"0";"0";"<5";"<5";"<5";"5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1735";"Hof van Twente";"7622";"Borne";"03AN";"00";"Basisschool Azelo";"7495TW";"AMBT DELDEN";"Overijssel";"Bo";"Openbaar";"41785";"0";"0";"<5";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1735";"Hof van Twente";"7625";"Borne";"03AN";"00";"Basisschool Azelo";"7495TW";"AMBT DELDEN";"Overijssel";"Bo";"Openbaar";"41785";"0";"<5";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1735";"Hof van Twente";"7627";"Almelo";"03AN";"00";"Basisschool Azelo";"7495TW";"AMBT DELDEN";"Overijssel";"Bo";"Openbaar";"41785";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1735";"Hof van Twente";"7491";"Hof van Twente";"03IC";"00";"IKC Magenta";"7491AK";"DELDEN";"Overijssel";"Bo";"Algemeen bijzonder";"27910";"0";"26";"15";"33";"29";"17";"29";"25";"19";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1735";"Hof van Twente";"7495";"Hof van Twente";"03IC";"00";"IKC Magenta";"7491AK";"DELDEN";"Overijssel";"Bo";"Algemeen bijzonder";"27910";"0";"<5";"<5";"<5";"<5";"5";"5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1735";"Hof van Twente";"7497";"Hof van Twente";"03IC";"00";"IKC Magenta";"7491AK";"DELDEN";"Overijssel";"Bo";"Algemeen bijzonder";"27910";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1735";"Hof van Twente";"7552";"Hengelo";"03IC";"00";"IKC Magenta";"7491AK";"DELDEN";"Overijssel";"Bo";"Algemeen bijzonder";"27910";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1735";"Hof van Twente";"7554";"Hengelo";"03IC";"00";"IKC Magenta";"7491AK";"DELDEN";"Overijssel";"Bo";"Algemeen bijzonder";"27910";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1735";"Hof van Twente";"7556";"Hengelo";"03IC";"00";"IKC Magenta";"7491AK";"DELDEN";"Overijssel";"Bo";"Algemeen bijzonder";"27910";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1735";"Hof van Twente";"7558";"Hengelo";"03IC";"00";"IKC Magenta";"7491AK";"DELDEN";"Overijssel";"Bo";"Algemeen bijzonder";"27910";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1735";"Hof van Twente";"7621";"Borne";"03IC";"00";"IKC Magenta";"7491AK";"DELDEN";"Overijssel";"Bo";"Algemeen bijzonder";"27910";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1735";"Hof van Twente";"7627";"Almelo";"03IC";"00";"IKC Magenta";"7491AK";"DELDEN";"Overijssel";"Bo";"Algemeen bijzonder";"27910";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1735";"Hof van Twente";"7471";"Hof van Twente";"03OC";"00";"OEC De Welp";"7475CX";"MARKELO";"Overijssel";"Bo";"Protestants-Christelijk";"27910";"0";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1735";"Hof van Twente";"7475";"Hof van Twente";"03OC";"00";"OEC De Welp";"7475CX";"MARKELO";"Overijssel";"Bo";"Protestants-Christelijk";"27910";"0";"6";"11";"11";"14";"14";"15";"17";"12";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1735";"Hof van Twente";"7471";"Hof van Twente";"03XH";"00";"Basisschool De Albatros";"7471EL";"GOOR";"Overijssel";"Bo";"Rooms-Katholiek";"25351";"0";"17";"15";"15";"22";"14";"16";"14";"14";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1735";"Hof van Twente";"7495";"Hof van Twente";"04WO";"00";"IKC Bentelwijz";"7497LD";"BENTELO";"Overijssel";"Bo";"Rooms-Katholiek";"27910";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1735";"Hof van Twente";"7497";"Hof van Twente";"04WO";"00";"IKC Bentelwijz";"7497LD";"BENTELO";"Overijssel";"Bo";"Rooms-Katholiek";"27910";"0";"17";"14";"21";"17";"20";"25";"17";"20";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1735";"Hof van Twente";"7554";"Hengelo";"04WO";"00";"IKC Bentelwijz";"7497LD";"BENTELO";"Overijssel";"Bo";"Rooms-Katholiek";"27910";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1735";"Hof van Twente";"7623";"Borne";"04WO";"00";"IKC Bentelwijz";"7497LD";"BENTELO";"Overijssel";"Bo";"Rooms-Katholiek";"27910";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1735";"Hof van Twente";"7471";"Hof van Twente";"05OJ";"00";"Prins Constantynschool";"7471JN";"GOOR";"Overijssel";"Bo";"Protestants-Christelijk";"27910";"0";"17";"9";"18";"13";"10";"18";"14";"11";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1735";"Hof van Twente";"7475";"Hof van Twente";"05OJ";"00";"Prins Constantynschool";"7471JN";"GOOR";"Overijssel";"Bo";"Protestants-Christelijk";"27910";"0";"<5";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1735";"Hof van Twente";"7495";"Hof van Twente";"05OJ";"00";"Prins Constantynschool";"7471JN";"GOOR";"Overijssel";"Bo";"Protestants-Christelijk";"27910";"0";"<5";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
