"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1911";"Hollands Kroon";"1777";"Hollands Kroon";"04BD";"00";"Heilige Henricus-School";"1777AC";"HIPPOLYTUSHOEF";"Noord-Holland";"Bo";"Rooms-Katholiek";"55238";"0";"24";"25";"17";"17";"23";"18";"24";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1911";"Hollands Kroon";"1778";"Hollands Kroon";"04BD";"00";"Heilige Henricus-School";"1777AC";"HIPPOLYTUSHOEF";"Noord-Holland";"Bo";"Rooms-Katholiek";"55238";"0";"<5";"<5";"<5";"6";"8";"<5";"<5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1911";"Hollands Kroon";"1779";"Hollands Kroon";"04BD";"00";"Heilige Henricus-School";"1777AC";"HIPPOLYTUSHOEF";"Noord-Holland";"Bo";"Rooms-Katholiek";"55238";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1911";"Hollands Kroon";"1761";"Hollands Kroon";"04UC";"00";"RK Basisschool St Jan";"1764GS";"BREEZAND";"Noord-Holland";"Bo";"Rooms-Katholiek";"55238";"0";"0";"0";"0";"<5";"<5";"0";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1911";"Hollands Kroon";"1764";"Hollands Kroon";"04UC";"00";"RK Basisschool St Jan";"1764GS";"BREEZAND";"Noord-Holland";"Bo";"Rooms-Katholiek";"55238";"0";"30";"29";"28";"20";"37";"26";"28";"29";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1911";"Hollands Kroon";"1786";"Den Helder";"04UC";"00";"RK Basisschool St Jan";"1764GS";"BREEZAND";"Noord-Holland";"Bo";"Rooms-Katholiek";"55238";"0";"0";"<5";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1911";"Hollands Kroon";"1761";"Hollands Kroon";"07FE";"00";"OBS De Meertuin";"1774BK";"SLOOTDORP";"Noord-Holland";"Bo";"Algemeen bijzonder";"41438";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1911";"Hollands Kroon";"1766";"Hollands Kroon";"07FE";"00";"OBS De Meertuin";"1774BK";"SLOOTDORP";"Noord-Holland";"Bo";"Algemeen bijzonder";"41438";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1911";"Hollands Kroon";"1768";"Hollands Kroon";"07FE";"00";"OBS De Meertuin";"1774BK";"SLOOTDORP";"Noord-Holland";"Bo";"Algemeen bijzonder";"41438";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1911";"Hollands Kroon";"1771";"Hollands Kroon";"07FE";"00";"OBS De Meertuin";"1774BK";"SLOOTDORP";"Noord-Holland";"Bo";"Algemeen bijzonder";"41438";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
