"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0405";"Hoorn";"1462";"Purmerend";"01UR";"00";"IKEC-Hoorn";"1624EH";"HOORN NH";"Noord-Holland";"Sbo";"Algemeen bijzonder";"42635";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0405";"Hoorn";"1474";"Edam-Volendam";"01UR";"00";"IKEC-Hoorn";"1624EH";"HOORN NH";"Noord-Holland";"Sbo";"Algemeen bijzonder";"42635";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0405";"Hoorn";"1602";"Enkhuizen";"01UR";"00";"IKEC-Hoorn";"1624EH";"HOORN NH";"Noord-Holland";"Sbo";"Algemeen bijzonder";"42635";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0405";"Hoorn";"1613";"Stede Broec";"01UR";"00";"IKEC-Hoorn";"1624EH";"HOORN NH";"Noord-Holland";"Sbo";"Algemeen bijzonder";"42635";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0405";"Hoorn";"1616";"Drechterland";"01UR";"00";"IKEC-Hoorn";"1624EH";"HOORN NH";"Noord-Holland";"Sbo";"Algemeen bijzonder";"42635";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0405";"Hoorn";"1617";"Drechterland";"01UR";"00";"IKEC-Hoorn";"1624EH";"HOORN NH";"Noord-Holland";"Sbo";"Algemeen bijzonder";"42635";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0405";"Hoorn";"1619";"Medemblik";"01UR";"00";"IKEC-Hoorn";"1624EH";"HOORN NH";"Noord-Holland";"Sbo";"Algemeen bijzonder";"42635";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0405";"Hoorn";"1621";"Hoorn";"01UR";"00";"IKEC-Hoorn";"1624EH";"HOORN NH";"Noord-Holland";"Sbo";"Algemeen bijzonder";"42635";"0";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0405";"Hoorn";"1622";"Hoorn";"01UR";"00";"IKEC-Hoorn";"1624EH";"HOORN NH";"Noord-Holland";"Sbo";"Algemeen bijzonder";"42635";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0405";"Hoorn";"1623";"Hoorn";"01UR";"00";"IKEC-Hoorn";"1624EH";"HOORN NH";"Noord-Holland";"Sbo";"Algemeen bijzonder";"42635";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
