"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1507";"Horst aan de Maas";"5803";"Venray";"00YG";"00";"SBO De Twister";"5961BA";"HORST";"Limburg";"Sbo";"Rooms-Katholiek";"47920";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1507";"Horst aan de Maas";"5808";"Venray";"00YG";"00";"SBO De Twister";"5961BA";"HORST";"Limburg";"Sbo";"Rooms-Katholiek";"47920";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1507";"Horst aan de Maas";"5861";"Venray";"00YG";"00";"SBO De Twister";"5961BA";"HORST";"Limburg";"Sbo";"Rooms-Katholiek";"47920";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1507";"Horst aan de Maas";"5863";"Venray";"00YG";"00";"SBO De Twister";"5961BA";"HORST";"Limburg";"Sbo";"Rooms-Katholiek";"47920";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1507";"Horst aan de Maas";"5864";"Horst aan de Maas";"00YG";"00";"SBO De Twister";"5961BA";"HORST";"Limburg";"Sbo";"Rooms-Katholiek";"47920";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1507";"Horst aan de Maas";"5865";"Horst aan de Maas";"00YG";"00";"SBO De Twister";"5961BA";"HORST";"Limburg";"Sbo";"Rooms-Katholiek";"47920";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1507";"Horst aan de Maas";"5866";"Horst aan de Maas";"00YG";"00";"SBO De Twister";"5961BA";"HORST";"Limburg";"Sbo";"Rooms-Katholiek";"47920";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1507";"Horst aan de Maas";"5871";"Horst aan de Maas";"00YG";"00";"SBO De Twister";"5961BA";"HORST";"Limburg";"Sbo";"Rooms-Katholiek";"47920";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1507";"Horst aan de Maas";"5961";"Horst aan de Maas";"00YG";"00";"SBO De Twister";"5961BA";"HORST";"Limburg";"Sbo";"Rooms-Katholiek";"47920";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"8";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1507";"Horst aan de Maas";"5962";"Horst aan de Maas";"00YG";"00";"SBO De Twister";"5961BA";"HORST";"Limburg";"Sbo";"Rooms-Katholiek";"47920";"0";"0";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
