"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0353";"IJsselstein";"2805";"Gouda";"04DR";"00";"SBO De Wenteltrap";"3404CV";"IJSSELSTEIN";"Utrecht";"Sbo";"Algemeen bijzonder";"77975";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3401";"IJsselstein";"04DR";"00";"SBO De Wenteltrap";"3404CV";"IJSSELSTEIN";"Utrecht";"Sbo";"Algemeen bijzonder";"77975";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3402";"IJsselstein";"04DR";"00";"SBO De Wenteltrap";"3404CV";"IJSSELSTEIN";"Utrecht";"Sbo";"Algemeen bijzonder";"77975";"0";"<5";"<5";"<5";"<5";"<5";"6";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3403";"IJsselstein";"04DR";"00";"SBO De Wenteltrap";"3404CV";"IJSSELSTEIN";"Utrecht";"Sbo";"Algemeen bijzonder";"77975";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3404";"IJsselstein";"04DR";"00";"SBO De Wenteltrap";"3404CV";"IJSSELSTEIN";"Utrecht";"Sbo";"Algemeen bijzonder";"77975";"0";"<5";"<5";"<5";"<5";"5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3405";"Lopik";"04DR";"00";"SBO De Wenteltrap";"3404CV";"IJSSELSTEIN";"Utrecht";"Sbo";"Algemeen bijzonder";"77975";"0";"0";"0";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3411";"Lopik";"04DR";"00";"SBO De Wenteltrap";"3404CV";"IJSSELSTEIN";"Utrecht";"Sbo";"Algemeen bijzonder";"77975";"0";"0";"<5";"<5";"<5";"7";"<5";"7";"<5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3413";"Lopik";"04DR";"00";"SBO De Wenteltrap";"3404CV";"IJSSELSTEIN";"Utrecht";"Sbo";"Algemeen bijzonder";"77975";"0";"0";"<5";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3421";"Oudewater";"04DR";"00";"SBO De Wenteltrap";"3404CV";"IJSSELSTEIN";"Utrecht";"Sbo";"Algemeen bijzonder";"77975";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3434";"Nieuwegein";"04DR";"00";"SBO De Wenteltrap";"3404CV";"IJSSELSTEIN";"Utrecht";"Sbo";"Algemeen bijzonder";"77975";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3435";"Nieuwegein";"04DR";"00";"SBO De Wenteltrap";"3404CV";"IJSSELSTEIN";"Utrecht";"Sbo";"Algemeen bijzonder";"77975";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3436";"Nieuwegein";"04DR";"00";"SBO De Wenteltrap";"3404CV";"IJSSELSTEIN";"Utrecht";"Sbo";"Algemeen bijzonder";"77975";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3448";"Woerden";"04DR";"00";"SBO De Wenteltrap";"3404CV";"IJSSELSTEIN";"Utrecht";"Sbo";"Algemeen bijzonder";"77975";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3452";"Utrecht";"04DR";"00";"SBO De Wenteltrap";"3404CV";"IJSSELSTEIN";"Utrecht";"Sbo";"Algemeen bijzonder";"77975";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"4131";"Vijfheerenlanden";"04DR";"00";"SBO De Wenteltrap";"3404CV";"IJSSELSTEIN";"Utrecht";"Sbo";"Algemeen bijzonder";"77975";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"4132";"Vijfheerenlanden";"04DR";"00";"SBO De Wenteltrap";"3404CV";"IJSSELSTEIN";"Utrecht";"Sbo";"Algemeen bijzonder";"77975";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3401";"IJsselstein";"08IT";"00";"De Tandem";"3402HP";"IJSSELSTEIN";"Utrecht";"Bo";"Openbaar";"41792";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"9";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3402";"IJsselstein";"08IT";"00";"De Tandem";"3402HP";"IJSSELSTEIN";"Utrecht";"Bo";"Openbaar";"41792";"0";"14";"15";"19";"24";"22";"32";"17";"26";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3404";"IJsselstein";"08IT";"00";"De Tandem";"3402HP";"IJSSELSTEIN";"Utrecht";"Bo";"Openbaar";"41792";"0";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3412";"Lopik";"08IT";"00";"De Tandem";"3402HP";"IJSSELSTEIN";"Utrecht";"Bo";"Openbaar";"41792";"0";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3434";"Nieuwegein";"08IT";"00";"De Tandem";"3402HP";"IJSSELSTEIN";"Utrecht";"Bo";"Openbaar";"41792";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3993";"Houten";"08IT";"00";"De Tandem";"3402HP";"IJSSELSTEIN";"Utrecht";"Bo";"Openbaar";"41792";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"1521";"Zaanstad";"09IT";"00";"'t Kasteel";"3401AX";"IJSSELSTEIN";"Utrecht";"Bo";"Openbaar";"41792";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3401";"IJsselstein";"09IT";"00";"'t Kasteel";"3401AX";"IJSSELSTEIN";"Utrecht";"Bo";"Openbaar";"41792";"0";"12";"12";"12";"10";"14";"13";"10";"12";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3402";"IJsselstein";"09IT";"00";"'t Kasteel";"3401AX";"IJSSELSTEIN";"Utrecht";"Bo";"Openbaar";"41792";"0";"<5";"6";"5";"9";"6";"<5";"<5";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3403";"IJsselstein";"09IT";"00";"'t Kasteel";"3401AX";"IJSSELSTEIN";"Utrecht";"Bo";"Openbaar";"41792";"0";"<5";"<5";"<5";"<5";"5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3404";"IJsselstein";"09IT";"00";"'t Kasteel";"3401AX";"IJSSELSTEIN";"Utrecht";"Bo";"Openbaar";"41792";"0";"<5";"<5";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3405";"Lopik";"09IT";"00";"'t Kasteel";"3401AX";"IJSSELSTEIN";"Utrecht";"Bo";"Openbaar";"41792";"0";"0";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3417";"Montfoort";"09IT";"00";"'t Kasteel";"3401AX";"IJSSELSTEIN";"Utrecht";"Bo";"Openbaar";"41792";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3432";"Nieuwegein";"09IT";"00";"'t Kasteel";"3401AX";"IJSSELSTEIN";"Utrecht";"Bo";"Openbaar";"41792";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3433";"Nieuwegein";"09IT";"00";"'t Kasteel";"3401AX";"IJSSELSTEIN";"Utrecht";"Bo";"Openbaar";"41792";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3706";"Zeist";"09IT";"00";"'t Kasteel";"3401AX";"IJSSELSTEIN";"Utrecht";"Bo";"Openbaar";"41792";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0353";"IJsselstein";"3401";"IJsselstein";"09XS";"00";"Wij";"3402TZ";"IJSSELSTEIN";"Utrecht";"Bo";"Rooms-Katholiek";"77975";"0";"0";"<5";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
