"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1884";"Kaag en Braassem";"1341";"Almere";"03PH";"00";"RKBS De Kiem";"2371EK";"ROELOFARENDSVEEN";"Zuid-Holland";"Bo";"Samenwerking PC, RK";"40969";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1884";"Kaag en Braassem";"2221";"Katwijk";"03PH";"00";"RKBS De Kiem";"2371EK";"ROELOFARENDSVEEN";"Zuid-Holland";"Bo";"Samenwerking PC, RK";"40969";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1884";"Kaag en Braassem";"2315";"Leiden";"03PH";"00";"RKBS De Kiem";"2371EK";"ROELOFARENDSVEEN";"Zuid-Holland";"Bo";"Samenwerking PC, RK";"40969";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1884";"Kaag en Braassem";"2341";"Oegstgeest";"03PH";"00";"RKBS De Kiem";"2371EK";"ROELOFARENDSVEEN";"Zuid-Holland";"Bo";"Samenwerking PC, RK";"40969";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1884";"Kaag en Braassem";"2371";"Kaag en Braassem";"03PH";"00";"RKBS De Kiem";"2371EK";"ROELOFARENDSVEEN";"Zuid-Holland";"Bo";"Samenwerking PC, RK";"40969";"0";"60";"72";"76";"52";"64";"49";"47";"25";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1884";"Kaag en Braassem";"2376";"Kaag en Braassem";"03PH";"00";"RKBS De Kiem";"2371EK";"ROELOFARENDSVEEN";"Zuid-Holland";"Bo";"Samenwerking PC, RK";"40969";"0";"<5";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1884";"Kaag en Braassem";"2377";"Kaag en Braassem";"03PH";"00";"RKBS De Kiem";"2371EK";"ROELOFARENDSVEEN";"Zuid-Holland";"Bo";"Samenwerking PC, RK";"40969";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1884";"Kaag en Braassem";"2481";"Kaag en Braassem";"03PH";"00";"RKBS De Kiem";"2371EK";"ROELOFARENDSVEEN";"Zuid-Holland";"Bo";"Samenwerking PC, RK";"40969";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1884";"Kaag en Braassem";"1433";"Aalsmeer";"04GX";"00";"Elckerlyc";"2371RE";"ROELOFARENDSVEEN";"Zuid-Holland";"Bo";"Openbaar";"40969";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1884";"Kaag en Braassem";"2156";"Haarlemmermeer";"04GX";"00";"Elckerlyc";"2371RE";"ROELOFARENDSVEEN";"Zuid-Holland";"Bo";"Openbaar";"40969";"0";"0";"<5";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1884";"Kaag en Braassem";"2157";"Haarlemmermeer";"04GX";"00";"Elckerlyc";"2371RE";"ROELOFARENDSVEEN";"Zuid-Holland";"Bo";"Openbaar";"40969";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1884";"Kaag en Braassem";"2371";"Kaag en Braassem";"04GX";"00";"Elckerlyc";"2371RE";"ROELOFARENDSVEEN";"Zuid-Holland";"Bo";"Openbaar";"40969";"0";"11";"11";"9";"17";"15";"12";"11";"21";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
