"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0678";"Kapelle";"4307";"Schouwen-Duiveland";"04EW";"00";"SBO Samuël";"4421DC";"KAPELLE";"Zeeland";"Sbo";"Reformatorisch";"84151";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0678";"Kapelle";"4318";"Schouwen-Duiveland";"04EW";"00";"SBO Samuël";"4421DC";"KAPELLE";"Zeeland";"Sbo";"Reformatorisch";"84151";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0678";"Kapelle";"4333";"Middelburg";"04EW";"00";"SBO Samuël";"4421DC";"KAPELLE";"Zeeland";"Sbo";"Reformatorisch";"84151";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0678";"Kapelle";"4336";"Middelburg";"04EW";"00";"SBO Samuël";"4421DC";"KAPELLE";"Zeeland";"Sbo";"Reformatorisch";"84151";"0";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0678";"Kapelle";"4337";"Middelburg";"04EW";"00";"SBO Samuël";"4421DC";"KAPELLE";"Zeeland";"Sbo";"Reformatorisch";"84151";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0678";"Kapelle";"4341";"Middelburg";"04EW";"00";"SBO Samuël";"4421DC";"KAPELLE";"Zeeland";"Sbo";"Reformatorisch";"84151";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0678";"Kapelle";"4353";"Veere";"04EW";"00";"SBO Samuël";"4421DC";"KAPELLE";"Zeeland";"Sbo";"Reformatorisch";"84151";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0678";"Kapelle";"4356";"Veere";"04EW";"00";"SBO Samuël";"4421DC";"KAPELLE";"Zeeland";"Sbo";"Reformatorisch";"84151";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0678";"Kapelle";"4361";"Veere";"04EW";"00";"SBO Samuël";"4421DC";"KAPELLE";"Zeeland";"Sbo";"Reformatorisch";"84151";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0678";"Kapelle";"4363";"Veere";"04EW";"00";"SBO Samuël";"4421DC";"KAPELLE";"Zeeland";"Sbo";"Reformatorisch";"84151";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
