"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1598";"Koggenland";"1441";"Purmerend";"05IF";"00";"RK BS de Caegh";"1713BM";"OBDAM";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1598";"Koggenland";"1611";"Stede Broec";"05IF";"00";"RK BS de Caegh";"1713BM";"OBDAM";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1598";"Koggenland";"1704";"Dijk en Waard";"05IF";"00";"RK BS de Caegh";"1713BM";"OBDAM";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1598";"Koggenland";"1711";"Koggenland";"05IF";"00";"RK BS de Caegh";"1713BM";"OBDAM";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1598";"Koggenland";"1713";"Koggenland";"05IF";"00";"RK BS de Caegh";"1713BM";"OBDAM";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"33";"31";"42";"36";"34";"45";"40";"30";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1598";"Koggenland";"1715";"Opmeer";"05IF";"00";"RK BS de Caegh";"1713BM";"OBDAM";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1598";"Koggenland";"1722";"Dijk en Waard";"05IF";"00";"RK BS de Caegh";"1713BM";"OBDAM";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1598";"Koggenland";"1633";"Koggenland";"06MD";"00";"BAVO-School";"1645PN";"URSEM";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"<5";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1598";"Koggenland";"1645";"Koggenland";"06MD";"00";"BAVO-School";"1645PN";"URSEM";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"25";"23";"30";"23";"21";"24";"19";"20";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1598";"Koggenland";"1646";"Alkmaar";"06MD";"00";"BAVO-School";"1645PN";"URSEM";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"<5";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1598";"Koggenland";"1702";"Dijk en Waard";"06MD";"00";"BAVO-School";"1645PN";"URSEM";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"<5";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1598";"Koggenland";"1715";"Opmeer";"06MD";"00";"BAVO-School";"1645PN";"URSEM";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1598";"Koggenland";"1842";"Alkmaar";"06MD";"00";"BAVO-School";"1645PN";"URSEM";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1598";"Koggenland";"1643";"Koggenland";"07AP";"00";"Basissch St Bernadette";"1652CV";"ZUIDERMEER";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1598";"Koggenland";"1647";"Koggenland";"07AP";"00";"Basissch St Bernadette";"1652CV";"ZUIDERMEER";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"0";"0";"<5";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1598";"Koggenland";"1652";"Koggenland";"07AP";"00";"Basissch St Bernadette";"1652CV";"ZUIDERMEER";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"7";"5";"6";"10";"6";"6";"7";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1598";"Koggenland";"1687";"Medemblik";"07AP";"00";"Basissch St Bernadette";"1652CV";"ZUIDERMEER";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1598";"Koggenland";"1641";"Koggenland";"07BI";"00";"Jozef en Mariaschool";"1641LS";"SPIERDIJK";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"5";"<5";"8";"5";"<5";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1598";"Koggenland";"1642";"Koggenland";"07BI";"00";"Jozef en Mariaschool";"1641LS";"SPIERDIJK";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1598";"Koggenland";"1643";"Koggenland";"07BI";"00";"Jozef en Mariaschool";"1641LS";"SPIERDIJK";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"<5";"<5";"6";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1598";"Koggenland";"1647";"Koggenland";"07BI";"00";"Jozef en Mariaschool";"1641LS";"SPIERDIJK";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1598";"Koggenland";"1648";"Koggenland";"07BI";"00";"Jozef en Mariaschool";"1641LS";"SPIERDIJK";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1598";"Koggenland";"1641";"Koggenland";"07WM";"00";"RK Basisschool De Ark";"1711KK";"HENSBROEK";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1598";"Koggenland";"1645";"Koggenland";"07WM";"00";"RK Basisschool De Ark";"1711KK";"HENSBROEK";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
