"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1931";"Krimpenerwaard";"2807";"Gouda";"03FJ";"00";"Openbare Bs De Sterrenboom";"2821SB";"STOLWIJK";"Zuid-Holland";"Bo";"Openbaar";"41401";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1931";"Krimpenerwaard";"2821";"Krimpenerwaard";"03FJ";"00";"Openbare Bs De Sterrenboom";"2821SB";"STOLWIJK";"Zuid-Holland";"Bo";"Openbaar";"41401";"0";"22";"24";"30";"23";"25";"32";"32";"18";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1931";"Krimpenerwaard";"2851";"Krimpenerwaard";"03FJ";"00";"Openbare Bs De Sterrenboom";"2821SB";"STOLWIJK";"Zuid-Holland";"Bo";"Openbaar";"41401";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1931";"Krimpenerwaard";"2855";"Krimpenerwaard";"03FJ";"00";"Openbare Bs De Sterrenboom";"2821SB";"STOLWIJK";"Zuid-Holland";"Bo";"Openbaar";"41401";"0";"0";"<5";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1931";"Krimpenerwaard";"2861";"Krimpenerwaard";"03FJ";"00";"Openbare Bs De Sterrenboom";"2821SB";"STOLWIJK";"Zuid-Holland";"Bo";"Openbaar";"41401";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1931";"Krimpenerwaard";"2931";"Krimpenerwaard";"03FJ";"00";"Openbare Bs De Sterrenboom";"2821SB";"STOLWIJK";"Zuid-Holland";"Bo";"Openbaar";"41401";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1931";"Krimpenerwaard";"2855";"Krimpenerwaard";"03NZ";"00";"RK Basissch D Krullevaar";"2871CV";"SCHOONHOVEN";"Zuid-Holland";"Bo";"Rooms-Katholiek";"40765";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1931";"Krimpenerwaard";"2865";"Krimpenerwaard";"03NZ";"00";"RK Basissch D Krullevaar";"2871CV";"SCHOONHOVEN";"Zuid-Holland";"Bo";"Rooms-Katholiek";"40765";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1931";"Krimpenerwaard";"2871";"Krimpenerwaard";"03NZ";"00";"RK Basissch D Krullevaar";"2871CV";"SCHOONHOVEN";"Zuid-Holland";"Bo";"Rooms-Katholiek";"40765";"0";"15";"8";"11";"16";"14";"14";"11";"10";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1931";"Krimpenerwaard";"2872";"Krimpenerwaard";"03NZ";"00";"RK Basissch D Krullevaar";"2871CV";"SCHOONHOVEN";"Zuid-Holland";"Bo";"Rooms-Katholiek";"40765";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1931";"Krimpenerwaard";"2825";"Krimpenerwaard";"04LO";"00";"De Wegwijzer";"2931AA";"KRIMPEN AAN DE LEK";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41532";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1931";"Krimpenerwaard";"2902";"Capelle aan den IJssel";"04LO";"00";"De Wegwijzer";"2931AA";"KRIMPEN AAN DE LEK";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41532";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1931";"Krimpenerwaard";"2925";"Krimpen aan den IJssel";"04LO";"00";"De Wegwijzer";"2931AA";"KRIMPEN AAN DE LEK";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41532";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
