"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1659";"Laarbeek";"5465";"Meierijstad";"03PP";"00";"Bernadetteschool";"5738AH";"MARIAHOUT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40557";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1659";"Laarbeek";"5491";"Meierijstad";"03PP";"00";"Bernadetteschool";"5738AH";"MARIAHOUT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40557";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1659";"Laarbeek";"5737";"Laarbeek";"03PP";"00";"Bernadetteschool";"5738AH";"MARIAHOUT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40557";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1659";"Laarbeek";"5738";"Laarbeek";"03PP";"00";"Bernadetteschool";"5738AH";"MARIAHOUT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40557";"0";"18";"18";"15";"15";"12";"19";"17";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1659";"Laarbeek";"5741";"Laarbeek";"03PP";"00";"Bernadetteschool";"5738AH";"MARIAHOUT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40557";"0";"<5";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1659";"Laarbeek";"40";"Onbekend";"06WD";"00";"KC De Sprankel";"5737CB";"LIESHOUT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40557";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1659";"Laarbeek";"5421";"Gemert-Bakel";"06WD";"00";"KC De Sprankel";"5737CB";"LIESHOUT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40557";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1659";"Laarbeek";"5708";"Helmond";"06WD";"00";"KC De Sprankel";"5737CB";"LIESHOUT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40557";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1659";"Laarbeek";"5735";"Laarbeek";"06WD";"00";"KC De Sprankel";"5737CB";"LIESHOUT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40557";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1659";"Laarbeek";"5737";"Laarbeek";"06WD";"00";"KC De Sprankel";"5737CB";"LIESHOUT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40557";"0";"23";"31";"29";"29";"25";"28";"29";"30";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1659";"Laarbeek";"5738";"Laarbeek";"06WD";"00";"KC De Sprankel";"5737CB";"LIESHOUT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40557";"0";"<5";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1659";"Laarbeek";"5741";"Laarbeek";"06WD";"00";"KC De Sprankel";"5737CB";"LIESHOUT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40557";"0";"<5";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1659";"Laarbeek";"5408";"Maashorst";"07NU";"00";"Kindcentrum Breinplein";"5735CG";"AARLE-RIXTEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40557";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1659";"Laarbeek";"5422";"Gemert-Bakel";"07NU";"00";"Kindcentrum Breinplein";"5735CG";"AARLE-RIXTEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40557";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1659";"Laarbeek";"5611";"Eindhoven";"07NU";"00";"Kindcentrum Breinplein";"5735CG";"AARLE-RIXTEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40557";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
