"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1982";"Land van Cuijk";"5432";"Land van Cuijk";"00EB";"00";"Bs Het Telraam";"5441AK";"OEFFELT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"48348";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1982";"Land van Cuijk";"5435";"Land van Cuijk";"00EB";"00";"Bs Het Telraam";"5441AK";"OEFFELT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"48348";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1982";"Land van Cuijk";"5441";"Land van Cuijk";"00EB";"00";"Bs Het Telraam";"5441AK";"OEFFELT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"48348";"0";"23";"12";"26";"16";"23";"28";"17";"22";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1982";"Land van Cuijk";"5445";"Land van Cuijk";"00EB";"00";"Bs Het Telraam";"5441AK";"OEFFELT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"48348";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1982";"Land van Cuijk";"5835";"Land van Cuijk";"00EB";"00";"Bs Het Telraam";"5441AK";"OEFFELT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"48348";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1982";"Land van Cuijk";"6598";"Gennep";"00EB";"00";"Bs Het Telraam";"5441AK";"OEFFELT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"48348";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1982";"Land van Cuijk";"5361";"Land van Cuijk";"00WK";"00";"SSBO De Wingerd";"5431LZ";"CUIJK";"Noord-Brabant";"Sbo";"Openbaar";"41443";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1982";"Land van Cuijk";"5363";"Land van Cuijk";"00WK";"00";"SSBO De Wingerd";"5431LZ";"CUIJK";"Noord-Brabant";"Sbo";"Openbaar";"41443";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1982";"Land van Cuijk";"5364";"Land van Cuijk";"00WK";"00";"SSBO De Wingerd";"5431LZ";"CUIJK";"Noord-Brabant";"Sbo";"Openbaar";"41443";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1982";"Land van Cuijk";"5431";"Land van Cuijk";"00WK";"00";"SSBO De Wingerd";"5431LZ";"CUIJK";"Noord-Brabant";"Sbo";"Openbaar";"41443";"0";"<5";"<5";"<5";"<5";"8";"<5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1982";"Land van Cuijk";"5432";"Land van Cuijk";"00WK";"00";"SSBO De Wingerd";"5431LZ";"CUIJK";"Noord-Brabant";"Sbo";"Openbaar";"41443";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1982";"Land van Cuijk";"5437";"Land van Cuijk";"00WK";"00";"SSBO De Wingerd";"5431LZ";"CUIJK";"Noord-Brabant";"Sbo";"Openbaar";"41443";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1982";"Land van Cuijk";"5441";"Land van Cuijk";"00WK";"00";"SSBO De Wingerd";"5431LZ";"CUIJK";"Noord-Brabant";"Sbo";"Openbaar";"41443";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1982";"Land van Cuijk";"5443";"Land van Cuijk";"00WK";"00";"SSBO De Wingerd";"5431LZ";"CUIJK";"Noord-Brabant";"Sbo";"Openbaar";"41443";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1982";"Land van Cuijk";"5446";"Land van Cuijk";"00WK";"00";"SSBO De Wingerd";"5431LZ";"CUIJK";"Noord-Brabant";"Sbo";"Openbaar";"41443";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1982";"Land van Cuijk";"5451";"Land van Cuijk";"00WK";"00";"SSBO De Wingerd";"5431LZ";"CUIJK";"Noord-Brabant";"Sbo";"Openbaar";"41443";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1982";"Land van Cuijk";"5453";"Land van Cuijk";"00WK";"00";"SSBO De Wingerd";"5431LZ";"CUIJK";"Noord-Brabant";"Sbo";"Openbaar";"41443";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1982";"Land van Cuijk";"5454";"Land van Cuijk";"00WK";"00";"SSBO De Wingerd";"5431LZ";"CUIJK";"Noord-Brabant";"Sbo";"Openbaar";"41443";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1982";"Land van Cuijk";"5455";"Land van Cuijk";"00WK";"00";"SSBO De Wingerd";"5431LZ";"CUIJK";"Noord-Brabant";"Sbo";"Openbaar";"41443";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1982";"Land van Cuijk";"5831";"Land van Cuijk";"00WK";"00";"SSBO De Wingerd";"5431LZ";"CUIJK";"Noord-Brabant";"Sbo";"Openbaar";"41443";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1982";"Land van Cuijk";"5841";"Land van Cuijk";"00WK";"00";"SSBO De Wingerd";"5431LZ";"CUIJK";"Noord-Brabant";"Sbo";"Openbaar";"41443";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
