"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0882";"Landgraaf";"40";"Onbekend";"00CG";"00";"De Harlekijn";"6372AC";"LANDGRAAF";"Limburg";"Bo";"Openbaar";"41516";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0882";"Landgraaf";"6224";"Maastricht";"00CG";"00";"De Harlekijn";"6372AC";"LANDGRAAF";"Limburg";"Bo";"Openbaar";"41516";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0882";"Landgraaf";"6351";"Simpelveld";"00CG";"00";"De Harlekijn";"6372AC";"LANDGRAAF";"Limburg";"Bo";"Openbaar";"41516";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0882";"Landgraaf";"6371";"Landgraaf";"00CG";"00";"De Harlekijn";"6372AC";"LANDGRAAF";"Limburg";"Bo";"Openbaar";"41516";"0";"7";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0882";"Landgraaf";"6372";"Landgraaf";"00CG";"00";"De Harlekijn";"6372AC";"LANDGRAAF";"Limburg";"Bo";"Openbaar";"41516";"0";"34";"41";"43";"32";"38";"38";"37";"31";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0882";"Landgraaf";"6373";"Landgraaf";"00CG";"00";"De Harlekijn";"6372AC";"LANDGRAAF";"Limburg";"Bo";"Openbaar";"41516";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0882";"Landgraaf";"6374";"Landgraaf";"00CG";"00";"De Harlekijn";"6372AC";"LANDGRAAF";"Limburg";"Bo";"Openbaar";"41516";"0";"0";"<5";"<5";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0882";"Landgraaf";"6411";"Heerlen";"00CG";"00";"De Harlekijn";"6372AC";"LANDGRAAF";"Limburg";"Bo";"Openbaar";"41516";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0882";"Landgraaf";"6413";"Heerlen";"00CG";"00";"De Harlekijn";"6372AC";"LANDGRAAF";"Limburg";"Bo";"Openbaar";"41516";"0";"0";"<5";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0882";"Landgraaf";"6414";"Heerlen";"00CG";"00";"De Harlekijn";"6372AC";"LANDGRAAF";"Limburg";"Bo";"Openbaar";"41516";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
