"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0415";"Landsmeer";"1015";"Amsterdam";"03PS";"00";"Montessori Landsmeer";"1121JC";"LANDSMEER";"Noord-Holland";"Bo";"Algemeen bijzonder";"40586";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0415";"Landsmeer";"1033";"Amsterdam";"03PS";"00";"Montessori Landsmeer";"1121JC";"LANDSMEER";"Noord-Holland";"Bo";"Algemeen bijzonder";"40586";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0415";"Landsmeer";"1035";"Amsterdam";"03PS";"00";"Montessori Landsmeer";"1121JC";"LANDSMEER";"Noord-Holland";"Bo";"Algemeen bijzonder";"40586";"0";"<5";"0";"0";"<5";"<5";"0";"<5";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0415";"Landsmeer";"1036";"Amsterdam";"03PS";"00";"Montessori Landsmeer";"1121JC";"LANDSMEER";"Noord-Holland";"Bo";"Algemeen bijzonder";"40586";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0415";"Landsmeer";"1121";"Landsmeer";"03PS";"00";"Montessori Landsmeer";"1121JC";"LANDSMEER";"Noord-Holland";"Bo";"Algemeen bijzonder";"40586";"0";"23";"21";"23";"26";"24";"27";"22";"16";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0415";"Landsmeer";"1127";"Landsmeer";"03PS";"00";"Montessori Landsmeer";"1121JC";"LANDSMEER";"Noord-Holland";"Bo";"Algemeen bijzonder";"40586";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0415";"Landsmeer";"1381";"Amsterdam";"03PS";"00";"Montessori Landsmeer";"1121JC";"LANDSMEER";"Noord-Holland";"Bo";"Algemeen bijzonder";"40586";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0415";"Landsmeer";"1511";"Oostzaan";"03PS";"00";"Montessori Landsmeer";"1121JC";"LANDSMEER";"Noord-Holland";"Bo";"Algemeen bijzonder";"40586";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0415";"Landsmeer";"1035";"Amsterdam";"06TL";"00";"Basisschool De Hoeksteen";"1121XA";"LANDSMEER";"Noord-Holland";"Bo";"Protestants-Christelijk";"41012";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0415";"Landsmeer";"1098";"Amsterdam";"06TL";"00";"Basisschool De Hoeksteen";"1121XA";"LANDSMEER";"Noord-Holland";"Bo";"Protestants-Christelijk";"41012";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0415";"Landsmeer";"1121";"Landsmeer";"06TL";"00";"Basisschool De Hoeksteen";"1121XA";"LANDSMEER";"Noord-Holland";"Bo";"Protestants-Christelijk";"41012";"0";"21";"23";"24";"23";"21";"21";"21";"17";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0415";"Landsmeer";"1127";"Landsmeer";"06TL";"00";"Basisschool De Hoeksteen";"1121XA";"LANDSMEER";"Noord-Holland";"Bo";"Protestants-Christelijk";"41012";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0415";"Landsmeer";"1505";"Zaanstad";"06TL";"00";"Basisschool De Hoeksteen";"1121XA";"LANDSMEER";"Noord-Holland";"Bo";"Protestants-Christelijk";"41012";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0415";"Landsmeer";"1509";"Zaanstad";"06TL";"00";"Basisschool De Hoeksteen";"1121XA";"LANDSMEER";"Noord-Holland";"Bo";"Protestants-Christelijk";"41012";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0415";"Landsmeer";"1521";"Zaanstad";"06TL";"00";"Basisschool De Hoeksteen";"1121XA";"LANDSMEER";"Noord-Holland";"Bo";"Protestants-Christelijk";"41012";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0415";"Landsmeer";"1033";"Amsterdam";"09DS";"00";"Ds Jl De Wagemakerschool";"1121JX";"LANDSMEER";"Noord-Holland";"Bo";"Openbaar";"41434";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0415";"Landsmeer";"1034";"Amsterdam";"09DS";"00";"Ds Jl De Wagemakerschool";"1121JX";"LANDSMEER";"Noord-Holland";"Bo";"Openbaar";"41434";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0415";"Landsmeer";"1035";"Amsterdam";"09DS";"00";"Ds Jl De Wagemakerschool";"1121JX";"LANDSMEER";"Noord-Holland";"Bo";"Openbaar";"41434";"0";"0";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0415";"Landsmeer";"1121";"Landsmeer";"09DS";"00";"Ds Jl De Wagemakerschool";"1121JX";"LANDSMEER";"Noord-Holland";"Bo";"Openbaar";"41434";"0";"15";"14";"13";"18";"14";"20";"19";"23";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
