"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1621";"Lansingerland";"2641";"Pijnacker-Nootdorp";"03HH";"00";"De Parel";"2651CP";"BERKEL EN RODENRIJS";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2651";"Lansingerland";"03HH";"00";"De Parel";"2651CP";"BERKEL EN RODENRIJS";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"8";"5";"11";"7";"7";"<5";"6";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2652";"Lansingerland";"03HH";"00";"De Parel";"2651CP";"BERKEL EN RODENRIJS";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"9";"<5";"<5";"8";"<5";"<5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2661";"Lansingerland";"03HH";"00";"De Parel";"2651CP";"BERKEL EN RODENRIJS";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"<5";"<5";"<5";"<5";"<5";"5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2662";"Lansingerland";"03HH";"00";"De Parel";"2651CP";"BERKEL EN RODENRIJS";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"<5";"<5";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2665";"Lansingerland";"03HH";"00";"De Parel";"2651CP";"BERKEL EN RODENRIJS";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"<5";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2643";"Pijnacker-Nootdorp";"05MJ";"00";"Basisschool Boterdorp";"2661AP";"BERGSCHENHOEK";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41487";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2651";"Lansingerland";"05MJ";"00";"Basisschool Boterdorp";"2661AP";"BERGSCHENHOEK";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41487";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2652";"Lansingerland";"05MJ";"00";"Basisschool Boterdorp";"2661AP";"BERGSCHENHOEK";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41487";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2661";"Lansingerland";"05MJ";"00";"Basisschool Boterdorp";"2661AP";"BERGSCHENHOEK";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41487";"0";"11";"9";"10";"18";"6";"9";"9";"9";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2662";"Lansingerland";"05MJ";"00";"Basisschool Boterdorp";"2661AP";"BERGSCHENHOEK";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41487";"0";"<5";"6";"13";"7";"7";"7";"<5";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2713";"Zoetermeer";"05MJ";"00";"Basisschool Boterdorp";"2661AP";"BERGSCHENHOEK";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41487";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2726";"Zoetermeer";"05MJ";"00";"Basisschool Boterdorp";"2661AP";"BERGSCHENHOEK";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41487";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2905";"Capelle aan den IJssel";"05MJ";"00";"Basisschool Boterdorp";"2661AP";"BERGSCHENHOEK";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41487";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"3054";"Rotterdam";"05MJ";"00";"Basisschool Boterdorp";"2661AP";"BERGSCHENHOEK";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41487";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2651";"Lansingerland";"05MM";"00";"Chr Basissch De Wiekslag";"2665BJ";"BLEISWIJK";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41487";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2661";"Lansingerland";"05MM";"00";"Chr Basissch De Wiekslag";"2665BJ";"BLEISWIJK";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41487";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2665";"Lansingerland";"05MM";"00";"Chr Basissch De Wiekslag";"2665BJ";"BLEISWIJK";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41487";"0";"37";"41";"45";"48";"36";"28";"45";"25";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2711";"Zoetermeer";"05MM";"00";"Chr Basissch De Wiekslag";"2665BJ";"BLEISWIJK";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41487";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"3119";"Schiedam";"05MM";"00";"Chr Basissch De Wiekslag";"2665BJ";"BLEISWIJK";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41487";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2643";"Pijnacker-Nootdorp";"06OP";"00";"Basisschool Pius X";"2661KZ";"BERGSCHENHOEK";"Zuid-Holland";"Bo";"Rooms-Katholiek";"40928";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2651";"Lansingerland";"06OP";"00";"Basisschool Pius X";"2661KZ";"BERGSCHENHOEK";"Zuid-Holland";"Bo";"Rooms-Katholiek";"40928";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2652";"Lansingerland";"06OP";"00";"Basisschool Pius X";"2661KZ";"BERGSCHENHOEK";"Zuid-Holland";"Bo";"Rooms-Katholiek";"40928";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2661";"Lansingerland";"06OP";"00";"Basisschool Pius X";"2661KZ";"BERGSCHENHOEK";"Zuid-Holland";"Bo";"Rooms-Katholiek";"40928";"0";"10";"14";"17";"20";"17";"18";"17";"15";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2662";"Lansingerland";"06OP";"00";"Basisschool Pius X";"2661KZ";"BERGSCHENHOEK";"Zuid-Holland";"Bo";"Rooms-Katholiek";"40928";"0";"32";"27";"26";"30";"23";"30";"30";"19";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2286";"Rijswijk";"07FY";"00";"Basisschool Anne Frank";"2665TK";"BLEISWIJK";"Zuid-Holland";"Bo";"Openbaar";"41488";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2496";"'s-Gravenhage";"07FY";"00";"Basisschool Anne Frank";"2665TK";"BLEISWIJK";"Zuid-Holland";"Bo";"Openbaar";"41488";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2652";"Lansingerland";"07FY";"00";"Basisschool Anne Frank";"2665TK";"BLEISWIJK";"Zuid-Holland";"Bo";"Openbaar";"41488";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2661";"Lansingerland";"07FY";"00";"Basisschool Anne Frank";"2665TK";"BLEISWIJK";"Zuid-Holland";"Bo";"Openbaar";"41488";"0";"0";"0";"<5";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2665";"Lansingerland";"07FY";"00";"Basisschool Anne Frank";"2665TK";"BLEISWIJK";"Zuid-Holland";"Bo";"Openbaar";"41488";"0";"6";"10";"16";"14";"12";"20";"18";"20";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2721";"Zoetermeer";"07FY";"00";"Basisschool Anne Frank";"2665TK";"BLEISWIJK";"Zuid-Holland";"Bo";"Openbaar";"41488";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"3038";"Rotterdam";"07FY";"00";"Basisschool Anne Frank";"2665TK";"BLEISWIJK";"Zuid-Holland";"Bo";"Openbaar";"41488";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"3065";"Rotterdam";"07FY";"00";"Basisschool Anne Frank";"2665TK";"BLEISWIJK";"Zuid-Holland";"Bo";"Openbaar";"41488";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1621";"Lansingerland";"2631";"Pijnacker-Nootdorp";"07LA";"00";"Prins Johan Frisoschool";"2652ER";"BERKEL EN RODENRIJS";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41487";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
