"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0417";"Laren";"1053";"Amsterdam";"04MN";"00";"De Gooische School";"1251GV";"LAREN NH";"Noord-Holland";"Bo";"Algemeen bijzonder";"31552";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0417";"Laren";"1223";"Hilversum";"04MN";"00";"De Gooische School";"1251GV";"LAREN NH";"Noord-Holland";"Bo";"Algemeen bijzonder";"31552";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0417";"Laren";"1231";"Wijdemeren";"04MN";"00";"De Gooische School";"1251GV";"LAREN NH";"Noord-Holland";"Bo";"Algemeen bijzonder";"31552";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0417";"Laren";"1251";"Laren";"04MN";"00";"De Gooische School";"1251GV";"LAREN NH";"Noord-Holland";"Bo";"Algemeen bijzonder";"31552";"0";"17";"17";"20";"12";"10";"28";"18";"9";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0417";"Laren";"1252";"Laren";"04MN";"00";"De Gooische School";"1251GV";"LAREN NH";"Noord-Holland";"Bo";"Algemeen bijzonder";"31552";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0417";"Laren";"1261";"Blaricum";"04MN";"00";"De Gooische School";"1251GV";"LAREN NH";"Noord-Holland";"Bo";"Algemeen bijzonder";"31552";"0";"7";"<5";"10";"<5";"14";"14";"8";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0417";"Laren";"1262";"Blaricum";"04MN";"00";"De Gooische School";"1251GV";"LAREN NH";"Noord-Holland";"Bo";"Algemeen bijzonder";"31552";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0417";"Laren";"1272";"Huizen";"04MN";"00";"De Gooische School";"1251GV";"LAREN NH";"Noord-Holland";"Bo";"Algemeen bijzonder";"31552";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0417";"Laren";"1274";"Huizen";"04MN";"00";"De Gooische School";"1251GV";"LAREN NH";"Noord-Holland";"Bo";"Algemeen bijzonder";"31552";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0417";"Laren";"1411";"Gooise Meren";"04MN";"00";"De Gooische School";"1251GV";"LAREN NH";"Noord-Holland";"Bo";"Algemeen bijzonder";"31552";"0";"<5";"<5";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
