"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0080";"Leeuwarden";"8491";"Heerenveen";"02BJ";"00";"Aquamarijn";"8918CT";"LEEUWARDEN";"Friesland";"Sbo";"Protestants-Christelijk";"40636";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0080";"Leeuwarden";"8495";"Heerenveen";"02BJ";"00";"Aquamarijn";"8918CT";"LEEUWARDEN";"Friesland";"Sbo";"Protestants-Christelijk";"40636";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0080";"Leeuwarden";"8801";"Waadhoeke";"02BJ";"00";"Aquamarijn";"8918CT";"LEEUWARDEN";"Friesland";"Sbo";"Protestants-Christelijk";"40636";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0080";"Leeuwarden";"8854";"Waadhoeke";"02BJ";"00";"Aquamarijn";"8918CT";"LEEUWARDEN";"Friesland";"Sbo";"Protestants-Christelijk";"40636";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0080";"Leeuwarden";"8911";"Leeuwarden";"02BJ";"00";"Aquamarijn";"8918CT";"LEEUWARDEN";"Friesland";"Sbo";"Protestants-Christelijk";"40636";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0080";"Leeuwarden";"8913";"Leeuwarden";"02BJ";"00";"Aquamarijn";"8918CT";"LEEUWARDEN";"Friesland";"Sbo";"Protestants-Christelijk";"40636";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0080";"Leeuwarden";"8915";"Leeuwarden";"02BJ";"00";"Aquamarijn";"8918CT";"LEEUWARDEN";"Friesland";"Sbo";"Protestants-Christelijk";"40636";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0080";"Leeuwarden";"8916";"Leeuwarden";"02BJ";"00";"Aquamarijn";"8918CT";"LEEUWARDEN";"Friesland";"Sbo";"Protestants-Christelijk";"40636";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0080";"Leeuwarden";"8917";"Leeuwarden";"02BJ";"00";"Aquamarijn";"8918CT";"LEEUWARDEN";"Friesland";"Sbo";"Protestants-Christelijk";"40636";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0080";"Leeuwarden";"8918";"Leeuwarden";"02BJ";"00";"Aquamarijn";"8918CT";"LEEUWARDEN";"Friesland";"Sbo";"Protestants-Christelijk";"40636";"0";"<5";"<5";"<5";"<5";"<5";"6";"<5";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
