"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1916";"Leidschendam-Voorburg";"2261";"Leidschendam-Voorburg";"03TQ";"00";"Basisschool Essesteijn";"2272EB";"VOORBURG";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41447";"0";"<5";"<5";"<5";"<5";"<5";"<5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1916";"Leidschendam-Voorburg";"2262";"Leidschendam-Voorburg";"03TQ";"00";"Basisschool Essesteijn";"2272EB";"VOORBURG";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41447";"0";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1916";"Leidschendam-Voorburg";"2263";"Leidschendam-Voorburg";"03TQ";"00";"Basisschool Essesteijn";"2272EB";"VOORBURG";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41447";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1916";"Leidschendam-Voorburg";"2264";"Leidschendam-Voorburg";"03TQ";"00";"Basisschool Essesteijn";"2272EB";"VOORBURG";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41447";"0";"<5";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1916";"Leidschendam-Voorburg";"2265";"Leidschendam-Voorburg";"03TQ";"00";"Basisschool Essesteijn";"2272EB";"VOORBURG";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41447";"0";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1916";"Leidschendam-Voorburg";"2266";"Leidschendam-Voorburg";"03TQ";"00";"Basisschool Essesteijn";"2272EB";"VOORBURG";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41447";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1916";"Leidschendam-Voorburg";"2271";"Leidschendam-Voorburg";"03TQ";"00";"Basisschool Essesteijn";"2272EB";"VOORBURG";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41447";"0";"<5";"0";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1916";"Leidschendam-Voorburg";"2272";"Leidschendam-Voorburg";"03TQ";"00";"Basisschool Essesteijn";"2272EB";"VOORBURG";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41447";"0";"30";"28";"33";"34";"34";"37";"34";"33";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1916";"Leidschendam-Voorburg";"2273";"Leidschendam-Voorburg";"03TQ";"00";"Basisschool Essesteijn";"2272EB";"VOORBURG";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41447";"0";"16";"18";"11";"10";"7";"8";"8";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1916";"Leidschendam-Voorburg";"2274";"Leidschendam-Voorburg";"03TQ";"00";"Basisschool Essesteijn";"2272EB";"VOORBURG";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41447";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1916";"Leidschendam-Voorburg";"2275";"Leidschendam-Voorburg";"03TQ";"00";"Basisschool Essesteijn";"2272EB";"VOORBURG";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41447";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1916";"Leidschendam-Voorburg";"2492";"'s-Gravenhage";"03TQ";"00";"Basisschool Essesteijn";"2272EB";"VOORBURG";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41447";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1916";"Leidschendam-Voorburg";"2531";"'s-Gravenhage";"03TQ";"00";"Basisschool Essesteijn";"2272EB";"VOORBURG";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41447";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1916";"Leidschendam-Voorburg";"2591";"'s-Gravenhage";"03TQ";"00";"Basisschool Essesteijn";"2272EB";"VOORBURG";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41447";"0";"0";"<5";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1916";"Leidschendam-Voorburg";"2592";"'s-Gravenhage";"03TQ";"00";"Basisschool Essesteijn";"2272EB";"VOORBURG";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41447";"0";"<5";"<5";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1916";"Leidschendam-Voorburg";"2595";"'s-Gravenhage";"03TQ";"00";"Basisschool Essesteijn";"2272EB";"VOORBURG";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41447";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
