"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0327";"Leusden";"3772";"Barneveld";"06NJ";"00";"GBS Het Christal";"3831JA";"LEUSDEN";"Utrecht";"Bo";"Gereformeerd vrijgemaakt";"40945";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0327";"Leusden";"3791";"Leusden";"06NJ";"00";"GBS Het Christal";"3831JA";"LEUSDEN";"Utrecht";"Bo";"Gereformeerd vrijgemaakt";"40945";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0327";"Leusden";"3816";"Amersfoort";"06NJ";"00";"GBS Het Christal";"3831JA";"LEUSDEN";"Utrecht";"Bo";"Gereformeerd vrijgemaakt";"40945";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0327";"Leusden";"3817";"Amersfoort";"06NJ";"00";"GBS Het Christal";"3831JA";"LEUSDEN";"Utrecht";"Bo";"Gereformeerd vrijgemaakt";"40945";"0";"0";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0327";"Leusden";"3831";"Leusden";"06NJ";"00";"GBS Het Christal";"3831JA";"LEUSDEN";"Utrecht";"Bo";"Gereformeerd vrijgemaakt";"40945";"0";"8";"13";"9";"5";"12";"<5";"10";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0327";"Leusden";"3832";"Leusden";"06NJ";"00";"GBS Het Christal";"3831JA";"LEUSDEN";"Utrecht";"Bo";"Gereformeerd vrijgemaakt";"40945";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0327";"Leusden";"3833";"Leusden";"06NJ";"00";"GBS Het Christal";"3831JA";"LEUSDEN";"Utrecht";"Bo";"Gereformeerd vrijgemaakt";"40945";"0";"6";"11";"<5";"<5";"6";"6";"5";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0327";"Leusden";"3834";"Leusden";"06NJ";"00";"GBS Het Christal";"3831JA";"LEUSDEN";"Utrecht";"Bo";"Gereformeerd vrijgemaakt";"40945";"0";"5";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0327";"Leusden";"3438";"Nieuwegein";"07BC";"00";"Montessori Bs 't Ronde";"3831TX";"LEUSDEN";"Utrecht";"Bo";"Algemeen bijzonder";"79835";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0327";"Leusden";"3813";"Amersfoort";"07BC";"00";"Montessori Bs 't Ronde";"3831TX";"LEUSDEN";"Utrecht";"Bo";"Algemeen bijzonder";"79835";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
