"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1705";"Lingewaard";"4043";"Neder-Betuwe";"02CQ";"00";"SSBO De Vlinderboom";"6681BN";"BEMMEL";"Gelderland";"Sbo";"Rooms-Katholiek";"71956";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1705";"Lingewaard";"6515";"Nijmegen";"02CQ";"00";"SSBO De Vlinderboom";"6681BN";"BEMMEL";"Gelderland";"Sbo";"Rooms-Katholiek";"71956";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1705";"Lingewaard";"6523";"Nijmegen";"02CQ";"00";"SSBO De Vlinderboom";"6681BN";"BEMMEL";"Gelderland";"Sbo";"Rooms-Katholiek";"71956";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1705";"Lingewaard";"6661";"Overbetuwe";"02CQ";"00";"SSBO De Vlinderboom";"6681BN";"BEMMEL";"Gelderland";"Sbo";"Rooms-Katholiek";"71956";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1705";"Lingewaard";"6662";"Overbetuwe";"02CQ";"00";"SSBO De Vlinderboom";"6681BN";"BEMMEL";"Gelderland";"Sbo";"Rooms-Katholiek";"71956";"0";"0";"<5";"<5";"<5";"8";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1705";"Lingewaard";"6665";"Overbetuwe";"02CQ";"00";"SSBO De Vlinderboom";"6681BN";"BEMMEL";"Gelderland";"Sbo";"Rooms-Katholiek";"71956";"0";"0";"0";"0";"0";"<5";"<5";"<5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1705";"Lingewaard";"6666";"Overbetuwe";"02CQ";"00";"SSBO De Vlinderboom";"6681BN";"BEMMEL";"Gelderland";"Sbo";"Rooms-Katholiek";"71956";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1705";"Lingewaard";"6668";"Overbetuwe";"02CQ";"00";"SSBO De Vlinderboom";"6681BN";"BEMMEL";"Gelderland";"Sbo";"Rooms-Katholiek";"71956";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1705";"Lingewaard";"6671";"Overbetuwe";"02CQ";"00";"SSBO De Vlinderboom";"6681BN";"BEMMEL";"Gelderland";"Sbo";"Rooms-Katholiek";"71956";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1705";"Lingewaard";"6673";"Overbetuwe";"02CQ";"00";"SSBO De Vlinderboom";"6681BN";"BEMMEL";"Gelderland";"Sbo";"Rooms-Katholiek";"71956";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1705";"Lingewaard";"6674";"Overbetuwe";"02CQ";"00";"SSBO De Vlinderboom";"6681BN";"BEMMEL";"Gelderland";"Sbo";"Rooms-Katholiek";"71956";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
