"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0262";"Lochem";"1351";"Almere";"01QH";"06";"Sgm Klein Borculo";"7241NB";"LOCHEM";"Gelderland";"Vso";"Interconfessioneel";"83189";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0262";"Lochem";"3812";"Amersfoort";"01QH";"06";"Sgm Klein Borculo";"7241NB";"LOCHEM";"Gelderland";"Vso";"Interconfessioneel";"83189";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0262";"Lochem";"7021";"Bronckhorst";"01QH";"06";"Sgm Klein Borculo";"7241NB";"LOCHEM";"Gelderland";"Vso";"Interconfessioneel";"83189";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0262";"Lochem";"7151";"Berkelland";"01QH";"06";"Sgm Klein Borculo";"7241NB";"LOCHEM";"Gelderland";"Vso";"Interconfessioneel";"83189";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0262";"Lochem";"7161";"Berkelland";"01QH";"06";"Sgm Klein Borculo";"7241NB";"LOCHEM";"Gelderland";"Vso";"Interconfessioneel";"83189";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0262";"Lochem";"7201";"Zutphen";"01QH";"06";"Sgm Klein Borculo";"7241NB";"LOCHEM";"Gelderland";"Vso";"Interconfessioneel";"83189";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0262";"Lochem";"7241";"Lochem";"01QH";"06";"Sgm Klein Borculo";"7241NB";"LOCHEM";"Gelderland";"Vso";"Interconfessioneel";"83189";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0262";"Lochem";"7271";"Berkelland";"01QH";"06";"Sgm Klein Borculo";"7241NB";"LOCHEM";"Gelderland";"Vso";"Interconfessioneel";"83189";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0262";"Lochem";"7326";"Apeldoorn";"01QH";"06";"Sgm Klein Borculo";"7241NB";"LOCHEM";"Gelderland";"Vso";"Interconfessioneel";"83189";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0262";"Lochem";"7391";"Voorst";"01QH";"06";"Sgm Klein Borculo";"7241NB";"LOCHEM";"Gelderland";"Vso";"Interconfessioneel";"83189";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
