"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0809";"Loon op Zand";"4814";"Breda";"04SV";"00";"RK Basissch De Blokkendoos";"5175XJ";"LOON OP ZAND";"Noord-Brabant";"Bo";"Rooms-Katholiek";"71008";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0809";"Loon op Zand";"5011";"Tilburg";"04SV";"00";"RK Basissch De Blokkendoos";"5175XJ";"LOON OP ZAND";"Noord-Brabant";"Bo";"Rooms-Katholiek";"71008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0809";"Loon op Zand";"5014";"Tilburg";"04SV";"00";"RK Basissch De Blokkendoos";"5175XJ";"LOON OP ZAND";"Noord-Brabant";"Bo";"Rooms-Katholiek";"71008";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0809";"Loon op Zand";"5021";"Tilburg";"04SV";"00";"RK Basissch De Blokkendoos";"5175XJ";"LOON OP ZAND";"Noord-Brabant";"Bo";"Rooms-Katholiek";"71008";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0809";"Loon op Zand";"5042";"Tilburg";"04SV";"00";"RK Basissch De Blokkendoos";"5175XJ";"LOON OP ZAND";"Noord-Brabant";"Bo";"Rooms-Katholiek";"71008";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0809";"Loon op Zand";"5049";"Tilburg";"04SV";"00";"RK Basissch De Blokkendoos";"5175XJ";"LOON OP ZAND";"Noord-Brabant";"Bo";"Rooms-Katholiek";"71008";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0809";"Loon op Zand";"5171";"Loon op Zand";"04SV";"00";"RK Basissch De Blokkendoos";"5175XJ";"LOON OP ZAND";"Noord-Brabant";"Bo";"Rooms-Katholiek";"71008";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0809";"Loon op Zand";"5172";"Loon op Zand";"04SV";"00";"RK Basissch De Blokkendoos";"5175XJ";"LOON OP ZAND";"Noord-Brabant";"Bo";"Rooms-Katholiek";"71008";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0809";"Loon op Zand";"5175";"Loon op Zand";"04SV";"00";"RK Basissch De Blokkendoos";"5175XJ";"LOON OP ZAND";"Noord-Brabant";"Bo";"Rooms-Katholiek";"71008";"0";"28";"31";"18";"31";"31";"31";"28";"31";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0809";"Loon op Zand";"5046";"Tilburg";"07MV";"00";"RK BS De Lage Weijkens";"5175CP";"LOON OP ZAND";"Noord-Brabant";"Bo";"Rooms-Katholiek";"71008";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0809";"Loon op Zand";"5049";"Tilburg";"07MV";"00";"RK BS De Lage Weijkens";"5175CP";"LOON OP ZAND";"Noord-Brabant";"Bo";"Rooms-Katholiek";"71008";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0809";"Loon op Zand";"5161";"Waalwijk";"07MV";"00";"RK BS De Lage Weijkens";"5175CP";"LOON OP ZAND";"Noord-Brabant";"Bo";"Rooms-Katholiek";"71008";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0809";"Loon op Zand";"5175";"Loon op Zand";"07MV";"00";"RK BS De Lage Weijkens";"5175CP";"LOON OP ZAND";"Noord-Brabant";"Bo";"Rooms-Katholiek";"71008";"0";"23";"25";"18";"19";"21";"21";"18";"21";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0809";"Loon op Zand";"5042";"Tilburg";"09AF";"00";"RK Basissch De Vaert";"5171KJ";"KAATSHEUVEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"71008";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0809";"Loon op Zand";"5101";"Dongen";"09AF";"00";"RK Basissch De Vaert";"5171KJ";"KAATSHEUVEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"71008";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0809";"Loon op Zand";"5143";"Waalwijk";"09AF";"00";"RK Basissch De Vaert";"5171KJ";"KAATSHEUVEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"71008";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0809";"Loon op Zand";"5146";"Waalwijk";"09AF";"00";"RK Basissch De Vaert";"5171KJ";"KAATSHEUVEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"71008";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0809";"Loon op Zand";"5161";"Waalwijk";"09AF";"00";"RK Basissch De Vaert";"5171KJ";"KAATSHEUVEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"71008";"0";"<5";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0809";"Loon op Zand";"5165";"Waalwijk";"09AF";"00";"RK Basissch De Vaert";"5171KJ";"KAATSHEUVEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"71008";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0809";"Loon op Zand";"5171";"Loon op Zand";"09AF";"00";"RK Basissch De Vaert";"5171KJ";"KAATSHEUVEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"71008";"0";"34";"34";"27";"32";"43";"37";"23";"19";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0809";"Loon op Zand";"5176";"Loon op Zand";"09AF";"00";"RK Basissch De Vaert";"5171KJ";"KAATSHEUVEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"71008";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0809";"Loon op Zand";"3132";"Vlaardingen";"11MG";"00";"Basisschool de Berk";"5171BM";"KAATSHEUVEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"71008";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0809";"Loon op Zand";"4905";"Oosterhout";"11MG";"00";"Basisschool de Berk";"5171BM";"KAATSHEUVEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"71008";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0809";"Loon op Zand";"5014";"Tilburg";"11MG";"00";"Basisschool de Berk";"5171BM";"KAATSHEUVEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"71008";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0809";"Loon op Zand";"5046";"Tilburg";"11MG";"00";"Basisschool de Berk";"5171BM";"KAATSHEUVEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"71008";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
