"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0331";"Lopik";"3405";"Lopik";"03YO";"00";"Sint Victor";"3405XA";"BENSCHOP";"Utrecht";"Bo";"Rooms-Katholiek";"77975";"0";"6";"14";"12";"18";"18";"14";"12";"17";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0331";"Lopik";"3411";"Lopik";"03YO";"00";"Sint Victor";"3405XA";"BENSCHOP";"Utrecht";"Bo";"Rooms-Katholiek";"77975";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0331";"Lopik";"2861";"Krimpenerwaard";"04MV";"00";"CBS Eben-Haezer";"3405XK";"BENSCHOP";"Utrecht";"Bo";"Protestants-Christelijk";"41439";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0331";"Lopik";"3401";"IJsselstein";"04MV";"00";"CBS Eben-Haezer";"3405XK";"BENSCHOP";"Utrecht";"Bo";"Protestants-Christelijk";"41439";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0331";"Lopik";"3405";"Lopik";"04MV";"00";"CBS Eben-Haezer";"3405XK";"BENSCHOP";"Utrecht";"Bo";"Protestants-Christelijk";"41439";"0";"21";"24";"23";"20";"14";"31";"23";"15";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0331";"Lopik";"3415";"Lopik";"04MV";"00";"CBS Eben-Haezer";"3405XK";"BENSCHOP";"Utrecht";"Bo";"Protestants-Christelijk";"41439";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0331";"Lopik";"3417";"Montfoort";"04MV";"00";"CBS Eben-Haezer";"3405XK";"BENSCHOP";"Utrecht";"Bo";"Protestants-Christelijk";"41439";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0331";"Lopik";"3421";"Oudewater";"04MV";"00";"CBS Eben-Haezer";"3405XK";"BENSCHOP";"Utrecht";"Bo";"Protestants-Christelijk";"41439";"0";"0";"<5";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0331";"Lopik";"3437";"Nieuwegein";"04MV";"00";"CBS Eben-Haezer";"3405XK";"BENSCHOP";"Utrecht";"Bo";"Protestants-Christelijk";"41439";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0331";"Lopik";"3552";"Utrecht";"04MV";"00";"CBS Eben-Haezer";"3405XK";"BENSCHOP";"Utrecht";"Bo";"Protestants-Christelijk";"41439";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0331";"Lopik";"2855";"Krimpenerwaard";"05SI";"00";"CBS Eben-Haezer";"3415PW";"POLSBROEK";"Utrecht";"Bo";"Protestants-Christelijk";"41439";"0";"7";"0";"7";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0331";"Lopik";"3411";"Lopik";"05SI";"00";"CBS Eben-Haezer";"3415PW";"POLSBROEK";"Utrecht";"Bo";"Protestants-Christelijk";"41439";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
