"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0168";"Losser";"7161";"Berkelland";"02GD";"05";"De Meander";"7581PW";"LOSSER";"Overijssel";"Vso";"Algemeen bijzonder";"25859";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0168";"Losser";"7461";"Rijssen-Holten";"02GD";"05";"De Meander";"7581PW";"LOSSER";"Overijssel";"Vso";"Algemeen bijzonder";"25859";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0168";"Losser";"7468";"Wierden";"02GD";"05";"De Meander";"7581PW";"LOSSER";"Overijssel";"Vso";"Algemeen bijzonder";"25859";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0168";"Losser";"7511";"Enschede";"02GD";"05";"De Meander";"7581PW";"LOSSER";"Overijssel";"So";"Algemeen bijzonder";"25859";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0168";"Losser";"7523";"Enschede";"02GD";"05";"De Meander";"7581PW";"LOSSER";"Overijssel";"Vso";"Algemeen bijzonder";"25859";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0168";"Losser";"7531";"Enschede";"02GD";"05";"De Meander";"7581PW";"LOSSER";"Overijssel";"Vso";"Algemeen bijzonder";"25859";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0168";"Losser";"7533";"Enschede";"02GD";"05";"De Meander";"7581PW";"LOSSER";"Overijssel";"So";"Algemeen bijzonder";"25859";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0168";"Losser";"7533";"Enschede";"02GD";"05";"De Meander";"7581PW";"LOSSER";"Overijssel";"Vso";"Algemeen bijzonder";"25859";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0168";"Losser";"7541";"Enschede";"02GD";"05";"De Meander";"7581PW";"LOSSER";"Overijssel";"Vso";"Algemeen bijzonder";"25859";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0168";"Losser";"7542";"Enschede";"02GD";"05";"De Meander";"7581PW";"LOSSER";"Overijssel";"So";"Algemeen bijzonder";"25859";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0168";"Losser";"7544";"Enschede";"02GD";"05";"De Meander";"7581PW";"LOSSER";"Overijssel";"So";"Algemeen bijzonder";"25859";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0168";"Losser";"7545";"Enschede";"02GD";"05";"De Meander";"7581PW";"LOSSER";"Overijssel";"Vso";"Algemeen bijzonder";"25859";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0168";"Losser";"7557";"Hengelo";"02GD";"05";"De Meander";"7581PW";"LOSSER";"Overijssel";"So";"Algemeen bijzonder";"25859";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0168";"Losser";"7572";"Oldenzaal";"02GD";"05";"De Meander";"7581PW";"LOSSER";"Overijssel";"Vso";"Algemeen bijzonder";"25859";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0168";"Losser";"7581";"Losser";"02GD";"05";"De Meander";"7581PW";"LOSSER";"Overijssel";"Vso";"Algemeen bijzonder";"25859";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0168";"Losser";"7582";"Losser";"02GD";"05";"De Meander";"7581PW";"LOSSER";"Overijssel";"So";"Algemeen bijzonder";"25859";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0168";"Losser";"7586";"Losser";"02GD";"05";"De Meander";"7581PW";"LOSSER";"Overijssel";"Vso";"Algemeen bijzonder";"25859";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0168";"Losser";"7605";"Almelo";"02GD";"05";"De Meander";"7581PW";"LOSSER";"Overijssel";"Vso";"Algemeen bijzonder";"25859";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
