"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0556";"Maassluis";"3119";"Schiedam";"08WT";"00";"IKC De Regenboog";"3145NG";"MAASSLUIS";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41338";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0556";"Maassluis";"3131";"Vlaardingen";"08WT";"00";"IKC De Regenboog";"3145NG";"MAASSLUIS";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41338";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0556";"Maassluis";"3141";"Maassluis";"08WT";"00";"IKC De Regenboog";"3145NG";"MAASSLUIS";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41338";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0556";"Maassluis";"3142";"Maassluis";"08WT";"00";"IKC De Regenboog";"3145NG";"MAASSLUIS";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41338";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0556";"Maassluis";"3143";"Maassluis";"08WT";"00";"IKC De Regenboog";"3145NG";"MAASSLUIS";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41338";"0";"<5";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0556";"Maassluis";"3144";"Maassluis";"08WT";"00";"IKC De Regenboog";"3145NG";"MAASSLUIS";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41338";"0";"7";"5";"13";"11";"5";"7";"7";"10";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0556";"Maassluis";"3145";"Maassluis";"08WT";"00";"IKC De Regenboog";"3145NG";"MAASSLUIS";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41338";"0";"18";"16";"25";"16";"17";"14";"13";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0556";"Maassluis";"3146";"Maassluis";"08WT";"00";"IKC De Regenboog";"3145NG";"MAASSLUIS";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41338";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0556";"Maassluis";"3147";"Maassluis";"08WT";"00";"IKC De Regenboog";"3145NG";"MAASSLUIS";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41338";"0";"0";"<5";"5";"<5";"0";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0556";"Maassluis";"3151";"Rotterdam";"08WT";"00";"IKC De Regenboog";"3145NG";"MAASSLUIS";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41338";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
