"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0935";"Maastricht";"10";"Belgie";"00SH";"00";"Inst v Orthopedagog Ond";"6217NH";"MAASTRICHT";"Limburg";"Vso";"Rooms-Katholiek";"41373";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0935";"Maastricht";"6006";"Weert";"00SH";"00";"Inst v Orthopedagog Ond";"6217NH";"MAASTRICHT";"Limburg";"Vso";"Rooms-Katholiek";"41373";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0935";"Maastricht";"6123";"Sittard-Geleen";"00SH";"00";"Inst v Orthopedagog Ond";"6217NH";"MAASTRICHT";"Limburg";"Vso";"Rooms-Katholiek";"41373";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0935";"Maastricht";"6132";"Sittard-Geleen";"00SH";"00";"Inst v Orthopedagog Ond";"6217NH";"MAASTRICHT";"Limburg";"Vso";"Rooms-Katholiek";"41373";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0935";"Maastricht";"6133";"Sittard-Geleen";"00SH";"00";"Inst v Orthopedagog Ond";"6217NH";"MAASTRICHT";"Limburg";"Vso";"Rooms-Katholiek";"41373";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0935";"Maastricht";"6135";"Sittard-Geleen";"00SH";"00";"Inst v Orthopedagog Ond";"6217NH";"MAASTRICHT";"Limburg";"Vso";"Rooms-Katholiek";"41373";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0935";"Maastricht";"6136";"Sittard-Geleen";"00SH";"00";"Inst v Orthopedagog Ond";"6217NH";"MAASTRICHT";"Limburg";"Vso";"Rooms-Katholiek";"41373";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0935";"Maastricht";"6137";"Sittard-Geleen";"00SH";"00";"Inst v Orthopedagog Ond";"6217NH";"MAASTRICHT";"Limburg";"Vso";"Rooms-Katholiek";"41373";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0935";"Maastricht";"6142";"Sittard-Geleen";"00SH";"00";"Inst v Orthopedagog Ond";"6217NH";"MAASTRICHT";"Limburg";"Vso";"Rooms-Katholiek";"41373";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0935";"Maastricht";"6143";"Sittard-Geleen";"00SH";"00";"Inst v Orthopedagog Ond";"6217NH";"MAASTRICHT";"Limburg";"Vso";"Rooms-Katholiek";"41373";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0935";"Maastricht";"6151";"Sittard-Geleen";"00SH";"00";"Inst v Orthopedagog Ond";"6217NH";"MAASTRICHT";"Limburg";"Vso";"Rooms-Katholiek";"41373";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0935";"Maastricht";"6155";"Beekdaelen";"00SH";"00";"Inst v Orthopedagog Ond";"6217NH";"MAASTRICHT";"Limburg";"Vso";"Rooms-Katholiek";"41373";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0935";"Maastricht";"6161";"Sittard-Geleen";"00SH";"00";"Inst v Orthopedagog Ond";"6217NH";"MAASTRICHT";"Limburg";"Vso";"Rooms-Katholiek";"41373";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
