"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0420";"Medemblik";"1671";"Medemblik";"04MK";"00";"De Wegwijzer";"1674NP";"OPPERDOES";"Noord-Holland";"Bo";"Protestants-Christelijk";"79874";"0";"0";"<5";"<5";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0420";"Medemblik";"1674";"Medemblik";"04MK";"00";"De Wegwijzer";"1674NP";"OPPERDOES";"Noord-Holland";"Bo";"Protestants-Christelijk";"79874";"0";"20";"15";"17";"16";"16";"15";"16";"10";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0420";"Medemblik";"1679";"Medemblik";"04MK";"00";"De Wegwijzer";"1674NP";"OPPERDOES";"Noord-Holland";"Bo";"Protestants-Christelijk";"79874";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0420";"Medemblik";"1613";"Stede Broec";"05CS";"00";"Jozefschool";"1671MA";"MEDEMBLIK";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0420";"Medemblik";"1671";"Medemblik";"05CS";"00";"Jozefschool";"1671MA";"MEDEMBLIK";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"20";"23";"30";"24";"35";"32";"30";"28";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0420";"Medemblik";"1674";"Medemblik";"05CS";"00";"Jozefschool";"1671MA";"MEDEMBLIK";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"0";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0420";"Medemblik";"1676";"Medemblik";"05CS";"00";"Jozefschool";"1671MA";"MEDEMBLIK";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0420";"Medemblik";"1693";"Medemblik";"05CS";"00";"Jozefschool";"1671MA";"MEDEMBLIK";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0420";"Medemblik";"1771";"Hollands Kroon";"05CS";"00";"Jozefschool";"1671MA";"MEDEMBLIK";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0420";"Medemblik";"1775";"Hollands Kroon";"05CS";"00";"Jozefschool";"1671MA";"MEDEMBLIK";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
