"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0938";"Meerssen";"40";"Onbekend";"00DN";"00";"De Bundeling";"6241BB";"BUNDE";"Limburg";"Bo";"Openbaar";"42669";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0938";"Meerssen";"6155";"Beekdaelen";"00DN";"00";"De Bundeling";"6241BB";"BUNDE";"Limburg";"Bo";"Openbaar";"42669";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0938";"Meerssen";"6181";"Stein";"00DN";"00";"De Bundeling";"6241BB";"BUNDE";"Limburg";"Bo";"Openbaar";"42669";"0";"<5";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0938";"Meerssen";"6191";"Beek";"00DN";"00";"De Bundeling";"6241BB";"BUNDE";"Limburg";"Bo";"Openbaar";"42669";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0938";"Meerssen";"6211";"Maastricht";"00DN";"00";"De Bundeling";"6241BB";"BUNDE";"Limburg";"Bo";"Openbaar";"42669";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0938";"Meerssen";"6217";"Maastricht";"00DN";"00";"De Bundeling";"6241BB";"BUNDE";"Limburg";"Bo";"Openbaar";"42669";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0938";"Meerssen";"6222";"Maastricht";"00DN";"00";"De Bundeling";"6241BB";"BUNDE";"Limburg";"Bo";"Openbaar";"42669";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0938";"Meerssen";"6223";"Maastricht";"00DN";"00";"De Bundeling";"6241BB";"BUNDE";"Limburg";"Bo";"Openbaar";"42669";"0";"<5";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0938";"Meerssen";"6225";"Maastricht";"00DN";"00";"De Bundeling";"6241BB";"BUNDE";"Limburg";"Bo";"Openbaar";"42669";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0938";"Meerssen";"6227";"Maastricht";"00DN";"00";"De Bundeling";"6241BB";"BUNDE";"Limburg";"Bo";"Openbaar";"42669";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0938";"Meerssen";"6228";"Maastricht";"00DN";"00";"De Bundeling";"6241BB";"BUNDE";"Limburg";"Bo";"Openbaar";"42669";"0";"<5";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0938";"Meerssen";"6231";"Meerssen";"00DN";"00";"De Bundeling";"6241BB";"BUNDE";"Limburg";"Bo";"Openbaar";"42669";"0";"<5";"<5";"<5";"5";"12";"<5";"<5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0938";"Meerssen";"6235";"Meerssen";"00DN";"00";"De Bundeling";"6241BB";"BUNDE";"Limburg";"Bo";"Openbaar";"42669";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0938";"Meerssen";"6241";"Meerssen";"00DN";"00";"De Bundeling";"6241BB";"BUNDE";"Limburg";"Bo";"Openbaar";"42669";"0";"14";"9";"14";"9";"8";"16";"7";"6";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0938";"Meerssen";"6243";"Meerssen";"00DN";"00";"De Bundeling";"6241BB";"BUNDE";"Limburg";"Bo";"Openbaar";"42669";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0938";"Meerssen";"6301";"Valkenburg aan de Geul";"00DN";"00";"De Bundeling";"6241BB";"BUNDE";"Limburg";"Bo";"Openbaar";"42669";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
