"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0687";"Middelburg";"4339";"Middelburg";"00IM";"00";"Joos v Larensch";"4341ER";"ARNEMUIDEN";"Zeeland";"Bo";"Reformatorisch";"30145";"0";"<5";"<5";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4341";"Middelburg";"00IM";"00";"Joos v Larensch";"4341ER";"ARNEMUIDEN";"Zeeland";"Bo";"Reformatorisch";"30145";"0";"10";"8";"15";"11";"9";"14";"12";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4328";"Schouwen-Duiveland";"00OJ";"00";"Klimopschool";"4335XG";"MIDDELBURG";"Zeeland";"So";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4331";"Middelburg";"00OJ";"00";"Klimopschool";"4335XG";"MIDDELBURG";"Zeeland";"So";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4332";"Middelburg";"00OJ";"00";"Klimopschool";"4335XG";"MIDDELBURG";"Zeeland";"So";"Algemeen bijzonder";"40876";"0";"0";"<5";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4333";"Middelburg";"00OJ";"00";"Klimopschool";"4335XG";"MIDDELBURG";"Zeeland";"So";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4335";"Middelburg";"00OJ";"00";"Klimopschool";"4335XG";"MIDDELBURG";"Zeeland";"So";"Algemeen bijzonder";"40876";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4336";"Middelburg";"00OJ";"00";"Klimopschool";"4335XG";"MIDDELBURG";"Zeeland";"So";"Algemeen bijzonder";"40876";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4337";"Middelburg";"00OJ";"00";"Klimopschool";"4335XG";"MIDDELBURG";"Zeeland";"So";"Algemeen bijzonder";"40876";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4341";"Middelburg";"00OJ";"00";"Klimopschool";"4335XG";"MIDDELBURG";"Zeeland";"So";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4351";"Veere";"00OJ";"00";"Klimopschool";"4335XG";"MIDDELBURG";"Zeeland";"So";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4354";"Veere";"00OJ";"00";"Klimopschool";"4335XG";"MIDDELBURG";"Zeeland";"So";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4361";"Veere";"00OJ";"00";"Klimopschool";"4335XG";"MIDDELBURG";"Zeeland";"So";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4363";"Veere";"00OJ";"00";"Klimopschool";"4335XG";"MIDDELBURG";"Zeeland";"So";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4364";"Veere";"00OJ";"00";"Klimopschool";"4335XG";"MIDDELBURG";"Zeeland";"So";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4371";"Veere";"00OJ";"00";"Klimopschool";"4335XG";"MIDDELBURG";"Zeeland";"So";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4381";"Vlissingen";"00OJ";"00";"Klimopschool";"4335XG";"MIDDELBURG";"Zeeland";"So";"Algemeen bijzonder";"40876";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4382";"Vlissingen";"00OJ";"00";"Klimopschool";"4335XG";"MIDDELBURG";"Zeeland";"So";"Algemeen bijzonder";"40876";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4383";"Vlissingen";"00OJ";"00";"Klimopschool";"4335XG";"MIDDELBURG";"Zeeland";"So";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4384";"Vlissingen";"00OJ";"00";"Klimopschool";"4335XG";"MIDDELBURG";"Zeeland";"So";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4385";"Vlissingen";"00OJ";"00";"Klimopschool";"4335XG";"MIDDELBURG";"Zeeland";"So";"Algemeen bijzonder";"40876";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4388";"Vlissingen";"00OJ";"00";"Klimopschool";"4335XG";"MIDDELBURG";"Zeeland";"So";"Algemeen bijzonder";"40876";"0";"0";"0";"<5";"0";"<5";"5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4191";"West Betuwe";"00OJ";"01";"Klimopschool VSO";"4335ER";"MIDDELBURG";"Zeeland";"Vso";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4301";"Schouwen-Duiveland";"00OJ";"01";"Klimopschool VSO";"4335ER";"MIDDELBURG";"Zeeland";"Vso";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4321";"Schouwen-Duiveland";"00OJ";"01";"Klimopschool VSO";"4335ER";"MIDDELBURG";"Zeeland";"Vso";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4328";"Schouwen-Duiveland";"00OJ";"01";"Klimopschool VSO";"4335ER";"MIDDELBURG";"Zeeland";"Vso";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4331";"Middelburg";"00OJ";"01";"Klimopschool VSO";"4335ER";"MIDDELBURG";"Zeeland";"Vso";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4332";"Middelburg";"00OJ";"01";"Klimopschool VSO";"4335ER";"MIDDELBURG";"Zeeland";"Vso";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4333";"Middelburg";"00OJ";"01";"Klimopschool VSO";"4335ER";"MIDDELBURG";"Zeeland";"Vso";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4334";"Middelburg";"00OJ";"01";"Klimopschool VSO";"4335ER";"MIDDELBURG";"Zeeland";"Vso";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0687";"Middelburg";"4335";"Middelburg";"00OJ";"01";"Klimopschool VSO";"4335ER";"MIDDELBURG";"Zeeland";"Vso";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
