"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1842";"Midden-Delfland";"2553";"'s-Gravenhage";"03FH";"00";"De Schutse";"3155BM";"MAASLAND";"Zuid-Holland";"Bo";"Openbaar";"41455";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1842";"Midden-Delfland";"3141";"Maassluis";"03FH";"00";"De Schutse";"3155BM";"MAASLAND";"Zuid-Holland";"Bo";"Openbaar";"41455";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1842";"Midden-Delfland";"3142";"Maassluis";"03FH";"00";"De Schutse";"3155BM";"MAASLAND";"Zuid-Holland";"Bo";"Openbaar";"41455";"0";"<5";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1842";"Midden-Delfland";"3143";"Maassluis";"03FH";"00";"De Schutse";"3155BM";"MAASLAND";"Zuid-Holland";"Bo";"Openbaar";"41455";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1842";"Midden-Delfland";"3144";"Maassluis";"03FH";"00";"De Schutse";"3155BM";"MAASLAND";"Zuid-Holland";"Bo";"Openbaar";"41455";"0";"<5";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1842";"Midden-Delfland";"3145";"Maassluis";"03FH";"00";"De Schutse";"3155BM";"MAASLAND";"Zuid-Holland";"Bo";"Openbaar";"41455";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1842";"Midden-Delfland";"3147";"Maassluis";"03FH";"00";"De Schutse";"3155BM";"MAASLAND";"Zuid-Holland";"Bo";"Openbaar";"41455";"0";"<5";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1842";"Midden-Delfland";"3155";"Midden-Delfland";"03FH";"00";"De Schutse";"3155BM";"MAASLAND";"Zuid-Holland";"Bo";"Openbaar";"41455";"0";"8";"11";"13";"9";"16";"7";"5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1842";"Midden-Delfland";"2286";"Rijswijk";"04HY";"00";"Het Galjoen";"2635MK";"DEN HOORN ZH";"Zuid-Holland";"Bo";"Openbaar";"41455";"0";"<5";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1842";"Midden-Delfland";"2288";"Rijswijk";"04HY";"00";"Het Galjoen";"2635MK";"DEN HOORN ZH";"Zuid-Holland";"Bo";"Openbaar";"41455";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
