"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1978";"Molenlanden";"2953";"Alblasserdam";"00AZ";"00";"De Stapsteen";"2971AR";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2959";"Molenlanden";"00AZ";"00";"De Stapsteen";"2971AR";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2969";"Molenlanden";"00AZ";"00";"De Stapsteen";"2971AR";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2971";"Molenlanden";"00AZ";"00";"De Stapsteen";"2971AR";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"<5";"5";"5";"8";"5";"<5";"<5";"12";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2973";"Molenlanden";"00AZ";"00";"De Stapsteen";"2971AR";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2974";"Molenlanden";"00AZ";"00";"De Stapsteen";"2971AR";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2975";"Molenlanden";"00AZ";"00";"De Stapsteen";"2971AR";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"3372";"Hardinxveld-Giessendam";"00AZ";"00";"De Stapsteen";"2971AR";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"4201";"Gorinchem";"00AZ";"00";"De Stapsteen";"2971AR";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"3371";"Hardinxveld-Giessendam";"01VY";"00";"Basissch De Lingewaard";"4241CA";"ARKEL";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"4205";"Gorinchem";"01VY";"00";"Basissch De Lingewaard";"4241CA";"ARKEL";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"0";"<5";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"4206";"Gorinchem";"01VY";"00";"Basissch De Lingewaard";"4241CA";"ARKEL";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"0";"<5";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"4208";"Gorinchem";"01VY";"00";"Basissch De Lingewaard";"4241CA";"ARKEL";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"4209";"Molenlanden";"01VY";"00";"Basissch De Lingewaard";"4241CA";"ARKEL";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"4221";"Molenlanden";"01VY";"00";"Basissch De Lingewaard";"4241CA";"ARKEL";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"4233";"Vijfheerenlanden";"01VY";"00";"Basissch De Lingewaard";"4241CA";"ARKEL";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"4241";"Molenlanden";"01VY";"00";"Basissch De Lingewaard";"4241CA";"ARKEL";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"19";"26";"18";"24";"26";"30";"35";"22";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"4247";"Vijfheerenlanden";"01VY";"00";"Basissch De Lingewaard";"4241CA";"ARKEL";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"4251";"Altena";"01VY";"00";"Basissch De Lingewaard";"4241CA";"ARKEL";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2959";"Molenlanden";"01XH";"00";"Basisschool De Ammers";"2964CC";"GROOT-AMMERS";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2964";"Molenlanden";"01XH";"00";"Basisschool De Ammers";"2964CC";"GROOT-AMMERS";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"13";"8";"10";"18";"15";"12";"12";"6";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2953";"Alblasserdam";"03ST";"00";"Basisschool De Wegwijzer";"2957SN";"NIEUW-LEKKERLAND";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2954";"Alblasserdam";"03ST";"00";"Basisschool De Wegwijzer";"2957SN";"NIEUW-LEKKERLAND";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2957";"Molenlanden";"03ST";"00";"Basisschool De Wegwijzer";"2957SN";"NIEUW-LEKKERLAND";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"20";"29";"29";"28";"31";"27";"22";"19";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2959";"Molenlanden";"03ST";"00";"Basisschool De Wegwijzer";"2957SN";"NIEUW-LEKKERLAND";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2961";"Molenlanden";"03ST";"00";"Basisschool De Wegwijzer";"2957SN";"NIEUW-LEKKERLAND";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2964";"Molenlanden";"04HT";"00";"Basisschool De Knotwilg";"2965CC";"NIEUWPOORT";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"0";"<5";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2965";"Molenlanden";"04HT";"00";"Basisschool De Knotwilg";"2965CC";"NIEUWPOORT";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"<5";"5";"<5";"<5";"7";"6";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2967";"Molenlanden";"04HT";"00";"Basisschool De Knotwilg";"2965CC";"NIEUWPOORT";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"6";"<5";"7";"<5";"<5";"5";"<5";"6";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"3314";"Dordrecht";"04HT";"00";"Basisschool De Knotwilg";"2965CC";"NIEUWPOORT";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"3381";"Molenlanden";"04HT";"00";"Basisschool De Knotwilg";"2965CC";"NIEUWPOORT";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"4002";"Tiel";"04HT";"00";"Basisschool De Knotwilg";"2965CC";"NIEUWPOORT";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"3381";"Molenlanden";"04MB";"00";"Chr Bs Samen Op Weg";"4223NJ";"HOORNAAR";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41439";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"4205";"Gorinchem";"04MB";"00";"Chr Bs Samen Op Weg";"4223NJ";"HOORNAAR";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41439";"0";"0";"<5";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"4209";"Molenlanden";"04MB";"00";"Chr Bs Samen Op Weg";"4223NJ";"HOORNAAR";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41439";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"4221";"Molenlanden";"04MB";"00";"Chr Bs Samen Op Weg";"4223NJ";"HOORNAAR";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41439";"0";"<5";"<5";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"4223";"Molenlanden";"04MB";"00";"Chr Bs Samen Op Weg";"4223NJ";"HOORNAAR";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41439";"0";"10";"8";"13";"17";"11";"8";"20";"15";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"4225";"Molenlanden";"04MB";"00";"Chr Bs Samen Op Weg";"4223NJ";"HOORNAAR";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41439";"0";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"3372";"Hardinxveld-Giessendam";"04MY";"00";"Chr Bs De Hoeksteen";"3381DG";"GIESSENBURG";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41439";"0";"0";"<5";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"3381";"Molenlanden";"04MY";"00";"Chr Bs De Hoeksteen";"3381DG";"GIESSENBURG";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41439";"0";"31";"28";"24";"22";"33";"31";"20";"31";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"4201";"Gorinchem";"04MY";"00";"Chr Bs De Hoeksteen";"3381DG";"GIESSENBURG";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41439";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"4202";"Gorinchem";"04MY";"00";"Chr Bs De Hoeksteen";"3381DG";"GIESSENBURG";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41439";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"4205";"Gorinchem";"04MY";"00";"Chr Bs De Hoeksteen";"3381DG";"GIESSENBURG";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41439";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"4209";"Molenlanden";"04MY";"00";"Chr Bs De Hoeksteen";"3381DG";"GIESSENBURG";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41439";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"1403";"Gooise Meren";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2951";"Alblasserdam";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2953";"Alblasserdam";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2954";"Alblasserdam";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2957";"Molenlanden";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"<5";"<5";"<5";"0";"<5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2959";"Molenlanden";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2964";"Molenlanden";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"<5";"0";"<5";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2965";"Molenlanden";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2967";"Molenlanden";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2969";"Molenlanden";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2971";"Molenlanden";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"21";"27";"33";"25";"25";"34";"36";"29";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2973";"Molenlanden";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2974";"Molenlanden";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"<5";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2975";"Molenlanden";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"<5";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"2977";"Molenlanden";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"3084";"Rotterdam";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"3201";"Nissewaard";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"3311";"Dordrecht";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"3312";"Dordrecht";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"3317";"Dordrecht";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"3328";"Dordrecht";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"3332";"Zwijndrecht";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"3351";"Papendrecht";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"3353";"Papendrecht";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"3354";"Papendrecht";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"3361";"Sliedrecht";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"0";"<5";"<5";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"3362";"Sliedrecht";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"3363";"Sliedrecht";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"<5";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"3366";"Molenlanden";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"3371";"Hardinxveld-Giessendam";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"3381";"Molenlanden";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"40";"Onbekend";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"<5";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1978";"Molenlanden";"4231";"Vijfheerenlanden";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
