"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1955";"Montferland";"40";"Onbekend";"03QS";"00";"Basisschool A Schweitzer";"6942VA";"DIDAM";"Gelderland";"Bo";"Protestants-Christelijk";"42330";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1955";"Montferland";"6909";"Zevenaar";"03QS";"00";"Basisschool A Schweitzer";"6942VA";"DIDAM";"Gelderland";"Bo";"Protestants-Christelijk";"42330";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1955";"Montferland";"6915";"Zevenaar";"03QS";"00";"Basisschool A Schweitzer";"6942VA";"DIDAM";"Gelderland";"Bo";"Protestants-Christelijk";"42330";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1955";"Montferland";"6941";"Montferland";"03QS";"00";"Basisschool A Schweitzer";"6942VA";"DIDAM";"Gelderland";"Bo";"Protestants-Christelijk";"42330";"0";"<5";"6";"<5";"5";"5";"6";"5";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1955";"Montferland";"6942";"Montferland";"03QS";"00";"Basisschool A Schweitzer";"6942VA";"DIDAM";"Gelderland";"Bo";"Protestants-Christelijk";"42330";"0";"13";"11";"14";"18";"17";"24";"25";"8";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1955";"Montferland";"7031";"Doetinchem";"03QS";"00";"Basisschool A Schweitzer";"6942VA";"DIDAM";"Gelderland";"Bo";"Protestants-Christelijk";"42330";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1955";"Montferland";"7036";"Montferland";"03QS";"00";"Basisschool A Schweitzer";"6942VA";"DIDAM";"Gelderland";"Bo";"Protestants-Christelijk";"42330";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1955";"Montferland";"7041";"Montferland";"03QS";"00";"Basisschool A Schweitzer";"6942VA";"DIDAM";"Gelderland";"Bo";"Protestants-Christelijk";"42330";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1955";"Montferland";"40";"Onbekend";"03TG";"00";"Roncalli Basisschool";"7038AL";"ZEDDAM";"Gelderland";"Bo";"Rooms-Katholiek";"50844";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1955";"Montferland";"6915";"Zevenaar";"03TG";"00";"Roncalli Basisschool";"7038AL";"ZEDDAM";"Gelderland";"Bo";"Rooms-Katholiek";"50844";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1955";"Montferland";"7002";"Doetinchem";"03TG";"00";"Roncalli Basisschool";"7038AL";"ZEDDAM";"Gelderland";"Bo";"Rooms-Katholiek";"50844";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1955";"Montferland";"7004";"Doetinchem";"03TG";"00";"Roncalli Basisschool";"7038AL";"ZEDDAM";"Gelderland";"Bo";"Rooms-Katholiek";"50844";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1955";"Montferland";"7037";"Montferland";"03TG";"00";"Roncalli Basisschool";"7038AL";"ZEDDAM";"Gelderland";"Bo";"Rooms-Katholiek";"50844";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1955";"Montferland";"7038";"Montferland";"03TG";"00";"Roncalli Basisschool";"7038AL";"ZEDDAM";"Gelderland";"Bo";"Rooms-Katholiek";"50844";"0";"8";"14";"16";"17";"23";"16";"17";"12";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1955";"Montferland";"7039";"Montferland";"03TG";"00";"Roncalli Basisschool";"7038AL";"ZEDDAM";"Gelderland";"Bo";"Rooms-Katholiek";"50844";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1955";"Montferland";"7041";"Montferland";"03TG";"00";"Roncalli Basisschool";"7038AL";"ZEDDAM";"Gelderland";"Bo";"Rooms-Katholiek";"50844";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1955";"Montferland";"7045";"Montferland";"03TG";"00";"Roncalli Basisschool";"7038AL";"ZEDDAM";"Gelderland";"Bo";"Rooms-Katholiek";"50844";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1955";"Montferland";"7046";"Montferland";"03TG";"00";"Roncalli Basisschool";"7038AL";"ZEDDAM";"Gelderland";"Bo";"Rooms-Katholiek";"50844";"0";"0";"<5";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1955";"Montferland";"7047";"Montferland";"03TG";"00";"Roncalli Basisschool";"7038AL";"ZEDDAM";"Gelderland";"Bo";"Rooms-Katholiek";"50844";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1955";"Montferland";"7048";"Montferland";"03TG";"00";"Roncalli Basisschool";"7038AL";"ZEDDAM";"Gelderland";"Bo";"Rooms-Katholiek";"50844";"0";"<5";"<5";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
