"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0335";"Montfoort";"3417";"Montfoort";"03BX";"00";"OBS De Hobbitstee";"3417WD";"MONTFOORT";"Utrecht";"Bo";"Openbaar";"41401";"0";"8";"12";"5";"15";"12";"8";"18";"12";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0335";"Montfoort";"3421";"Oudewater";"03BX";"00";"OBS De Hobbitstee";"3417WD";"MONTFOORT";"Utrecht";"Bo";"Openbaar";"41401";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0335";"Montfoort";"3545";"Utrecht";"03BX";"00";"OBS De Hobbitstee";"3417WD";"MONTFOORT";"Utrecht";"Bo";"Openbaar";"41401";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0335";"Montfoort";"3417";"Montfoort";"03DV";"00";"OBS Prins Claus";"3461GH";"LINSCHOTEN";"Utrecht";"Bo";"Openbaar";"41401";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0335";"Montfoort";"3425";"Oudewater";"03DV";"00";"OBS Prins Claus";"3461GH";"LINSCHOTEN";"Utrecht";"Bo";"Openbaar";"41401";"0";"<5";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0335";"Montfoort";"3446";"Woerden";"03DV";"00";"OBS Prins Claus";"3461GH";"LINSCHOTEN";"Utrecht";"Bo";"Openbaar";"41401";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0335";"Montfoort";"3447";"Woerden";"03DV";"00";"OBS Prins Claus";"3461GH";"LINSCHOTEN";"Utrecht";"Bo";"Openbaar";"41401";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0335";"Montfoort";"3461";"Montfoort";"03DV";"00";"OBS Prins Claus";"3461GH";"LINSCHOTEN";"Utrecht";"Bo";"Openbaar";"41401";"0";"14";"26";"23";"21";"14";"16";"24";"15";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0335";"Montfoort";"3401";"IJsselstein";"07KL";"00";"Basissch md Bijbel Het Kompas";"3417EN";"MONTFOORT";"Utrecht";"Bo";"Reformatorisch";"32813";"0";"<5";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0335";"Montfoort";"3405";"Lopik";"07KL";"00";"Basissch md Bijbel Het Kompas";"3417EN";"MONTFOORT";"Utrecht";"Bo";"Reformatorisch";"32813";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
