"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0944";"Mook en Middelaar";"40";"Onbekend";"05IA";"00";"Basissch De Grote Lier";"6584BD";"MOLENHOEK";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0944";"Mook en Middelaar";"6511";"Nijmegen";"05IA";"00";"Basissch De Grote Lier";"6584BD";"MOLENHOEK";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0944";"Mook en Middelaar";"6562";"Berg en Dal";"05IA";"00";"Basissch De Grote Lier";"6584BD";"MOLENHOEK";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0944";"Mook en Middelaar";"6581";"Heumen";"05IA";"00";"Basissch De Grote Lier";"6584BD";"MOLENHOEK";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0944";"Mook en Middelaar";"6582";"Heumen";"05IA";"00";"Basissch De Grote Lier";"6584BD";"MOLENHOEK";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0944";"Mook en Middelaar";"6584";"Mook en Middelaar";"05IA";"00";"Basissch De Grote Lier";"6584BD";"MOLENHOEK";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"16";"25";"28";"30";"27";"27";"23";"17";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0944";"Mook en Middelaar";"6585";"Mook en Middelaar";"05IA";"00";"Basissch De Grote Lier";"6584BD";"MOLENHOEK";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0944";"Mook en Middelaar";"6641";"Beuningen";"05IA";"00";"Basissch De Grote Lier";"6584BD";"MOLENHOEK";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0944";"Mook en Middelaar";"6533";"Nijmegen";"07VD";"00";"Basisschool De Maaskei";"6585XP";"MOOK";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0944";"Mook en Middelaar";"6562";"Berg en Dal";"07VD";"00";"Basisschool De Maaskei";"6585XP";"MOOK";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0944";"Mook en Middelaar";"6581";"Heumen";"07VD";"00";"Basisschool De Maaskei";"6585XP";"MOOK";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0944";"Mook en Middelaar";"6584";"Mook en Middelaar";"07VD";"00";"Basisschool De Maaskei";"6585XP";"MOOK";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0944";"Mook en Middelaar";"6585";"Mook en Middelaar";"07VD";"00";"Basisschool De Maaskei";"6585XP";"MOOK";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"19";"15";"14";"14";"18";"12";"12";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0944";"Mook en Middelaar";"6586";"Mook en Middelaar";"07VD";"00";"Basisschool De Maaskei";"6585XP";"MOOK";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0944";"Mook en Middelaar";"6587";"Mook en Middelaar";"07VD";"00";"Basisschool De Maaskei";"6585XP";"MOOK";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"<5";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0944";"Mook en Middelaar";"6596";"Gennep";"07VD";"00";"Basisschool De Maaskei";"6585XP";"MOOK";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0944";"Mook en Middelaar";"6584";"Mook en Middelaar";"09AI";"00";"Sterrenschool EigenWijs";"6587AW";"MIDDELAAR";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0944";"Mook en Middelaar";"6585";"Mook en Middelaar";"09AI";"00";"Sterrenschool EigenWijs";"6587AW";"MIDDELAAR";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0944";"Mook en Middelaar";"6586";"Mook en Middelaar";"09AI";"00";"Sterrenschool EigenWijs";"6587AW";"MIDDELAAR";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0944";"Mook en Middelaar";"6587";"Mook en Middelaar";"09AI";"00";"Sterrenschool EigenWijs";"6587AW";"MIDDELAAR";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"5";"8";"<5";"7";"<5";"8";"<5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0944";"Mook en Middelaar";"6596";"Gennep";"09AI";"00";"Sterrenschool EigenWijs";"6587AW";"MIDDELAAR";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
