"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1740";"Neder-Betuwe";"3901";"Veenendaal";"01ST";"00";"Rehoboth SBO, Ochten";"4051KA";"OCHTEN";"Gelderland";"Sbo";"Reformatorisch";"84515";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"3903";"Veenendaal";"01ST";"00";"Rehoboth SBO, Ochten";"4051KA";"OCHTEN";"Gelderland";"Sbo";"Reformatorisch";"84515";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"3904";"Veenendaal";"01ST";"00";"Rehoboth SBO, Ochten";"4051KA";"OCHTEN";"Gelderland";"Sbo";"Reformatorisch";"84515";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"3905";"Veenendaal";"01ST";"00";"Rehoboth SBO, Ochten";"4051KA";"OCHTEN";"Gelderland";"Sbo";"Reformatorisch";"84515";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"3907";"Veenendaal";"01ST";"00";"Rehoboth SBO, Ochten";"4051KA";"OCHTEN";"Gelderland";"Sbo";"Reformatorisch";"84515";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"3911";"Rhenen";"01ST";"00";"Rehoboth SBO, Ochten";"4051KA";"OCHTEN";"Gelderland";"Sbo";"Reformatorisch";"84515";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"3921";"Rhenen";"01ST";"00";"Rehoboth SBO, Ochten";"4051KA";"OCHTEN";"Gelderland";"Sbo";"Reformatorisch";"84515";"0";"0";"<5";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"3947";"Wijk bij Duurstede";"01ST";"00";"Rehoboth SBO, Ochten";"4051KA";"OCHTEN";"Gelderland";"Sbo";"Reformatorisch";"84515";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"3972";"Utrechtse Heuvelrug";"01ST";"00";"Rehoboth SBO, Ochten";"4051KA";"OCHTEN";"Gelderland";"Sbo";"Reformatorisch";"84515";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"4033";"Buren";"01ST";"00";"Rehoboth SBO, Ochten";"4051KA";"OCHTEN";"Gelderland";"Sbo";"Reformatorisch";"84515";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"4041";"Neder-Betuwe";"01ST";"00";"Rehoboth SBO, Ochten";"4051KA";"OCHTEN";"Gelderland";"Sbo";"Reformatorisch";"84515";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"4043";"Neder-Betuwe";"01ST";"00";"Rehoboth SBO, Ochten";"4051KA";"OCHTEN";"Gelderland";"Sbo";"Reformatorisch";"84515";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"4051";"Neder-Betuwe";"01ST";"00";"Rehoboth SBO, Ochten";"4051KA";"OCHTEN";"Gelderland";"Sbo";"Reformatorisch";"84515";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"4053";"Neder-Betuwe";"01ST";"00";"Rehoboth SBO, Ochten";"4051KA";"OCHTEN";"Gelderland";"Sbo";"Reformatorisch";"84515";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"4054";"Neder-Betuwe";"01ST";"00";"Rehoboth SBO, Ochten";"4051KA";"OCHTEN";"Gelderland";"Sbo";"Reformatorisch";"84515";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"4061";"West Betuwe";"01ST";"00";"Rehoboth SBO, Ochten";"4051KA";"OCHTEN";"Gelderland";"Sbo";"Reformatorisch";"84515";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"4156";"West Betuwe";"01ST";"00";"Rehoboth SBO, Ochten";"4051KA";"OCHTEN";"Gelderland";"Sbo";"Reformatorisch";"84515";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"4176";"West Betuwe";"01ST";"00";"Rehoboth SBO, Ochten";"4051KA";"OCHTEN";"Gelderland";"Sbo";"Reformatorisch";"84515";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"4181";"West Betuwe";"01ST";"00";"Rehoboth SBO, Ochten";"4051KA";"OCHTEN";"Gelderland";"Sbo";"Reformatorisch";"84515";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"4191";"West Betuwe";"01ST";"00";"Rehoboth SBO, Ochten";"4051KA";"OCHTEN";"Gelderland";"Sbo";"Reformatorisch";"84515";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"4197";"West Betuwe";"01ST";"00";"Rehoboth SBO, Ochten";"4051KA";"OCHTEN";"Gelderland";"Sbo";"Reformatorisch";"84515";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"5313";"Zaltbommel";"01ST";"00";"Rehoboth SBO, Ochten";"4051KA";"OCHTEN";"Gelderland";"Sbo";"Reformatorisch";"84515";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"6666";"Overbetuwe";"01ST";"00";"Rehoboth SBO, Ochten";"4051KA";"OCHTEN";"Gelderland";"Sbo";"Reformatorisch";"84515";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"6668";"Overbetuwe";"01ST";"00";"Rehoboth SBO, Ochten";"4051KA";"OCHTEN";"Gelderland";"Sbo";"Reformatorisch";"84515";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"6669";"Neder-Betuwe";"01ST";"00";"Rehoboth SBO, Ochten";"4051KA";"OCHTEN";"Gelderland";"Sbo";"Reformatorisch";"84515";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"6671";"Overbetuwe";"01ST";"00";"Rehoboth SBO, Ochten";"4051KA";"OCHTEN";"Gelderland";"Sbo";"Reformatorisch";"84515";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"6721";"Ede";"01ST";"00";"Rehoboth SBO, Ochten";"4051KA";"OCHTEN";"Gelderland";"Sbo";"Reformatorisch";"84515";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"4033";"Buren";"03HY";"00";"Chr Basissch Eben Haezer";"4043MA";"OPHEUSDEN";"Gelderland";"Bo";"Reformatorisch";"24715";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"4041";"Neder-Betuwe";"03HY";"00";"Chr Basissch Eben Haezer";"4043MA";"OPHEUSDEN";"Gelderland";"Bo";"Reformatorisch";"24715";"0";"5";"<5";"6";"<5";"<5";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"4043";"Neder-Betuwe";"03HY";"00";"Chr Basissch Eben Haezer";"4043MA";"OPHEUSDEN";"Gelderland";"Bo";"Reformatorisch";"24715";"0";"28";"18";"34";"24";"35";"30";"36";"30";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"4051";"Neder-Betuwe";"03HY";"00";"Chr Basissch Eben Haezer";"4043MA";"OPHEUSDEN";"Gelderland";"Bo";"Reformatorisch";"24715";"0";"<5";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"6662";"Overbetuwe";"03HY";"00";"Chr Basissch Eben Haezer";"4043MA";"OPHEUSDEN";"Gelderland";"Bo";"Reformatorisch";"24715";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"6666";"Overbetuwe";"03HY";"00";"Chr Basissch Eben Haezer";"4043MA";"OPHEUSDEN";"Gelderland";"Bo";"Reformatorisch";"24715";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"6668";"Overbetuwe";"03HY";"00";"Chr Basissch Eben Haezer";"4043MA";"OPHEUSDEN";"Gelderland";"Bo";"Reformatorisch";"24715";"0";"<5";"<5";"7";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"6669";"Neder-Betuwe";"03HY";"00";"Chr Basissch Eben Haezer";"4043MA";"OPHEUSDEN";"Gelderland";"Bo";"Reformatorisch";"24715";"0";"16";"15";"15";"15";"14";"18";"12";"16";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"6671";"Overbetuwe";"03HY";"00";"Chr Basissch Eben Haezer";"4043MA";"OPHEUSDEN";"Gelderland";"Bo";"Reformatorisch";"24715";"0";"<5";"<5";"<5";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"6672";"Overbetuwe";"03HY";"00";"Chr Basissch Eben Haezer";"4043MA";"OPHEUSDEN";"Gelderland";"Bo";"Reformatorisch";"24715";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"6673";"Overbetuwe";"03HY";"00";"Chr Basissch Eben Haezer";"4043MA";"OPHEUSDEN";"Gelderland";"Bo";"Reformatorisch";"24715";"0";"<5";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"6674";"Overbetuwe";"03HY";"00";"Chr Basissch Eben Haezer";"4043MA";"OPHEUSDEN";"Gelderland";"Bo";"Reformatorisch";"24715";"0";"<5";"<5";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"6677";"Overbetuwe";"03HY";"00";"Chr Basissch Eben Haezer";"4043MA";"OPHEUSDEN";"Gelderland";"Bo";"Reformatorisch";"24715";"0";"<5";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"6678";"Overbetuwe";"03HY";"00";"Chr Basissch Eben Haezer";"4043MA";"OPHEUSDEN";"Gelderland";"Bo";"Reformatorisch";"24715";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"3911";"Rhenen";"04LI";"00";"Herv Bs De Wegwijzer";"4041XE";"KESTEREN";"Gelderland";"Bo";"Reformatorisch";"41827";"0";"0";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1740";"Neder-Betuwe";"3921";"Rhenen";"04LI";"00";"Herv Bs De Wegwijzer";"4041XE";"KESTEREN";"Gelderland";"Bo";"Reformatorisch";"41827";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
