"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0356";"Nieuwegein";"3401";"IJsselstein";"04DA";"00";"SSBO De Evenaar";"3437WN";"NIEUWEGEIN";"Utrecht";"Sbo";"Algemeen bijzonder";"77651";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0356";"Nieuwegein";"3402";"IJsselstein";"04DA";"00";"SSBO De Evenaar";"3437WN";"NIEUWEGEIN";"Utrecht";"Sbo";"Algemeen bijzonder";"77651";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0356";"Nieuwegein";"3404";"IJsselstein";"04DA";"00";"SSBO De Evenaar";"3437WN";"NIEUWEGEIN";"Utrecht";"Sbo";"Algemeen bijzonder";"77651";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0356";"Nieuwegein";"3405";"Lopik";"04DA";"00";"SSBO De Evenaar";"3437WN";"NIEUWEGEIN";"Utrecht";"Sbo";"Algemeen bijzonder";"77651";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0356";"Nieuwegein";"3411";"Lopik";"04DA";"00";"SSBO De Evenaar";"3437WN";"NIEUWEGEIN";"Utrecht";"Sbo";"Algemeen bijzonder";"77651";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0356";"Nieuwegein";"3415";"Lopik";"04DA";"00";"SSBO De Evenaar";"3437WN";"NIEUWEGEIN";"Utrecht";"Sbo";"Algemeen bijzonder";"77651";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0356";"Nieuwegein";"3417";"Montfoort";"04DA";"00";"SSBO De Evenaar";"3437WN";"NIEUWEGEIN";"Utrecht";"Sbo";"Algemeen bijzonder";"77651";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0356";"Nieuwegein";"3431";"Nieuwegein";"04DA";"00";"SSBO De Evenaar";"3437WN";"NIEUWEGEIN";"Utrecht";"Sbo";"Algemeen bijzonder";"77651";"0";"0";"<5";"<5";"<5";"<5";"5";"5";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0356";"Nieuwegein";"3432";"Nieuwegein";"04DA";"00";"SSBO De Evenaar";"3437WN";"NIEUWEGEIN";"Utrecht";"Sbo";"Algemeen bijzonder";"77651";"0";"0";"<5";"<5";"<5";"<5";"5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0356";"Nieuwegein";"3433";"Nieuwegein";"04DA";"00";"SSBO De Evenaar";"3437WN";"NIEUWEGEIN";"Utrecht";"Sbo";"Algemeen bijzonder";"77651";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
