"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0267";"Nijkerk";"3752";"Bunschoten";"02CX";"00";"SSBO Koningin Emma";"3861LT";"NIJKERK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0267";"Nijkerk";"3781";"Barneveld";"02CX";"00";"SSBO Koningin Emma";"3861LT";"NIJKERK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0267";"Nijkerk";"3791";"Leusden";"02CX";"00";"SSBO Koningin Emma";"3861LT";"NIJKERK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0267";"Nijkerk";"3851";"Ermelo";"02CX";"00";"SSBO Koningin Emma";"3861LT";"NIJKERK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0267";"Nijkerk";"3852";"Ermelo";"02CX";"00";"SSBO Koningin Emma";"3861LT";"NIJKERK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0267";"Nijkerk";"3853";"Ermelo";"02CX";"00";"SSBO Koningin Emma";"3861LT";"NIJKERK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0267";"Nijkerk";"3861";"Nijkerk";"02CX";"00";"SSBO Koningin Emma";"3861LT";"NIJKERK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0267";"Nijkerk";"3862";"Nijkerk";"02CX";"00";"SSBO Koningin Emma";"3861LT";"NIJKERK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"<5";"<5";"0";"<5";"<5";"<5";"8";"9";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0267";"Nijkerk";"3863";"Nijkerk";"02CX";"00";"SSBO Koningin Emma";"3861LT";"NIJKERK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0267";"Nijkerk";"3864";"Nijkerk";"02CX";"00";"SSBO Koningin Emma";"3861LT";"NIJKERK";"Gelderland";"Sbo";"Protestants-Christelijk";"41671";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
