"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1970";"Noardeast-Fryslân";"8521";"De Fryske Marren";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"8754";"Súdwest-Fryslân";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"8921";"Leeuwarden";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9062";"Tytsjerksteradiel";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9073";"Noardeast-Fryslân";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9074";"Noardeast-Fryslân";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9101";"Noardeast-Fryslân";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"<5";"<5";"7";"5";"<5";"6";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9102";"Noardeast-Fryslân";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"<5";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9103";"Noardeast-Fryslân";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9104";"Dantumadiel";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"<5";"<5";"5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9105";"Dantumadiel";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9108";"Dantumadiel";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9113";"Dantumadiel";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9114";"Dantumadiel";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9123";"Noardeast-Fryslân";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9131";"Noardeast-Fryslân";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9133";"Noardeast-Fryslân";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9135";"Noardeast-Fryslân";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9137";"Noardeast-Fryslân";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9144";"Noardeast-Fryslân";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9145";"Noardeast-Fryslân";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"<5";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9151";"Noardeast-Fryslân";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9171";"Noardeast-Fryslân";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"<5";"<5";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9172";"Noardeast-Fryslân";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9178";"Noardeast-Fryslân";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9231";"Achtkarspelen";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9251";"Tytsjerksteradiel";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9256";"Tytsjerksteradiel";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9257";"Tytsjerksteradiel";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9258";"Tytsjerksteradiel";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9269";"Dantumadiel";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9271";"Dantumadiel";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9285";"Achtkarspelen";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9287";"Achtkarspelen";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9291";"Noardeast-Fryslân";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"<5";"<5";"<5";"<5";"<5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9294";"Noardeast-Fryslân";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9295";"Noardeast-Fryslân";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9296";"Noardeast-Fryslân";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9298";"Noardeast-Fryslân";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9853";"Noardeast-Fryslân";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9866";"Westerkwartier";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9971";"Het Hogeland";"01CE";"00";"SSBO De Twine";"9101AB";"DOKKUM";"Friesland";"Sbo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9231";"Achtkarspelen";"04IT";"00";"Chr Basissch D Tarissing";"9294KN";"ALDWALD";"Friesland";"Bo";"Protestants-Christelijk";"40788";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9285";"Achtkarspelen";"04IT";"00";"Chr Basissch D Tarissing";"9294KN";"ALDWALD";"Friesland";"Bo";"Protestants-Christelijk";"40788";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9291";"Noardeast-Fryslân";"04IT";"00";"Chr Basissch D Tarissing";"9294KN";"ALDWALD";"Friesland";"Bo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9293";"Noardeast-Fryslân";"04IT";"00";"Chr Basissch D Tarissing";"9294KN";"ALDWALD";"Friesland";"Bo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9294";"Noardeast-Fryslân";"04IT";"00";"Chr Basissch D Tarissing";"9294KN";"ALDWALD";"Friesland";"Bo";"Protestants-Christelijk";"40788";"0";"<5";"6";"5";"5";"8";"<5";"6";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9296";"Noardeast-Fryslân";"04IT";"00";"Chr Basissch D Tarissing";"9294KN";"ALDWALD";"Friesland";"Bo";"Protestants-Christelijk";"40788";"0";"0";"<5";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9101";"Noardeast-Fryslân";"04JX";"00";"Chr Basissch Bernewird";"9156AC";"BOARNWERT";"Friesland";"Bo";"Protestants-Christelijk";"40788";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9106";"Dantumadiel";"04JX";"00";"Chr Basissch Bernewird";"9156AC";"BOARNWERT";"Friesland";"Bo";"Protestants-Christelijk";"40788";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9107";"Noardeast-Fryslân";"04JX";"00";"Chr Basissch Bernewird";"9156AC";"BOARNWERT";"Friesland";"Bo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9154";"Noardeast-Fryslân";"04JX";"00";"Chr Basissch Bernewird";"9156AC";"BOARNWERT";"Friesland";"Bo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9155";"Noardeast-Fryslân";"04JX";"00";"Chr Basissch Bernewird";"9156AC";"BOARNWERT";"Friesland";"Bo";"Protestants-Christelijk";"40788";"0";"<5";"<5";"0";"<5";"<5";"<5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1970";"Noardeast-Fryslân";"9156";"Noardeast-Fryslân";"04JX";"00";"Chr Basissch Bernewird";"9156AC";"BOARNWERT";"Friesland";"Bo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
