"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1699";"Noordenveld";"9301";"Noordenveld";"01WQ";"00";"De Rank - school met de Bijbel";"9301KE";"RODEN";"Drenthe";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"10";"5";"7";"<5";"<5";"<5";"7";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1699";"Noordenveld";"9302";"Noordenveld";"01WQ";"00";"De Rank - school met de Bijbel";"9301KE";"RODEN";"Drenthe";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"<5";"5";"6";"<5";"<5";"6";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1699";"Noordenveld";"9305";"Noordenveld";"01WQ";"00";"De Rank - school met de Bijbel";"9301KE";"RODEN";"Drenthe";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1699";"Noordenveld";"9306";"Noordenveld";"01WQ";"00";"De Rank - school met de Bijbel";"9301KE";"RODEN";"Drenthe";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1699";"Noordenveld";"9311";"Noordenveld";"01WQ";"00";"De Rank - school met de Bijbel";"9301KE";"RODEN";"Drenthe";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1699";"Noordenveld";"9312";"Noordenveld";"01WQ";"00";"De Rank - school met de Bijbel";"9301KE";"RODEN";"Drenthe";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1699";"Noordenveld";"9321";"Noordenveld";"01WQ";"00";"De Rank - school met de Bijbel";"9301KE";"RODEN";"Drenthe";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1699";"Noordenveld";"9333";"Noordenveld";"01WQ";"00";"De Rank - school met de Bijbel";"9301KE";"RODEN";"Drenthe";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1699";"Noordenveld";"9351";"Westerkwartier";"01WQ";"00";"De Rank - school met de Bijbel";"9301KE";"RODEN";"Drenthe";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";"0";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1699";"Noordenveld";"9744";"Groningen";"01WQ";"00";"De Rank - school met de Bijbel";"9301KE";"RODEN";"Drenthe";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1699";"Noordenveld";"8431";"Ooststellingwerf";"05TS";"00";"Kindcentrum SPEEL en LEER";"9341AV";"VEENHUIZEN";"Drenthe";"Bo";"Protestants-Christelijk";"32073";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1699";"Noordenveld";"8433";"Ooststellingwerf";"05TS";"00";"Kindcentrum SPEEL en LEER";"9341AV";"VEENHUIZEN";"Drenthe";"Bo";"Protestants-Christelijk";"32073";"0";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1699";"Noordenveld";"9341";"Noordenveld";"05TS";"00";"Kindcentrum SPEEL en LEER";"9341AV";"VEENHUIZEN";"Drenthe";"Bo";"Protestants-Christelijk";"32073";"0";"15";"6";"6";"6";"9";"7";"9";"5";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1699";"Noordenveld";"9402";"Assen";"05TS";"00";"Kindcentrum SPEEL en LEER";"9341AV";"VEENHUIZEN";"Drenthe";"Bo";"Protestants-Christelijk";"32073";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1699";"Noordenveld";"8431";"Ooststellingwerf";"06AQ";"00";"SWS De Schans";"9342PH";"EEN";"Drenthe";"Bo";"Openbaar";"42854";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
