"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0171";"Noordoostpolder";"8302";"Noordoostpolder";"03KT";"00";"De Planthof";"8303HL";"EMMELOORD";"Flevoland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"6";"9";"8";"<5";"16";"<5";"7";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8303";"Noordoostpolder";"03KT";"00";"De Planthof";"8303HL";"EMMELOORD";"Flevoland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"<5";"7";"<5";"<5";"5";"8";"8";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8308";"Noordoostpolder";"03KT";"00";"De Planthof";"8303HL";"EMMELOORD";"Flevoland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8309";"Noordoostpolder";"03KT";"00";"De Planthof";"8303HL";"EMMELOORD";"Flevoland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8311";"Noordoostpolder";"03KT";"00";"De Planthof";"8303HL";"EMMELOORD";"Flevoland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8313";"Noordoostpolder";"03KT";"00";"De Planthof";"8303HL";"EMMELOORD";"Flevoland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8314";"Noordoostpolder";"03KT";"00";"De Planthof";"8303HL";"EMMELOORD";"Flevoland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"<5";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8316";"Noordoostpolder";"03KT";"00";"De Planthof";"8303HL";"EMMELOORD";"Flevoland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8011";"Zwolle";"03QP";"00";"SWS De Fladderiep";"8317AG";"KRAGGENBURG";"Flevoland";"Bo";"Samenwerking PC, RK";"40662";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8301";"Noordoostpolder";"03QP";"00";"SWS De Fladderiep";"8317AG";"KRAGGENBURG";"Flevoland";"Bo";"Samenwerking PC, RK";"40662";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8307";"Noordoostpolder";"03QP";"00";"SWS De Fladderiep";"8317AG";"KRAGGENBURG";"Flevoland";"Bo";"Samenwerking PC, RK";"40662";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8316";"Noordoostpolder";"03QP";"00";"SWS De Fladderiep";"8317AG";"KRAGGENBURG";"Flevoland";"Bo";"Samenwerking PC, RK";"40662";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8317";"Noordoostpolder";"03QP";"00";"SWS De Fladderiep";"8317AG";"KRAGGENBURG";"Flevoland";"Bo";"Samenwerking PC, RK";"40662";"0";"14";"15";"17";"16";"15";"12";"8";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8325";"Steenwijkerland";"03QP";"00";"SWS De Fladderiep";"8317AG";"KRAGGENBURG";"Flevoland";"Bo";"Samenwerking PC, RK";"40662";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8226";"Lelystad";"03RA";"00";"RK Basissch De Horizon";"8307AX";"ENS";"Flevoland";"Bo";"Rooms-Katholiek";"40662";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8307";"Noordoostpolder";"03RA";"00";"RK Basissch De Horizon";"8307AX";"ENS";"Flevoland";"Bo";"Rooms-Katholiek";"40662";"0";"13";"18";"19";"21";"13";"11";"12";"11";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8317";"Noordoostpolder";"03RA";"00";"RK Basissch De Horizon";"8307AX";"ENS";"Flevoland";"Bo";"Rooms-Katholiek";"40662";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8302";"Noordoostpolder";"03TD";"00";"Basissch Eben Haezer";"8303ZR";"EMMELOORD";"Flevoland";"Bo";"Reformatorisch";"46152";"0";"7";"<5";"<5";"7";"6";"6";"<5";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8303";"Noordoostpolder";"03TD";"00";"Basissch Eben Haezer";"8303ZR";"EMMELOORD";"Flevoland";"Bo";"Reformatorisch";"46152";"0";"5";"6";"6";"<5";"7";"6";"5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8304";"Noordoostpolder";"03TD";"00";"Basissch Eben Haezer";"8303ZR";"EMMELOORD";"Flevoland";"Bo";"Reformatorisch";"46152";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8305";"Noordoostpolder";"03TD";"00";"Basissch Eben Haezer";"8303ZR";"EMMELOORD";"Flevoland";"Bo";"Reformatorisch";"46152";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8307";"Noordoostpolder";"03TD";"00";"Basissch Eben Haezer";"8303ZR";"EMMELOORD";"Flevoland";"Bo";"Reformatorisch";"46152";"0";"<5";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8308";"Noordoostpolder";"03TD";"00";"Basissch Eben Haezer";"8303ZR";"EMMELOORD";"Flevoland";"Bo";"Reformatorisch";"46152";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8309";"Noordoostpolder";"03TD";"00";"Basissch Eben Haezer";"8303ZR";"EMMELOORD";"Flevoland";"Bo";"Reformatorisch";"46152";"0";"5";"<5";"<5";"<5";"7";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8311";"Noordoostpolder";"03TD";"00";"Basissch Eben Haezer";"8303ZR";"EMMELOORD";"Flevoland";"Bo";"Reformatorisch";"46152";"0";"6";"<5";"<5";"5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8312";"Noordoostpolder";"03TD";"00";"Basissch Eben Haezer";"8303ZR";"EMMELOORD";"Flevoland";"Bo";"Reformatorisch";"46152";"0";"0";"<5";"0";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8314";"Noordoostpolder";"03TD";"00";"Basissch Eben Haezer";"8303ZR";"EMMELOORD";"Flevoland";"Bo";"Reformatorisch";"46152";"0";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8315";"Noordoostpolder";"03TD";"00";"Basissch Eben Haezer";"8303ZR";"EMMELOORD";"Flevoland";"Bo";"Reformatorisch";"46152";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8316";"Noordoostpolder";"03TD";"00";"Basissch Eben Haezer";"8303ZR";"EMMELOORD";"Flevoland";"Bo";"Reformatorisch";"46152";"0";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8317";"Noordoostpolder";"03TD";"00";"Basissch Eben Haezer";"8303ZR";"EMMELOORD";"Flevoland";"Bo";"Reformatorisch";"46152";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8321";"Urk";"03TD";"00";"Basissch Eben Haezer";"8303ZR";"EMMELOORD";"Flevoland";"Bo";"Reformatorisch";"46152";"0";"0";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8341";"Steenwijkerland";"03TD";"00";"Basissch Eben Haezer";"8303ZR";"EMMELOORD";"Flevoland";"Bo";"Reformatorisch";"46152";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8482";"Weststellingwerf";"03TD";"00";"Basissch Eben Haezer";"8303ZR";"EMMELOORD";"Flevoland";"Bo";"Reformatorisch";"46152";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8522";"De Fryske Marren";"03TD";"00";"Basissch Eben Haezer";"8303ZR";"EMMELOORD";"Flevoland";"Bo";"Reformatorisch";"46152";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8531";"De Fryske Marren";"03TD";"00";"Basissch Eben Haezer";"8303ZR";"EMMELOORD";"Flevoland";"Bo";"Reformatorisch";"46152";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8538";"De Fryske Marren";"03TD";"00";"Basissch Eben Haezer";"8303ZR";"EMMELOORD";"Flevoland";"Bo";"Reformatorisch";"46152";"0";"<5";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8566";"De Fryske Marren";"03TD";"00";"Basissch Eben Haezer";"8303ZR";"EMMELOORD";"Flevoland";"Bo";"Reformatorisch";"46152";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8567";"De Fryske Marren";"03TD";"00";"Basissch Eben Haezer";"8303ZR";"EMMELOORD";"Flevoland";"Bo";"Reformatorisch";"46152";"0";"0";"<5";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8571";"De Fryske Marren";"03TD";"00";"Basissch Eben Haezer";"8303ZR";"EMMELOORD";"Flevoland";"Bo";"Reformatorisch";"46152";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8302";"Noordoostpolder";"04ZB";"00";"Mariabasisschool";"8316BL";"MARKNESSE";"Flevoland";"Bo";"Rooms-Katholiek";"40662";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8304";"Noordoostpolder";"04ZB";"00";"Mariabasisschool";"8316BL";"MARKNESSE";"Flevoland";"Bo";"Rooms-Katholiek";"40662";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8305";"Noordoostpolder";"04ZB";"00";"Mariabasisschool";"8316BL";"MARKNESSE";"Flevoland";"Bo";"Rooms-Katholiek";"40662";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0171";"Noordoostpolder";"8316";"Noordoostpolder";"04ZB";"00";"Mariabasisschool";"8316BL";"MARKNESSE";"Flevoland";"Bo";"Rooms-Katholiek";"40662";"0";"18";"22";"14";"8";"14";"11";"8";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
