"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0575";"Noordwijk";"2201";"Noordwijk";"05DA";"00";"De Schapendel";"2203GH";"NOORDWIJK ZH";"Zuid-Holland";"Bo";"Rooms-Katholiek";"40967";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0575";"Noordwijk";"2202";"Noordwijk";"05DA";"00";"De Schapendel";"2203GH";"NOORDWIJK ZH";"Zuid-Holland";"Bo";"Rooms-Katholiek";"40967";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0575";"Noordwijk";"2203";"Noordwijk";"05DA";"00";"De Schapendel";"2203GH";"NOORDWIJK ZH";"Zuid-Holland";"Bo";"Rooms-Katholiek";"40967";"0";"7";"12";"11";"14";"7";"8";"14";"9";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0575";"Noordwijk";"2211";"Noordwijk";"05DA";"00";"De Schapendel";"2203GH";"NOORDWIJK ZH";"Zuid-Holland";"Bo";"Rooms-Katholiek";"40967";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0575";"Noordwijk";"40";"Onbekend";"05DA";"00";"De Schapendel";"2203GH";"NOORDWIJK ZH";"Zuid-Holland";"Bo";"Rooms-Katholiek";"40967";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0575";"Noordwijk";"2161";"Lisse";"05ID";"00";"Montessorischool Noordwijk";"2201DN";"NOORDWIJK ZH";"Zuid-Holland";"Bo";"Algemeen bijzonder";"40967";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0575";"Noordwijk";"2162";"Lisse";"05ID";"00";"Montessorischool Noordwijk";"2201DN";"NOORDWIJK ZH";"Zuid-Holland";"Bo";"Algemeen bijzonder";"40967";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0575";"Noordwijk";"2172";"Teylingen";"05ID";"00";"Montessorischool Noordwijk";"2201DN";"NOORDWIJK ZH";"Zuid-Holland";"Bo";"Algemeen bijzonder";"40967";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0575";"Noordwijk";"2182";"Hillegom";"05ID";"00";"Montessorischool Noordwijk";"2201DN";"NOORDWIJK ZH";"Zuid-Holland";"Bo";"Algemeen bijzonder";"40967";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0575";"Noordwijk";"2201";"Noordwijk";"05ID";"00";"Montessorischool Noordwijk";"2201DN";"NOORDWIJK ZH";"Zuid-Holland";"Bo";"Algemeen bijzonder";"40967";"0";"7";"8";"7";"7";"15";"10";"8";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
