"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0302";"Nunspeet";"2332";"Leiden";"01AJ";"00";"Dr A Verschoor School";"8072DD";"NUNSPEET";"Gelderland";"So";"Algemeen bijzonder";"62129";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0302";"Nunspeet";"3841";"Harderwijk";"01AJ";"00";"Dr A Verschoor School";"8072DD";"NUNSPEET";"Gelderland";"So";"Algemeen bijzonder";"62129";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0302";"Nunspeet";"3842";"Harderwijk";"01AJ";"00";"Dr A Verschoor School";"8072DD";"NUNSPEET";"Gelderland";"So";"Algemeen bijzonder";"62129";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0302";"Nunspeet";"3843";"Harderwijk";"01AJ";"00";"Dr A Verschoor School";"8072DD";"NUNSPEET";"Gelderland";"So";"Algemeen bijzonder";"62129";"0";"0";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0302";"Nunspeet";"3844";"Harderwijk";"01AJ";"00";"Dr A Verschoor School";"8072DD";"NUNSPEET";"Gelderland";"So";"Algemeen bijzonder";"62129";"0";"0";"0";"<5";"0";"<5";"0";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0302";"Nunspeet";"3845";"Harderwijk";"01AJ";"00";"Dr A Verschoor School";"8072DD";"NUNSPEET";"Gelderland";"So";"Algemeen bijzonder";"62129";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0302";"Nunspeet";"3846";"Harderwijk";"01AJ";"00";"Dr A Verschoor School";"8072DD";"NUNSPEET";"Gelderland";"So";"Algemeen bijzonder";"62129";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0302";"Nunspeet";"3848";"Harderwijk";"01AJ";"00";"Dr A Verschoor School";"8072DD";"NUNSPEET";"Gelderland";"So";"Algemeen bijzonder";"62129";"0";"0";"<5";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0302";"Nunspeet";"3849";"Harderwijk";"01AJ";"00";"Dr A Verschoor School";"8072DD";"NUNSPEET";"Gelderland";"So";"Algemeen bijzonder";"62129";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0302";"Nunspeet";"3851";"Ermelo";"01AJ";"00";"Dr A Verschoor School";"8072DD";"NUNSPEET";"Gelderland";"So";"Algemeen bijzonder";"62129";"0";"0";"<5";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0302";"Nunspeet";"3853";"Ermelo";"01AJ";"00";"Dr A Verschoor School";"8072DD";"NUNSPEET";"Gelderland";"So";"Algemeen bijzonder";"62129";"0";"0";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0302";"Nunspeet";"3861";"Nijkerk";"01AJ";"00";"Dr A Verschoor School";"8072DD";"NUNSPEET";"Gelderland";"So";"Algemeen bijzonder";"62129";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0302";"Nunspeet";"3862";"Nijkerk";"01AJ";"00";"Dr A Verschoor School";"8072DD";"NUNSPEET";"Gelderland";"So";"Algemeen bijzonder";"62129";"0";"0";"<5";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0302";"Nunspeet";"3863";"Nijkerk";"01AJ";"00";"Dr A Verschoor School";"8072DD";"NUNSPEET";"Gelderland";"So";"Algemeen bijzonder";"62129";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0302";"Nunspeet";"3864";"Nijkerk";"01AJ";"00";"Dr A Verschoor School";"8072DD";"NUNSPEET";"Gelderland";"So";"Algemeen bijzonder";"62129";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0302";"Nunspeet";"3881";"Putten";"01AJ";"00";"Dr A Verschoor School";"8072DD";"NUNSPEET";"Gelderland";"So";"Algemeen bijzonder";"62129";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0302";"Nunspeet";"3882";"Putten";"01AJ";"00";"Dr A Verschoor School";"8072DD";"NUNSPEET";"Gelderland";"So";"Algemeen bijzonder";"62129";"0";"<5";"<5";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0302";"Nunspeet";"3888";"Apeldoorn";"01AJ";"00";"Dr A Verschoor School";"8072DD";"NUNSPEET";"Gelderland";"So";"Algemeen bijzonder";"62129";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0302";"Nunspeet";"3891";"Zeewolde";"01AJ";"00";"Dr A Verschoor School";"8072DD";"NUNSPEET";"Gelderland";"So";"Algemeen bijzonder";"62129";"0";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0302";"Nunspeet";"3892";"Zeewolde";"01AJ";"00";"Dr A Verschoor School";"8072DD";"NUNSPEET";"Gelderland";"So";"Algemeen bijzonder";"62129";"0";"0";"0";"0";"<5";"<5";"0";"<5";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
