"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0823";"Oirschot";"5091";"Oirschot";"07GY";"00";"OBS de Korenbloem";"5688PG";"OIRSCHOT";"Noord-Brabant";"Bo";"Openbaar";"41662";"0";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0823";"Oirschot";"5503";"Veldhoven";"07GY";"00";"OBS de Korenbloem";"5688PG";"OIRSCHOT";"Noord-Brabant";"Bo";"Openbaar";"41662";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0823";"Oirschot";"5683";"Best";"07GY";"00";"OBS de Korenbloem";"5688PG";"OIRSCHOT";"Noord-Brabant";"Bo";"Openbaar";"41662";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0823";"Oirschot";"5688";"Oirschot";"07GY";"00";"OBS de Korenbloem";"5688PG";"OIRSCHOT";"Noord-Brabant";"Bo";"Openbaar";"41662";"0";"21";"19";"17";"33";"24";"36";"30";"20";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0823";"Oirschot";"5689";"Oirschot";"07GY";"00";"OBS de Korenbloem";"5688PG";"OIRSCHOT";"Noord-Brabant";"Bo";"Openbaar";"41662";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0823";"Oirschot";"5091";"Oirschot";"07QZ";"00";"Kindcentrum de Plataan";"5688DB";"OIRSCHOT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40982";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0823";"Oirschot";"5688";"Oirschot";"07QZ";"00";"Kindcentrum de Plataan";"5688DB";"OIRSCHOT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40982";"0";"20";"25";"28";"18";"20";"27";"24";"24";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0823";"Oirschot";"5689";"Oirschot";"07QZ";"00";"Kindcentrum de Plataan";"5688DB";"OIRSCHOT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40982";"0";"<5";"<5";"<5";"5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0823";"Oirschot";"40";"Onbekend";"08YI";"00";"Kindcentrum De Linde";"5688KB";"OIRSCHOT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40982";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0823";"Oirschot";"5021";"Tilburg";"08YI";"00";"Kindcentrum De Linde";"5688KB";"OIRSCHOT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40982";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
