"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0824";"Oisterwijk";"3069";"Rotterdam";"01OZ";"00";"P.I-school Hondsberg";"5062JT";"OISTERWIJK";"Noord-Brabant";"So";"Algemeen bijzonder";"50143";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0824";"Oisterwijk";"3071";"Rotterdam";"01OZ";"00";"P.I-school Hondsberg";"5062JT";"OISTERWIJK";"Noord-Brabant";"So";"Algemeen bijzonder";"50143";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0824";"Oisterwijk";"3137";"Vlaardingen";"01OZ";"00";"P.I-school Hondsberg";"5062JT";"OISTERWIJK";"Noord-Brabant";"Vso";"Algemeen bijzonder";"50143";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0824";"Oisterwijk";"3162";"Albrandswaard";"01OZ";"00";"P.I-school Hondsberg";"5062JT";"OISTERWIJK";"Noord-Brabant";"Vso";"Algemeen bijzonder";"50143";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0824";"Oisterwijk";"4818";"Breda";"01OZ";"00";"P.I-school Hondsberg";"5062JT";"OISTERWIJK";"Noord-Brabant";"So";"Algemeen bijzonder";"50143";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0824";"Oisterwijk";"5011";"Tilburg";"01OZ";"00";"P.I-school Hondsberg";"5062JT";"OISTERWIJK";"Noord-Brabant";"So";"Algemeen bijzonder";"50143";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0824";"Oisterwijk";"5011";"Tilburg";"01OZ";"00";"P.I-school Hondsberg";"5062JT";"OISTERWIJK";"Noord-Brabant";"Vso";"Algemeen bijzonder";"50143";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0824";"Oisterwijk";"5018";"Tilburg";"01OZ";"00";"P.I-school Hondsberg";"5062JT";"OISTERWIJK";"Noord-Brabant";"So";"Algemeen bijzonder";"50143";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0824";"Oisterwijk";"5021";"Tilburg";"01OZ";"00";"P.I-school Hondsberg";"5062JT";"OISTERWIJK";"Noord-Brabant";"So";"Algemeen bijzonder";"50143";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0824";"Oisterwijk";"5022";"Tilburg";"01OZ";"00";"P.I-school Hondsberg";"5062JT";"OISTERWIJK";"Noord-Brabant";"So";"Algemeen bijzonder";"50143";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0824";"Oisterwijk";"5025";"Tilburg";"01OZ";"00";"P.I-school Hondsberg";"5062JT";"OISTERWIJK";"Noord-Brabant";"So";"Algemeen bijzonder";"50143";"0";"0";"0";"0";"0";"0";"<5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0824";"Oisterwijk";"5025";"Tilburg";"01OZ";"00";"P.I-school Hondsberg";"5062JT";"OISTERWIJK";"Noord-Brabant";"Vso";"Algemeen bijzonder";"50143";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0824";"Oisterwijk";"5035";"Tilburg";"01OZ";"00";"P.I-school Hondsberg";"5062JT";"OISTERWIJK";"Noord-Brabant";"So";"Algemeen bijzonder";"50143";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
